genus,species,common_names,regions
Piptadenia,africana,dabéma,CMR;COG;CIV;GNQ;GAB;GHA;LBR;NGA;UGA;SLE;COD;GBR
Piptadenia,buchananii,mafumati,
Piptadenia,leucocarpa,ossimiale,
Piptadeniastrum,africanum,dabéma,CMR;COG;CIV;GNQ;GAB;GHA;LBR;NGA;UGA;SLE;COD;GBR
Plagiostyles,africana,essoula,
Planchonella,pachycarpa,goiabao,BRA
Platonia,insignis,parcouri,BRA;ECU;GUF;GUY;SUR
Platycyamus,regnellii,trebol,BLZ;BRA;COL;CRI;SLV;HND;MEX;PER;VEN
Platymiscium,duckei,trebol,BLZ;BRA;COL;CRI;SLV;HND;MEX;PER;VEN
Platymiscium,pinnatum,trebol,BLZ;BRA;COL;CRI;SLV;HND;MEX;PER;VEN
Platymiscium,pleiostachyum,cristobal granadillo,
Platymiscium,spp.,trebol,BLZ;BRA;COL;CRI;SLV;HND;MEX;PER;VEN
Platymiscium,trinitatis,trebol,BLZ;BRA;COL;CRI;SLV;HND;MEX;PER;VEN
Platymiscium,ulei,trebol,BLZ;BRA;COL;CRI;SLV;HND;MEX;PER;VEN
Poga,oleosa,ovoga,CMR;GAB;NGA
Pometia,spp.,kasai,PNG;MMR;PHL;VNM;FRA;ESP;GBR
Pouteria,pachycarpa,goiabao,BRA
Pouteria,speciosa,suya,BRA;GUY
Pouteria,spp.,platano,
Pouteria,superba,aniégré (aningré),AGO;CAF;COG;CIV;ETH;KEN;NGA;UGA;COD;DEU;ITA;GBR
Prioria,copaifera,cativo,COL;PAN;VEN
Protium,spp.,kurokaï,BOL;BRA;COL;ECU;GUF;GUY;PER;SUR;VEN
Prunus,africana,mueri,GBR
Pseudobombax,ellipticum,amapola,
Pseudosindora,palustris,sepetir,KHM;IDN;MYS;PHL;THA
Ptaeroxylon,obliquum,paco,
Pteleopsis,hylodendron,osanga,CMR;CIV;COD
Pterocarpus,africanus,vene,BFA;GNQ;GIN;GNB;MLI;NGA;SEN
Pterocarpus,angolensis,muninga,
Pterocarpus,erinaceus,vene,BFA;GNQ;GIN;GNB;MLI;NGA;SEN
Pterocarpus,indicus,padauk amboyna,IND;IDN;MYS;MMR;PNG;PHL;FRA;DEU;GBR;JPN
Pterocarpus,officinalis,drago,FRA;GBR
Pterocarpus,osun,padouk d’afrique,AGO;CMR;COG;GNQ;GAB;NGA;CAF;COD;DEU;BEL;ITA;NLD;GBR
Pterocarpus,soyauxii,padouk d’afrique,AGO;CMR;COG;GNQ;GAB;NGA;CAF;COD;DEU;BEL;ITA;NLD;GBR
Pterocarpus,tinctorius,padouk d’afrique,AGO;CMR;COG;GNQ;GAB;NGA;CAF;COD;DEU;BEL;ITA;NLD;GBR
Pterocarpus,vidalianus,padauk amboyna,IND;IDN;MYS;MMR;PNG;PHL;FRA;DEU;GBR;JPN
Pterocymbium,beccarii,amberoi,IDN;MYS;MMR;PHL;THA
Pterygopodium,oxyphyllum,tchitola,AGO;CMR;COG;COD;GAB;NGA
Pterygota,bequaertii,koto ,CAF;CIV;GAB;GHA;NGA;COD;DEU;GBR
Pterygota,macrocarpa,koto ,CAF;CIV;GAB;GHA;NGA;COD;DEU;GBR
Pterygota,spp.,koto ,CAF;CIV;GAB;GHA;NGA;COD;DEU;GBR
Pycnanthus,angolensis,ilomba,AGO;CMR;COG;CIV;GNQ;GAB;GHA;NGA;SLE;COD
Pycnanthus,kombo,ilomba,AGO;CMR;COG;CIV;GNQ;GAB;GHA;NGA;SLE;COD
Pygeum,africanum,mueri,GBR
Qualea,spp.,mandio­queira,BRA;GUF;SUR;VEN
Rapanea,rhododendroides,mugaita,
Rhamnus,zeyheri,pau rosapau,GBR
Rhodognaphalon,brevicuspe,kondroti,BEN;CMR;COG;CIV;GAB;GHA;MOZ;NGA;TZA;GBR
Rhodognaphalon,schumannianum,kondroti,BEN;CMR;COG;CIV;GAB;GHA;MOZ;NGA;TZA;GBR
Ricinodendron,africanum,essessang,BEN;COG;CIV;GHA;MOZ;TGO;GBR
Ricinodendron,heudelotii,essessang,BEN;COG;CIV;GHA;MOZ;TGO;GBR
Ricinodendron,rautanenii,essessang,BEN;COG;CIV;GHA;MOZ;TGO;GBR
Ricinodendron,spp.,essessang,BEN;COG;CIV;GHA;MOZ;TGO;GBR
Sabal,mauritiiformis,guágara,
Sacoglottis,gabonensis,ozouga,CMR;COG;CIV;GAB;GHA;NGA;SLE
Santalum,album,sandalwood,
Santiria,spp.,kedondong,IND;IDN;MYS;PHL;THA;VNM
Sarcocephalus,diderrichii,bilinga,AGO;BEN;CMR;CAF;COG;CIV;COD;GNQ;GHA;GAB;NGA;SLE;UGA;DEU;GBR
Sarcocephalus,xanthoxylon,bilinga,AGO;BEN;CMR;CAF;COG;CIV;COD;GNQ;GHA;GAB;NGA;SLE;UGA;DEU;GBR
