main_common_name,Status code,Common Name,genus,species,common_name
,VU,,Leucadendron,argenteum,
,EN,,Leucadendron,discolor,
,LR/nt,,Nuxia,glomerulata,
,VU,,Ocotea,kenyensis,
,VU,muzuki,Oxyanthus,pyriformis,muzuki
,LR/nt,,Protea,comptonii,
,VU,,Protea,lanceolata,
,VU,,Pseudosalacia,streyi,
,VU,,Rapanea,gilliana,
rafia,VU,rafia,Raphia,australis,rafia;rafia
rafia,VU,giant palm,Raphia,australis,giant palm;rafia
,VU,,Rhynchocalyx,lawsonioides,
,DD,,Scolopia,oreophila,
,VU,,Sterculia,alexandri,
,LR/lc,,Vitellariopsis,dispar,
pepper bark tree,EN,xibaha,Warburgia,salutaris,xibaha;pepper bark tree
pepper bark tree,EN,chibaha,Warburgia,salutaris,chibaha;pepper bark tree
pepper bark tree,EN,muranga,Warburgia,salutaris,muranga;pepper bark tree
pepper bark tree,EN,pepper bark tree,Warburgia,salutaris,pepper bark tree;pepper bark tree
clanwilliam cedar,CR,sederboom,Widdringtonia,cedarbergensis,sederboom;clanwilliam cedar
clanwilliam cedar,CR,cedarboom,Widdringtonia,cedarbergensis,cedarboom;clanwilliam cedar
clanwilliam cedar,CR,clanwilliam cypress,Widdringtonia,cedarbergensis,clanwilliam cypress;clanwilliam cedar
clanwilliam cedar,CR,clanwilliam cedar,Widdringtonia,cedarbergensis,clanwilliam cedar;clanwilliam cedar
clanwilliam cedar,CR,cape cedar,Widdringtonia,cedarbergensis,cape cedar;clanwilliam cedar
lago yojoa palm,EW,root-spine palm,Cryosophila,williamsii,root-spine palm;lago yojoa palm
lago yojoa palm,EW,lago yojoa palm,Cryosophila,williamsii,lago yojoa palm;lago yojoa palm
palma real mexicana,EN,palma real mexicana,Roystonea,dunlapiana,palma real mexicana;palma real mexicana
,LR/lc,,Acacia,hebeclada,
acebuche,LR/nt,acebuche,Olea,europaea,acebuche;acebuche
acebuche,LR/nt,oliveira brava,Olea,europaea,oliveira brava;acebuche
,CR,,Roystonea,hondurensis;regia,
,LR/nt,,Stadmania,oppositifolia,
monterey cypress,VU,,Cupressus,macrocarpa,;monterey cypress
monterey cypress,VU,,Cupressus,macrocarpa,;monterey cypress
monterey cypress,VU,monterey cypress,Cupressus,macrocarpa,monterey cypress;monterey cypress
bermuda cedar,CR,bermuda red cedar,Juniperus,bermudiana,bermuda red cedar;bermuda cedar
bermuda cedar,CR,bermuda cedar,Juniperus,bermudiana,bermuda cedar;bermuda cedar
bermuda cedar,CR,bermuda juniper,Juniperus,bermudiana,bermuda juniper;bermuda cedar
bermuda cedar,CR,southern red cedar,Juniperus,bermudiana,southern red cedar;bermuda cedar
st helena rosemary,CR,st helena rosemary,Phylica,polifolia,st helena rosemary;st helena rosemary
st helena rosemary,CR,rosemary,Phylica,polifolia,rosemary;st helena rosemary
st helena dogwood,CR,st helena dogwood,Nesohedyotis,arborea,st helena dogwood;st helena dogwood
st helena dogwood,CR,dogwood,Nesohedyotis,arborea,dogwood;st helena dogwood
four-petal pawpaw,EN,four-petal pawpaw,Asimina,tetramera,four-petal pawpaw;four-petal pawpaw
,VU,,Bidens,hendersonensis,
,VU,,Dirachma,socotrana,
,EN,,Euphorbia,wakefieldii,
,VU,tiyu,Ceratonia,oreothauma,tiyu
new zealand parrot's-bill,EN,new zealand parrot's-bill,Clianthus,puniceus,new zealand parrot's-bill;new zealand parrot's-bill
new zealand parrot's-bill,EN,lobster claw,Clianthus,puniceus,lobster claw;new zealand parrot's-bill
new zealand parrot's-bill,EN,parrot's-bill,Clianthus,puniceus,parrot's-bill;new zealand parrot's-bill
new zealand parrot's-bill,EN,kaka-beak,Clianthus,puniceus,kaka-beak;new zealand parrot's-bill
new zealand parrot's-bill,EN,kowhai ngutu-kaka,Clianthus,puniceus,kowhai ngutu-kaka;new zealand parrot's-bill
,VU,yeheb nut,Cordeauxia,edulis,yeheb nut
,EN,mnyanza,Gigasiphon,macrosiphon,mnyanza
,EN,mnondo,Gigasiphon,macrosiphon,mnondo
,EN,renala,Adansonia,grandidieri,renala
,EN,reniala,Adansonia,grandidieri,reniala
,EN,bozy,Adansonia,suarezensis,bozy
,VU,,Sophora,fernandeziana,
,VU,,Sophora,masafuerana,
toromiro,EW,toromiro,Sophora,toromiro,toromiro;toromiro
,EX,,Streblorrhiza,speciosa,
canary island dragon tree,VU,dragoeiro,Dracaena,draco,dragoeiro;canary island dragon tree
canary island dragon tree,VU,sangre de drago,Dracaena,draco,sangre de drago;canary island dragon tree
canary island dragon tree,VU,drago de canarias,Dracaena,draco,drago de canarias;canary island dragon tree
canary island dragon tree,VU,canary island dragon tree,Dracaena,draco,canary island dragon tree;canary island dragon tree
canary island dragon tree,VU,dragon tree,Dracaena,draco,dragon tree;canary island dragon tree
gabal elba dragon tree,EN,gabal elba dragon tree,Dracaena,ombet,gabal elba dragon tree;gabal elba dragon tree
gabal elba dragon tree,EN,omm beit,Dracaena,ombet,omm beit;gabal elba dragon tree
,CR,hau kuahiwi,Hibiscadelphus,giffardianus,hau kuahiwi
,EX,,Hibiscadelphus,wilderianus,
,EN,,Lebronnecia,kokioides,
,NT,quartab,Dorstenia,gigas,quartab
pondoland palm,VU,inkomba,Jubaeopsis,caffra,inkomba;pondoland palm
pondoland palm,VU,pondoland palm,Jubaeopsis,caffra,pondoland palm;pondoland palm
,CR,argun,Medemia,argun,argun
bankoualé palm,VU,madah,Livistona,carinensis,madah;bankoualé palm
bankoualé palm,VU,daban,Livistona,carinensis,daban;bankoualé palm
bankoualé palm,VU,nakilto,Livistona,carinensis,nakilto;bankoualé palm
bankoualé palm,VU,somm,Livistona,carinensis,somm;bankoualé palm
bankoualé palm,VU,,Livistona,carinensis,;bankoualé palm
bankoualé palm,VU,,Livistona,carinensis,;bankoualé palm
dalls pittosporum,VU,dalls pittosporum,Pittosporum,dallii,dalls pittosporum;dalls pittosporum
dalls pittosporum,VU,kohuhu,Pittosporum,dallii,kohuhu;dalls pittosporum
pomegranate tree,VU,pomegranate tree,Punica,protopunica,pomegranate tree;pomegranate tree
,EN,munderendu-itu,Vepris,glandulosa,munderendu-itu
,EX,,Santalum,fernandezianum,
crapnell's camellia,VU,crapnell's camellia,Camellia,crapnelliana,crapnell's camellia;crapnell's camellia
crapnell's camellia,VU,hongpi caoguo cha,Camellia,crapnelliana,hongpi caoguo cha;crapnell's camellia
franklin tree,EW,franklin tree,Franklinia,alatamaha,franklin tree;franklin tree
,CR,,Freziera,forerorum,
,VU,brare,Ulmus,wallichiana,brare
,VU,marai,Ulmus,wallichiana,marai
,VU,imroi,Ulmus,wallichiana,imroi
,VU,mair,Ulmus,wallichiana,mair
,VU,himri,Ulmus,wallichiana,himri
,NT,,Lannea,transulta,
,LC,,Rhus,thyrsiflora,
,LR/nt,,Cordia,obovata,
,VU,,Boswellia,ameero,
,VU,,Boswellia,elongata,
,VU,,Boswellia,socotrana,
,NT,,Commiphora,planifrons,
,NT,,Commiphora,socotrana,
,VU,,Euclea,balfourii,
,VU,,Euclea,laurina,
,LC,,Croton,socotranus,
,VU,,Croton,sulcifructus,
,VU,,Euphorbia,obcordata,
,LC,,Jatropha,unicostata,
,NT,,Acacia,pennivenia,
dragon's blood tree,VU,dragon's blood tree,Dracaena,cinnabari,dragon's blood tree;dragon's blood tree
,LC,,Acridocarpus,socotranus,
,LC,,Placopoda,virgata,
,LR/nt,,Allophylus,rhoidiphyllus,
,VU,,Grewia,turbinata,
,VU,,Clerodendrum,galeatum,
,VU,,Clerodendrum,leucophloeum,
arbre pieuvre,LR/nt,fantsy olotra,Alluaudia,procera,fantsy olotra;arbre pieuvre
arbre pieuvre,LR/nt,fantsilotra,Alluaudia,procera,fantsilotra;arbre pieuvre
arbre pieuvre,LR/nt,arbre pieuvre,Alluaudia,procera,arbre pieuvre;arbre pieuvre
arbre pieuvre,LR/nt,fantsiholitra,Alluaudia,procera,fantsiholitra;arbre pieuvre
,CR,trongkon lago,Serianthes,nelsonii,trongkon lago
,CR,hayun lagu,Serianthes,nelsonii,hayun lagu
,CR,tronkon guati,Serianthes,nelsonii,tronkon guati
,CR,hayun lago,Serianthes,nelsonii,hayun lago
,CR,trongkon guafi,Serianthes,nelsonii,trongkon guafi
,EN,,Dactyladenia,cinerea,
,VU,,Gilbertiodendron,pachyanthum,
,CR,zebrano,Microberlinia,bisulcata,zebrano
,CR,zingana,Microberlinia,bisulcata,zingana
,CR,andoung,Monopetalanthus,hedinii,andoung
,CR,audong,Monopetalanthus,hedinii,audong
,VU,,Medusandra,richardsiana,
,EN,,Warneckea,wildeana,
,DD,,Balsamocitrus,camerunensis,
,LR/nt,,Oriciopsis,glaberrima,
heart-leafed scalesia,EN,heart-leafed scalesia,Scalesia,cordata,heart-leafed scalesia;heart-leafed scalesia
heart-leafed scalesia,EN,lechoso,Scalesia,cordata,lechoso;heart-leafed scalesia
,EN,lechoso,Scalesia,microcephala;cordifolia,lechoso
,EN,lechoso,Scalesia,microcephala,lechoso
,VU,lechoso,Scalesia,pedunculata,lechoso
,VU,,Lippia,salicifolia,
pinta sunflower-tree,VU,pinta sunflower-tree,Scalesia,baurii,pinta sunflower-tree;pinta sunflower-tree
,CR,,Centaurodendron,dracaenoides,
,CR,,Centaurodendron,palmiforme,
,CR,,Dendroseris,litoralis,
,CR,,Dendroseris,macrantha,
,CR,,Dendroseris,macrophylla,
,CR,,Dendroseris,marginata,
,CR,,Cuminia,eriantha,
,CR,,Cuminia,fernandezia,
,VU,,Myrceugenia,schulzei,
,VU,,Coprosma,pyrifolia,
,VU,,Coprosma,oliveri,
,VU,,Fagara,externa,
,VU,,Fagara,mayu,
,VU,,Rhaphithamnus,venustus,
,VU,,Drimys,confertifolia,
,LR/lc,,Polyscias,marchionensis,
,LR/lc,,Glochidion,marchionicum,
,LR/nt,,Cyrtandra,feaniana,
,LR/lc,,Hernandia,nukuhivensis,
,LR/lc,,Alphitonia,marquesensis,
,DD,,Ixora,marquesensis,
,DD,,Psychotria,adamsonii,
,DD,,Psychotria,le-bronnecii,
,DD,,Allophylus,marquesensis,
sicilian fir,CR,sicilian fir,Abies,nebrodensis,sicilian fir;sicilian fir
sicilian fir,CR,abete delle madonie,Abies,nebrodensis,abete delle madonie;sicilian fir
sicilian fir,CR,abete dei nebrodi,Abies,nebrodensis,abete dei nebrodi;sicilian fir
,LR/nt,,Pseudopanax,gilliesii,
three kings rangiora,EN,three kings rangiora,Brachyglottis,arborescens,three kings rangiora;three kings rangiora
three kings kaikomako,CR,three kings kaikomako,Pennantia,baylisiana,three kings kaikomako;three kings kaikomako
,VU,,Elingamita,johnsonii,
,VU,,Myrsine,oliveri,
fairchild's kohuhu,VU,fairchild's kohuhu,Pittosporum,fairchildii,fairchild's kohuhu;fairchild's kohuhu
heart-leaved kohuhu,LR/nt,heart-leaved kohuhu,Pittosporum,obcordatum,heart-leaved kohuhu;heart-leaved kohuhu
turner's kohuhu,LR/cd,tent pole tree,Pittosporum,turneri,tent pole tree;turner's kohuhu
turner's kohuhu,LR/cd,turner's kohuhu,Pittosporum,turneri,turner's kohuhu;turner's kohuhu
,LR/nt,,Pittosporum,virgatum,
weeping tree broom,VU,weeping broom,Chordospartium,stevensonii,weeping broom;weeping tree broom
weeping tree broom,VU,weeping tree broom,Chordospartium,stevensonii,weeping tree broom;weeping tree broom
weeping tree broom,VU,cord broom,Chordospartium,stevensonii,cord broom;weeping tree broom
pink broom,LR/nt,pink broom,Notospartium,carmichaeliae,pink broom;pink broom
pink broom,LR/nt,pink broom,Notospartium,glabrescens,pink broom;pink broom
chatham island akeake,LR/nt,chatham island tree daisy,Olearia,traversii,chatham island tree daisy;chatham island akeake
chatham island akeake,LR/nt,chatham island akeake,Olearia,traversii,chatham island akeake;chatham island akeake
,LR/nt,whakataka,Corokia,macrocarpa,whakataka
,LR/nt,hokataka,Corokia,macrocarpa,hokataka
barker’s koromiko,VU,,Hebe,barkeri,;barker’s koromiko
barker’s koromiko,VU,chatham island tree hebe,Hebe,barkeri,chatham island tree hebe;barker’s koromiko
kermadec poplar,VU,kermadec poplar,Homalanthus,polyandrus,kermadec poplar;kermadec poplar
,EN,,Boehmeria,dealbata;australis,
fierce lancewood,LR/nt,fierce lancewood,Pseudopanax,ferox,fierce lancewood;fierce lancewood
norfolk island pine,VU,norfolk island pine,Araucaria,heterophylla,norfolk island pine;norfolk island pine
norfolk island pine,VU,star pine,Araucaria,heterophylla,star pine;norfolk island pine
,CR,,Campnosperma,seychellarum,
,EN,bwa bannann,Polyscias,sechellarum,bwa bannann
,EN,bilenbi maron,Colea,seychellarum,bilenbi maron
,NT,bwa rouz,Dillenia,ferruginea,bwa rouz
,LC,kafe maron pti fey,Erythroxylum,sechellarum,kafe maron pti fey
,VU,bwa zasmin,Excoecaria,benthamiana,bwa zasmin
,CR,,Rapanea,seychellarum,
,VU,bwa pom,Syzygium,wrightii,bwa pom
,CR,bwa mare;bwa gro la po,Grisollea,thomassetii,bwa mare;bwa gro la po
balfour’s pandanus,VU,,Pandanus,balfourii,;balfour’s pandanus
balfour’s pandanus,VU,vakwa bordmer,Pandanus,balfourii,vakwa bordmer;balfour’s pandanus
horne’s pandanus,VU,,Martellidendron,hornei,;horne’s pandanus
horne’s pandanus,VU,vakwa parasol,Martellidendron,hornei,vakwa parasol;horne’s pandanus
,NT,vakwa montanny,Pandanus,multispicatus,vakwa montanny
,NT,vakwa milpat,Pandanus,multispicatus,vakwa milpat
