main_common_name,Status code,Common Name,genus,species,common_name
,NT,dau tra beng,Dipterocarpus,obtusifolius,dau tra beng
,NT,keruing,Dipterocarpus,obtusifolius,keruing
,NT,dau dong,Dipterocarpus,tuberculatus,dau dong
,NT,gurjun,Dipterocarpus,tuberculatus,gurjun
,NT,yaang phluang,Dipterocarpus,tuberculatus,yaang phluang
,NT,dau loang,Dipterocarpus,tuberculatus,dau loang
,NT,khlong,Dipterocarpus,tuberculatus,khlong
,NT,gurjan,Dipterocarpus,tuberculatus,gurjan
,NT,kung,Dipterocarpus,tuberculatus,kung
,VU,nyang daeng kiang,Dipterocarpus,turbinatus,nyang daeng kiang
,VU,dau con quay,Dipterocarpus,turbinatus,dau con quay
,VU,dau la bong,Dipterocarpus,turbinatus,dau la bong
,VU,gurjan,Dipterocarpus,turbinatus,gurjan
,VU,chheuteal dong,Dipterocarpus,turbinatus,chheuteal dong
,VU,yaang daeng,Dipterocarpus,turbinatus,yaang daeng
,VU,gurjun,Dipterocarpus,turbinatus,gurjun
,EN,,Hopea,canarensis,
,EN,,Hopea,glabra,
,EN,gagil,Hopea,griffithii,gagil
,EN,takhian khao,Hopea,griffithii,takhian khao
,EN,kayu mang,Hopea,griffithii,kayu mang
,EN,merawan jantan,Hopea,griffithii,merawan jantan
,EN,kayu mang,Hopea,griffithii,kayu mang
,EN,gagil,Hopea,griffithii,gagil
,EN,merawan,Hopea,griffithii,merawan
,DD,,Hopea,oblongifolia,
malabar ironwood,EN,malabar ironwood,Hopea,parviflora,malabar ironwood;malabar ironwood
malabar ironwood,EN,bogi mara;bovu mara;kiralbhogi;sannele bogi,Hopea,parviflora,bogi mara;bovu mara;kiralbhogi;sannele bogi;malabar ironwood
malabar ironwood,EN,urippu;irumbogum;kongu;thambagam;iripu,Hopea,parviflora,urippu;irumbogum;kongu;thambagam;iripu;malabar ironwood
malabar ironwood,EN,irubogam;pongu;vellaikongu,Hopea,parviflora,irubogam;pongu;vellaikongu;malabar ironwood
,EN,,Hopea,racophloea,
,EN,,Hopea,utilis,
,EN,kra bak dam,Shorea,farinosa,kra bak dam
,EN,temak merah,Shorea,farinosa,temak merah
,EN,lumboa,Shorea,farinosa,lumboa
,EN,khian sai,Shorea,gratissima,khian sai
,EN,meranti laut,Shorea,gratissima,meranti laut
,EN,white meranti,Shorea,gratissima,white meranti
,NT,ca chac,Shorea,obtusa,ca chac
,NT,chik,Shorea,obtusa,chik
,NT,ca chit,Shorea,obtusa,ca chit
,NT,phcheuk,Shorea,obtusa,phcheuk
,NT,teng,Shorea,obtusa,teng
white meranti,VU,white meranti,Shorea,roxburghii,white meranti;white meranti
white meranti,VU,khanyom,Shorea,roxburghii,khanyom;white meranti
white meranti,VU,pha yom,Shorea,roxburghii,pha yom;white meranti
,CR,,Vateria,indica,
,CR,,Vatica,chinensis,
,CR,,Vatica,lanceaefolia,
afzelia,VU,,Afzelia,africana,;afzelia
afzelia,VU,apa,Afzelia,africana,apa;afzelia
afzelia,VU,kawo,Afzelia,africana,kawo;afzelia
afzelia,VU,arinyan,Afzelia,africana,arinyan;afzelia
afzelia,VU,,Afzelia,africana,;afzelia
afzelia,VU,akpalata,Afzelia,africana,akpalata;afzelia
afzelia,VU,afzelia,Afzelia,africana,afzelia;afzelia
afzelia,VU,papao,Afzelia,africana,papao;afzelia
,VU,,Afzelia,bipindensis,
,VU,doussie,Afzelia,bipindensis,doussie
,VU,,Afzelia,bipindensis,
,VU,odo niyan,Afzelia,bipindensis,odo niyan
,VU,ayan-olutoko,Afzelia,bipindensis,ayan-olutoko
,VU,aja,Afzelia,bipindensis,aja
white afzelia,VU,orodo,Afzelia,pachyloba,orodo;white afzelia
white afzelia,VU,white afzelia,Afzelia,pachyloba,white afzelia;white afzelia
white afzelia,VU,apa igbo,Afzelia,pachyloba,apa igbo;white afzelia
white afzelia,VU,,Afzelia,pachyloba,;white afzelia
albizia,VU,awiemfo samina,Albizia,ferruginea,awiemfo samina;albizia
albizia,VU,sifou,Albizia,ferruginea,sifou;albizia
albizia,VU,uwowe,Albizia,ferruginea,uwowe;albizia
albizia,VU,ngu,Albizia,ferruginea,ngu;albizia
albizia,VU,latandza,Albizia,ferruginea,latandza;albizia
albizia,VU,albizia,Albizia,ferruginea,albizia;albizia
albizia,VU,ayinre-ogo,Albizia,ferruginea,ayinre-ogo;albizia
,VU,bodioa,Anopyxis,klaineana,bodioa
,VU,otutu,Anopyxis,klaineana,otutu
,VU,kokote,Anopyxis,klaineana,kokote
,VU,kokoti,Anopyxis,klaineana,kokoti
,VU,noudougou,Anopyxis,klaineana,noudougou
antrocaryon,VU,bougongi,Antrocaryon,micraster,bougongi;antrocaryon
antrocaryon,VU,ifa okete,Antrocaryon,micraster,ifa okete;antrocaryon
antrocaryon,VU,aprokuma,Antrocaryon,micraster,aprokuma;antrocaryon
antrocaryon,VU,antrocaryon,Antrocaryon,micraster,antrocaryon;antrocaryon
antrocaryon,VU,akoua,Antrocaryon,micraster,akoua;antrocaryon
,CR,kabulungu,Autranella,congolensis,kabulungu
,CR,elang,Autranella,congolensis,elang
,CR,uku,Autranella,congolensis,uku
,CR,mukulungu,Autranella,congolensis,mukulungu
,CR,elanzok,Autranella,congolensis,elanzok
african pearwood,VU,moabi,Baillonella,toxisperma,moabi;african pearwood
african pearwood,VU,african pearwood,Baillonella,toxisperma,african pearwood;african pearwood
african pearwood,VU,djave nut,Baillonella,toxisperma,djave nut;african pearwood
african pearwood,VU,njabi,Baillonella,toxisperma,njabi;african pearwood
african pearwood,VU,adza,Baillonella,toxisperma,adza;african pearwood
african pearwood,VU,dimpampi,Baillonella,toxisperma,dimpampi;african pearwood
,LR/lc,,Euonymus,latifolius,
,VU,copaifera,Copaifera,salikounda,copaifera
,VU,entedua,Copaifera,salikounda,entedua
,VU,bubinga,Copaifera,salikounda,bubinga
west african cordia,LR/lc,pooli,Cordia,millenii,pooli;west african cordia
west african cordia,LR/lc,ketumba,Cordia,millenii,ketumba;west african cordia
west african cordia,LR/lc,omo,Cordia,millenii,omo;west african cordia
west african cordia,LR/lc,west african cordia,Cordia,millenii,west african cordia;west african cordia
west african cordia,LR/lc,tweneboa,Cordia,millenii,tweneboa;west african cordia
west african cordia,LR/lc,akaboa,Cordia,millenii,akaboa;west african cordia
west african cordia,LR/lc,mkibu,Cordia,millenii,mkibu;west african cordia
west african cordia,LR/lc,drum tree,Cordia,millenii,drum tree;west african cordia
west african cordia,LR/lc,ebe,Cordia,millenii,ebe;west african cordia
west african cordia,LR/lc,kyenduru,Cordia,millenii,kyenduru;west african cordia
west african cordia,LR/lc,,Cordia,millenii,;west african cordia
west african cordia,LR/lc,mzingatti,Cordia,millenii,mzingatti;west african cordia
west african cordia,VU,omo,Cordia,platythyrsa,omo;west african cordia
west african cordia,VU,,Cordia,platythyrsa,;west african cordia
west african cordia,VU,pooli,Cordia,platythyrsa,pooli;west african cordia
west african cordia,VU,west african cordia,Cordia,platythyrsa,west african cordia;west african cordia
west african cordia,VU,tweneboabere,Cordia,platythyrsa,tweneboabere;west african cordia
west african cordia,VU,akaboa,Cordia,platythyrsa,akaboa;west african cordia
,LR/nt,,Myristica,crassa,
,LR/cd,,Acronychia,porteri,
,EN,mukami,Newtonia,erlangeri,mukami
,EN,dhaydhay,Newtonia,erlangeri,dhaydhay
,EN,tuari,Newtonia,erlangeri,tuari
,EN,reydab,Newtonia,erlangeri,reydab
,EN,dheydhey,Newtonia,erlangeri,dheydhey
,VU,muchichio,Premna,maxima,muchichio
ebony,EN,ebony,Diospyros,crassiflora,ebony;ebony
ebony,EN,ebene,Diospyros,crassiflora,ebene;ebony
,VU,kulungi,Entandrophragma,angolense,kulungi
,VU,kikura,Entandrophragma,angolense,kikura
,VU,tiama,Entandrophragma,angolense,tiama
,VU,zougou bari,Entandrophragma,angolense,zougou bari
,VU,muyovu,Entandrophragma,angolense,muyovu
,VU,ziziezara,Entandrophragma,angolense,ziziezara
,VU,koupri,Entandrophragma,angolense,koupri
,VU,cedar,Entandrophragma,angolense,cedar
,VU,gedunohor,Entandrophragma,angolense,gedunohor
,VU,lokoa popo,Entandrophragma,angolense,lokoa popo
,VU,mukusu,Entandrophragma,angolense,mukusu
,VU,edinam,Entandrophragma,angolense,edinam
cedar kokoti,VU,penkwa-akoa,Entandrophragma,candollei,penkwa-akoa;cedar kokoti
cedar kokoti,VU,kosipo,Entandrophragma,candollei,kosipo;cedar kokoti
cedar kokoti,VU,cedar kokoti,Entandrophragma,candollei,cedar kokoti;cedar kokoti
cedar kokoti,VU,omu,Entandrophragma,candollei,omu;cedar kokoti
sapele,VU,sapele,Entandrophragma,cylindricum,sapele;sapele
sapele,VU,sapelli,Entandrophragma,cylindricum,sapelli;sapele
sapele,VU,owura,Entandrophragma,cylindricum,owura;sapele
sapele,VU,ubilesan,Entandrophragma,cylindricum,ubilesan;sapele
sapele,VU,libuyu,Entandrophragma,cylindricum,libuyu;sapele
sapele,VU,penkwa,Entandrophragma,cylindricum,penkwa;sapele
sapele,VU,aboudikrou,Entandrophragma,cylindricum,aboudikrou;sapele
sapele,VU,muyovu,Entandrophragma,cylindricum,muyovu;sapele
sapele,VU,ijebu,Entandrophragma,cylindricum,ijebu;sapele
sapele,VU,ogiekpogo,Entandrophragma,cylindricum,ogiekpogo;sapele
,EN,agba,Gossweilerodendron,balsamiferum,agba
,EN,tola,Gossweilerodendron,balsamiferum,tola
,EN,tola blanc,Gossweilerodendron,balsamiferum,tola blanc
,EN,egba,Gossweilerodendron,balsamiferum,egba
,EN,n'tola,Gossweilerodendron,balsamiferum,n'tola
,EN,tola branca,Gossweilerodendron,balsamiferum,tola branca
,EN,emongi,Gossweilerodendron,balsamiferum,emongi
,EN,achi,Gossweilerodendron,balsamiferum,achi
black hyedua,LC,black hyedua,Guibourtia,ehie,black hyedua;black hyedua
black hyedua,LC,ovangkol,Guibourtia,ehie,ovangkol;black hyedua
black hyedua,LC,ovankol,Guibourtia,ehie,ovankol;black hyedua
black hyedua,LC,ovengkol,Guibourtia,ehie,ovengkol;black hyedua
black hyedua,LC,ehie,Guibourtia,ehie,ehie;black hyedua
black hyedua,LC,anokye,Guibourtia,ehie,anokye;black hyedua
black hyedua,LC,anokye-hyedua,Guibourtia,ehie,anokye-hyedua;black hyedua
black hyedua,LC,,Guibourtia,ehie,;black hyedua
black hyedua,LC,,Guibourtia,ehie,;black hyedua
black hyedua,LC,guibourtia,Guibourtia,ehie,guibourtia;black hyedua
,LR/cd,,Adinandra,integerrima,
,LR/nt,mueba,Irvingia,gabonensis,mueba
,LR/nt,oba,Irvingia,gabonensis,oba
,LR/nt,oro,Irvingia,gabonensis,oro
,LR/nt,meba,Irvingia,gabonensis,meba
,LR/nt,abesebuo,Irvingia,gabonensis,abesebuo
,LR/nt,andok,Irvingia,gabonensis,andok
,LR/nt,bobo,Irvingia,gabonensis,bobo
,LR/nt,boboru,Irvingia,gabonensis,boboru
,LR/nt,wanini,Irvingia,gabonensis,wanini
,LR/nt,dika,Irvingia,gabonensis,dika
azobe,VU,endwi,Lophira,alata,endwi;azobe
azobe,VU,kaku,Lophira,alata,kaku;azobe
azobe,VU,ekki,Lophira,alata,ekki;azobe
azobe,VU,bongossi,Lophira,alata,bongossi;azobe
azobe,VU,azobe,Lophira,alata,azobe;azobe
azobe,VU,esore,Lophira,alata,esore;azobe
azobe,VU,bakundu,Lophira,alata,bakundu;azobe
azobe,VU,aba,Lophira,alata,aba;azobe
azobe,VU,,Lophira,alata,;azobe
african walnut,VU,,Lovoa,trichilioides,;african walnut
african walnut,VU,sida,Lovoa,trichilioides,sida;african walnut
african walnut,VU,african walnut,Lovoa,trichilioides,african walnut;african walnut
african walnut,VU,apopo,Lovoa,trichilioides,apopo;african walnut
african walnut,VU,bombulu,Lovoa,trichilioides,bombulu;african walnut
african walnut,VU,mpengwa,Lovoa,trichilioides,mpengwa;african walnut
african walnut,VU,congowood,Lovoa,trichilioides,congowood;african walnut
african walnut,VU,dubinibiri,Lovoa,trichilioides,dubinibiri;african walnut
african walnut,VU,anamemila,Lovoa,trichilioides,anamemila;african walnut
african walnut,VU,dibetou,Lovoa,trichilioides,dibetou;african walnut
african walnut,VU,bibolo,Lovoa,trichilioides,bibolo;african walnut
african walnut,VU,,Lovoa,trichilioides,;african walnut
african walnut,VU,tigerwood,Lovoa,trichilioides,tigerwood;african walnut
,VU,opepe,Nauclea,diderrichii,opepe
,VU,akondoc,Nauclea,diderrichii,akondoc
,VU,kilingi,Nauclea,diderrichii,kilingi
,VU,n'gulu-maza,Nauclea,diderrichii,n'gulu-maza
,VU,kusia,Nauclea,diderrichii,kusia
,VU,badi,Nauclea,diderrichii,badi
,VU,bilinga,Nauclea,diderrichii,bilinga
,VU,kyereyebere,Pterygota,bequaertii,kyereyebere
,VU,efok,Pterygota,bequaertii,efok
,VU,,Pterygota,bequaertii,
,VU,koto,Pterygota,bequaertii,koto
,VU,koto,Pterygota,macrocarpa,koto
,VU,kyereye,Pterygota,macrocarpa,kyereye
,VU,oporoporo,Pterygota,macrocarpa,oporoporo
,LC,pao rosa,Bobgunnia,fistuloides,pao rosa
,LC,dina,Bobgunnia,fistuloides,dina
,LC,ndina,Bobgunnia,fistuloides,ndina
,LC,oken,Bobgunnia,fistuloides,oken
,LC,asomanini,Bobgunnia,fistuloides,asomanini
,LC,kiela kusu,Bobgunnia,fistuloides,kiela kusu
,LC,akite,Bobgunnia,fistuloides,akite
,LC,pau rosa,Bobgunnia,fistuloides,pau rosa
,LC,awong,Bobgunnia,fistuloides,awong
black afara,VU,,Terminalia,ivorensis,;black afara
black afara,VU,black afara,Terminalia,ivorensis,black afara;black afara
black afara,VU,emire,Terminalia,ivorensis,emire;black afara
black afara,VU,framire,Terminalia,ivorensis,framire;black afara
black afara,VU,idigbo,Terminalia,ivorensis,idigbo;black afara
black afara,VU,emeri,Terminalia,ivorensis,emeri;black afara
black afara,VU,,Terminalia,ivorensis,;black afara
cherry mahogany,EN,aghanokwe,Tieghemella,heckelii,aghanokwe;cherry mahogany
cherry mahogany,EN,makore,Tieghemella,heckelii,makore;cherry mahogany
cherry mahogany,EN,cherry mahogany,Tieghemella,heckelii,cherry mahogany;cherry mahogany
cherry mahogany,EN,baku,Tieghemella,heckelii,baku;cherry mahogany
cherry mahogany,EN,bacu,Tieghemella,heckelii,bacu;cherry mahogany
cherry mahogany,EN,douka,Tieghemella,heckelii,douka;cherry mahogany
,VU,avodire,Turraeanthus,africana,avodire
,VU,lusamba,Turraeanthus,africana,lusamba
,VU,apapaye,Turraeanthus,africana,apapaye
,VU,,Turraeanthus,africana,
,VU,blimah-pu,Turraeanthus,africana,blimah-pu
,VU,apaya,Turraeanthus,africana,apaya
,VU,mersawa durian,Anisoptera,laevis,mersawa durian
,VU,krabak,Anisoptera,laevis,krabak
,VU,mersawa,Anisoptera,laevis,mersawa
,VU,krabak,Anisoptera,laevis,krabak
,EN,mersawa,Anisoptera,marginata,mersawa
,EN,krabak,Anisoptera,marginata,krabak
,CR,mersawa,Anisoptera,megistocarpa,mersawa
,EN,,Cotylelobium,burckii,
,VU,resak,Cotylelobium,lanceolatum,resak
,VU,khiam,Cotylelobium,lanceolatum,khiam
,VU,resak bukit,Cotylelobium,lanceolatum,resak bukit
,EN,resak,Cotylelobium,melanoxylon,resak
,EN,apitong,Dipterocarpus,caudatus,apitong
,EN,keruing,Dipterocarpus,caudatus,keruing
,CR,keruing,Dipterocarpus,cornutus,keruing
,CR,keruing,Dipterocarpus,costulatus,keruing
,CR,,Dipterocarpus,elongatus,
,CR,keruing,Dipterocarpus,eurynchus,keruing
,CR,apitong,Dipterocarpus,eurynchus,apitong
,CR,apitong,Dipterocarpus,kunstleri,apitong
,CR,keruing,Dipterocarpus,kunstleri,keruing
,CR,keruing,Dipterocarpus,lowii,keruing
,LR/lc,keruing,Dipterocarpus,oblongifolius,keruing
,CR,keruing,Dipterocarpus,rigidus,keruing
,CR,,Dipterocarpus,validus,
,EN,,Dryobalanops,oblongifolia,
,VU,selangan penak,Hopea,beccariana,selangan penak
,VU,gagil,Hopea,beccariana,gagil
,VU,merawan,Hopea,beccariana,merawan
,CR,gagil,Hopea,mengerawan,gagil
,CR,merawan,Hopea,mengerawan,merawan
,CR,palosapis,Anisoptera,thurifera,palosapis
,CR,keruing,Dipterocarpus,caudatus,keruing
,CR,apitong,Dipterocarpus,caudatus,apitong
,CR,keruing,Dipterocarpus,lamellatus,keruing
,CR,manggachapui,Hopea,acuminata,manggachapui
,CR,yakal,Hopea,basilanica,yakal
,CR,narek,Hopea,cagayanensis,narek
,CR,narak,Hopea,cagayanensis,narak
,CR,yakal,Hopea,cagayanensis,yakal
,CR,yakal,Hopea,malibato,yakal
,CR,yakal,Hopea,mindanensis,yakal
,CR,magasusu,Hopea,mindanensis,magasusu
,CR,guisok-guisok,Hopea,philippinensis,guisok-guisok
,EN,balau,Hopea,celebica,balau
,VU,giam,Hopea,pachycarpa,giam
,VU,gagil,Hopea,pierrei,gagil
,VU,takhian sai,Hopea,pierrei,takhian sai
,VU,koki khsach,Hopea,pierrei,koki khsach
,VU,merawan,Hopea,pierrei,merawan
,VU,kien kien,Hopea,pierrei,kien kien
,VU,giam,Hopea,pierrei,giam
,VU,merawan palung,Hopea,pierrei,merawan palung
,VU,giam,Hopea,pierrei,giam
,CR,yakal,Hopea,plagata,yakal
white seraya,CR,white seraya,Parashorea,malaanonan,white seraya;white seraya
white seraya,CR,white lauan,Parashorea,malaanonan,white lauan;white seraya
white seraya,CR,bagtikan,Parashorea,malaanonan,bagtikan;white seraya
white seraya,CR,urat mata,Parashorea,malaanonan,urat mata;white seraya
white meranti,CR,white meranti,Parashorea,lucida,white meranti;white meranti
white meranti,CR,balau,Parashorea,lucida,balau;white meranti
white meranti,CR,damar pepening,Parashorea,lucida,damar pepening;white meranti
white meranti,CR,kayu intap,Parashorea,lucida,kayu intap;white meranti
light red meranti,EN,alan,Shorea,albida,alan;light red meranti
light red meranti,EN,alan batu,Shorea,albida,alan batu;light red meranti
light red meranti,EN,light red meranti,Shorea,albida,light red meranti;light red meranti
light red meranti,EN,alan bunga,Shorea,albida,alan bunga;light red meranti
philippine mahogany,CR,light red meranti,Shorea,almon,light red meranti;philippine mahogany
philippine mahogany,CR,almon,Shorea,almon,almon;philippine mahogany
philippine mahogany,CR,almond,Shorea,almon,almond;philippine mahogany
philippine mahogany,CR,philippine mahogany,Shorea,almon,philippine mahogany;philippine mahogany
philippine mahogany,CR,white lauan,Shorea,almon,white lauan;philippine mahogany
,CR,,Shorea,assamica,
,CR,,Shorea,assamica,
red balau,CR,red balau,Shorea,balangeran,red balau;red balau
red balau,CR,yakal,Shorea,balangeran,yakal;red balau
red balau,CR,kayu kawi,Shorea,balangeran,kayu kawi;red balau
yellow meranti,EN,yellow meranti,Shorea,balanocarpoides,yellow meranti;yellow meranti
yellow meranti,EN,white meranti,Shorea,balanocarpoides,white meranti;yellow meranti
white meranti,EN,white meranti,Shorea,bracteolata,white meranti;white meranti
white meranti,EN,saya nual,Shorea,bracteolata,saya nual;white meranti
white meranti,EN,meranti pa'ang,Shorea,bracteolata,meranti pa'ang;white meranti
dark red meranti,CR,dark red meranti,Shorea,bullata,dark red meranti;dark red meranti
,CR,yakal,Shorea,astylosa,yakal
,CR,selangan batu,Shorea,astylosa,selangan batu
,CR,balau,Shorea,astylosa,balau
white lauan,CR,white lauan,Shorea,contorta,white lauan;white lauan
,CR,,Shorea,dispar,
white meranti,CR,white meranti,Shorea,assamica,white meranti;white meranti
white meranti,CR,manggasinoro,Shorea,assamica,manggasinoro;white meranti
,EN,light red meranti,Shorea,dasyphylla,light red meranti
,CR,,Shorea,flemmichii,
,EN,aek,Shorea,glauca,aek
,EN,balau,Shorea,glauca,balau
,EN,damar laut daun besar,Shorea,glauca,damar laut daun besar
,EN,selangan batu,Shorea,glauca,selangan batu
red balau,VU,red balau,Shorea,guiso,red balau;red balau
red balau,VU,guijo,Shorea,guiso,guijo;red balau
red balau,VU,ning,Shorea,guiso,ning;red balau
red balau,VU,selangan batu merah,Shorea,guiso,selangan batu merah;red balau
red balau,VU,selangan batu merah,Shorea,guiso,selangan batu merah;red balau
red balau,VU,kamlaeng,Shorea,guiso,kamlaeng;red balau
red balau,VU,red balau,Shorea,guiso,red balau;red balau
red balau,VU,guiso,Shorea,guiso,guiso;red balau
red balau,VU,dfgadfg,Shorea,guiso,dfgadfg;red balau
red balau,VU,chai bo bo,Shorea,guiso,chai bo bo;red balau
red balau,VU,teng tani,Shorea,guiso,teng tani;red balau
,CR,,Shorea,hemsleyana,
yellow meranti,CR,pakit,Shorea,hopeifolia,pakit;yellow meranti
yellow meranti,CR,yellow meranti,Shorea,hopeifolia,yellow meranti;yellow meranti
white meranti,EN,meranti temak,Shorea,hypochra,meranti temak;white meranti
white meranti,EN,koki pnong,Shorea,hypochra,koki pnong;white meranti
white meranti,EN,white meranti,Shorea,hypochra,white meranti;white meranti
white meranti,EN,phanong,Shorea,hypochra,phanong;white meranti
white meranti,EN,ven ven bop,Shorea,hypochra,ven ven bop;white meranti
red balau,CR,semayur,Shorea,inaequilateralis,semayur;red balau
red balau,CR,selangan batu merah,Shorea,inaequilateralis,selangan batu merah;red balau
red balau,CR,red balau,Shorea,inaequilateralis,red balau;red balau
light red meranti,CR,light red meranti,Shorea,johorensis,light red meranti;light red meranti
red balau,CR,selangan batu merah,Shorea,kunstleri,selangan batu merah;red balau
red balau,CR,red balau,Shorea,kunstleri,red balau;red balau
,VU,selangan batu,Shorea,laevis,selangan batu
,VU,balau,Shorea,laevis,balau
,VU,kumus,Shorea,laevis,kumus
,VU,kayu masang,Shorea,laevis,kayu masang
,VU,teng khuan,Shorea,laevis,teng khuan
,VU,selangan batu kumus,Shorea,laevis,selangan batu kumus
light red meranti,CR,light red meranti,Shorea,lepidota,light red meranti;light red meranti
light red meranti,NT,meranti,Shorea,leprosula,meranti;light red meranti
light red meranti,NT,light red meranti,Shorea,leprosula,light red meranti;light red meranti
light red meranti,NT,kayu pengerawan lampung,Shorea,leprosula,kayu pengerawan lampung;light red meranti
light red meranti,NT,saya daeng,Shorea,leprosula,saya daeng;light red meranti
light red meranti,NT,meranti tembaga,Shorea,leprosula,meranti tembaga;light red meranti
yellow meranti,EN,kalo dum,Shorea,longisperma,kalo dum;yellow meranti
yellow meranti,EN,yellow meranti,Shorea,longisperma,yellow meranti;yellow meranti
yellow meranti,EN,lun meranti,Shorea,longisperma,lun meranti;yellow meranti
light red meranti,CR,light red meranti,Shorea,macroptera,light red meranti;light red meranti
light red meranti,CR,kawang,Shorea,macroptera,kawang;light red meranti
light red meranti,CR,melantai,Shorea,macroptera,melantai;light red meranti
,EN,kawang,Shorea,macroptera,kawang
,EN,melantai,Shorea,macroptera,melantai
,EN,balau,Shorea,maxwelliana,balau
,EN,selangan batu,Shorea,maxwelliana,selangan batu
yellow meranti,LR/lc,banjutan,Shorea,multiflora,banjutan;yellow meranti
yellow meranti,LR/lc,yellow meranti,Shorea,multiflora,yellow meranti;yellow meranti
yellow meranti,LR/lc,damar hitam,Shorea,multiflora,damar hitam;yellow meranti
yellow meranti,LR/lc,lun jantan,Shorea,multiflora,lun jantan;yellow meranti
light red meranti,EN,almond,Shorea,ovalis,almond;light red meranti
light red meranti,EN,light red meranti,Shorea,ovalis,light red meranti;light red meranti
light red meranti,EN,almon,Shorea,ovalis,almon;light red meranti
light red meranti,EN,white lauan,Shorea,ovalis,white lauan;light red meranti
,CR,almond,Shorea,ovalis,almond
,CR,almon,Shorea,ovalis,almon
,CR,almon,Shorea,ovalis,almon
light red meranti,EN,light red meranti,Shorea,parvifolia,light red meranti;light red meranti
light red meranti,EN,white lauan,Shorea,parvifolia,white lauan;light red meranti
,EN,,Shorea,parvifolia,
dark red meranti,EN,dark red meranti,Shorea,pauciflora,dark red meranti;dark red meranti
dark red meranti,EN,red lauan,Shorea,pauciflora,red lauan;dark red meranti
dark red meranti,EN,nemesu,Shorea,pauciflora,nemesu;dark red meranti
light red meranti,CR,meanti merah,Shorea,platycarpa,meanti merah;light red meranti
light red meranti,CR,mang tembaga,Shorea,platycarpa,mang tembaga;light red meranti
light red meranti,CR,light red meranti,Shorea,platycarpa,light red meranti;light red meranti
dark red meranti,EN,dark red meranti,Shorea,platyclados,dark red meranti;dark red meranti
,CR,balau,Shorea,seminis,balau
,CR,yakal,Shorea,seminis,yakal
,CR,kayu kerintak,Shorea,seminis,kayu kerintak
light red meranti,CR,light red meranti,Shorea,smithiana,light red meranti;light red meranti
light red meranti,EN,meranti sopat,Shorea,teysmanniana,meranti sopat;light red meranti
light red meranti,EN,light red meranti,Shorea,teysmanniana,light red meranti;light red meranti
,VU,kayu pengerawan buaya,Shorea,uliginosa,kayu pengerawan buaya
,VU,meranti bakau,Shorea,uliginosa,meranti bakau
,VU,meranti bunga,Shorea,uliginosa,meranti bunga
,CR,tanguile,Shorea,polysperma,tanguile
,CR,tangile,Shorea,polysperma,tangile
,CR,tiaong,Shorea,polysperma,tiaong
philippine mahogany,CR,philippine mahogany,Shorea,palosapis,philippine mahogany;philippine mahogany
philippine mahogany,CR,white lauan,Shorea,palosapis,white lauan;philippine mahogany
philippine mahogany,CR,mayapis,Shorea,palosapis,mayapis;philippine mahogany
red lauan,CR,red lauan,Shorea,negrosensis,red lauan;red lauan
,CR,yakal,Shorea,malibato,yakal
,CR,yakal-malibato,Shorea,malibato,yakal-malibato
,CR,,Shorea,selanica,
,CR,kawang,Shorea,macroptera,kawang
,CR,melantai,Shorea,macroptera,melantai
,EN,penyau,Upuna,borneensis,penyau
,EN,upun batu,Upuna,borneensis,upun batu
,CR,resak,Vatica,maingayi,resak
,EN,,Vatica,odorata,
,VU,resak,Vatica,pauciflora,resak
,VU,lue soh,Vatica,pauciflora,lue soh
,VU,,Vatica,pauciflora,
,VU,resak,Vatica,pauciflora,resak
,LR/lc,narig,Vatica,rassak,narig
,CR,,Vatica,ridleyana,
,VU,kha nan,Vatica,stapfiana,kha nan
,VU,sak,Vatica,stapfiana,sak
,VU,resak,Vatica,stapfiana,resak
,VU,resak,Vatica,stapfiana,resak
,LC,resak,Vatica,umbonata,resak
,LR/lc,,Vatica,umbonata,
,CR,,Vatica,pachyphylla,
,CR,,Vatica,teysmanniana,
,CR,balau,Parashorea,aptera,balau
,EN,kapur,Dryobalanops,oblongifolia,kapur
,EN,khaen hin,Hopea,ferrea,khaen hin
,EN,giam,Hopea,ferrea,giam
,EN,giam malut,Hopea,ferrea,giam malut
,EN,takhian hin,Hopea,ferrea,takhian hin
,EN,koki thmo,Hopea,ferrea,koki thmo
,EN,sang da,Hopea,ferrea,sang da
,EN,sang dao,Hopea,ferrea,sang dao
,EN,melantai,Shorea,macroptera,melantai
,EN,kawang,Shorea,macroptera,kawang
,EN,,Dryobalanops,beccarii,
,EN,kapur,Dryobalanops,lanceolata,kapur
,LR/lc,,Vatica,odorata,
,EN,mersawa,Anisoptera,costata,mersawa
,EN,mersawa,Anisoptera,costata,mersawa
,EN,phdeak rom,Anisoptera,costata,phdeak rom
,EN,kra baak,Anisoptera,costata,kra baak
,EN,palosapis,Anisoptera,costata,palosapis
,EN,baak,Anisoptera,costata,baak
,EN,ven ven,Anisoptera,costata,ven ven
,EN,palosapis,Anisoptera,costata,palosapis
,CR,,Hopea,micrantha,
,DD,kayu resak padi,Vatica,cinerea,kayu resak padi
,DD,kayu resak padi,Vatica,cinerea,kayu resak padi
,VU,mlala,Diospyros,greenwayi,mlala
,DD,,Diospyros,capricornuta,
,EN,,Diospyros,magogoana,
,EN,,Diospyros,shimbaensis,
,LR/lc,pulai pipit,Alstonia,angustifolia,pulai pipit
