,id,assessment,kingdom_name,phylum_name,scientific_name,main_common_name,Status code,criteria,trend_id,Common Name,genus,species,sub_species
1136,31204,9612557,PLANTAE,TRACHEOPHYTA,Memecylon sisparense,,CR,B1+2c,,,Memecylon,sisparense,
1137,31205,9612730,PLANTAE,TRACHEOPHYTA,Schefflera bourdillonii,,EN,B1+2c,,,Schefflera,bourdillonii,
1138,31206,9612853,PLANTAE,TRACHEOPHYTA,Ixora johnsonii,,CR,B1+2c,,,Ixora,johnsonii,
1139,31207,9613001,PLANTAE,TRACHEOPHYTA,Ixora lawsoni,,EN,B1+2c,,,Ixora,lawsoni,
1140,31208,9613131,PLANTAE,TRACHEOPHYTA,Ixora saulierei,,EN,B1+2c,,,Ixora,saulierei,
1141,31210,9613619,PLANTAE,TRACHEOPHYTA,Lasianthus ciliatus,,VU,D2,,,Lasianthus,ciliatus,
1142,31211,9613734,PLANTAE,TRACHEOPHYTA,Psychotria globicephala,,EN,B1+2c,,,Psychotria,globicephala,
1143,31212,9614246,PLANTAE,TRACHEOPHYTA,Saprosma fragrans,,VU,B1+2c,,,Saprosma,fragrans,
1144,31213,9614432,PLANTAE,TRACHEOPHYTA,Wendlandia angustifolia,,EX,,,,Wendlandia,angustifolia,
1145,31214,9614588,PLANTAE,TRACHEOPHYTA,Ardisia amplexicaulis,,EN,B1+2c,,,Ardisia,amplexicaulis,
1146,31215,9614719,PLANTAE,TRACHEOPHYTA,Rapanea striata,,EN,B1+2c,,,Rapanea,striata,
1147,31216,9614835,PLANTAE,TRACHEOPHYTA,Madhuca bourdillonii,,EN,A1cd+2c,,,Madhuca,bourdillonii,
1148,31217,9615060,PLANTAE,TRACHEOPHYTA,Symplocos anamallayana,,EN,B1+2c,,,Symplocos,anamallayana,
1149,31218,9615158,PLANTAE,TRACHEOPHYTA,Symplocos barberi,,EN,B1+2c,,,Symplocos,barberi,
1150,31219,9615327,PLANTAE,TRACHEOPHYTA,Myristica malabarica,,VU,B1+2c,,,Myristica,malabarica,
1151,31220,9615649,PLANTAE,TRACHEOPHYTA,Actinodaphne bourneae,,EN,B1+2c,,,Actinodaphne,bourneae,
1152,31221,9615788,PLANTAE,TRACHEOPHYTA,Actinodaphne campanulata var. campanulata,,VU,B1+2c,,,Actinodaphne,campanulata,
1153,31222,9616416,PLANTAE,TRACHEOPHYTA,Actinodaphne campanulata var. obtusa,,EN,B1+2c,,,Actinodaphne,obtusa;campanulata,
1154,31223,9616791,PLANTAE,TRACHEOPHYTA,Actinodaphne lanata,,CR,B1+2c,,,Actinodaphne,lanata,
1155,31224,9616891,PLANTAE,TRACHEOPHYTA,Actinodaphne salicina,,EN,B1+2c,,,Actinodaphne,salicina,
1156,31225,9617029,PLANTAE,TRACHEOPHYTA,Cinnamomum perrottetii,,VU,B1+2c,,,Cinnamomum,perrottetii,
1157,31226,9617167,PLANTAE,TRACHEOPHYTA,Cinnamomum riparium,,VU,B1+2c,,,Cinnamomum,riparium,
1158,31227,9617303,PLANTAE,TRACHEOPHYTA,Cryptocarya stocksii,,VU,B1+2c,,,Cryptocarya,stocksii,
1159,31228,9617447,PLANTAE,TRACHEOPHYTA,Litsea travancorica,,EN,B1+2c,,,Litsea,travancorica,
1160,31229,9617621,PLANTAE,TRACHEOPHYTA,Glochidion bourdillonii,,VU,B1+2c,,,Glochidion,bourdillonii,
1161,31230,9617958,PLANTAE,TRACHEOPHYTA,Glochidion pauciflorum,,EN,B1+2c,,,Glochidion,pauciflorum,
1162,31231,50131117,PLANTAE,TRACHEOPHYTA,Commiphora wightii,,CR,A2cd,2.0,Guggul,Commiphora,wightii,
1163,31233,9618232,PLANTAE,TRACHEOPHYTA,Rhamnella gilgitica,,VU,D2,,,Rhamnella,gilgitica,
1164,31234,9618291,PLANTAE,TRACHEOPHYTA,Goniothalamus simonsii,,EN,B1+2c,,,Goniothalamus,simonsii,
1165,31235,2802395,PLANTAE,TRACHEOPHYTA,Magnolia griffithii,,DD,,4.0,,Magnolia,griffithii,
1166,31236,2802437,PLANTAE,TRACHEOPHYTA,Magnolia gustavii,,CR,C2a(i),2.0,Champi Doi,Magnolia,gustavii,
1167,31237,2802522,PLANTAE,TRACHEOPHYTA,Magnolia punduana,,DD,,2.0,,Magnolia,punduana,
1168,31239,9618655,PLANTAE,TRACHEOPHYTA,Ilex khasiana,,CR,"B1+2c, C2b, D",,,Ilex,khasiana,
1169,31240,9618725,PLANTAE,TRACHEOPHYTA,Ilex venulosa,,EN,B1+2c,,,Ilex,venulosa,
1170,31243,9618851,PLANTAE,TRACHEOPHYTA,Rhododendron subansiriense,,VU,D2,,,Rhododendron,subansiriense,
1171,31244,9618913,PLANTAE,TRACHEOPHYTA,Abies koreana,Korean Fir,EN,"B2ab(ii,iii,v)",2.0,Korean Fir,Abies,koreana,
1172,31244,9618913,PLANTAE,TRACHEOPHYTA,Abies koreana,Korean Fir,EN,"B2ab(ii,iii,v)",2.0,Gu-sang-na-mu,Abies,koreana,
1173,31245,9619180,PLANTAE,TRACHEOPHYTA,Thuja koraiensis,Korean Arbor-vitae,VU,"B2ab(ii,iii,iv,v); C2a(i); D1",2.0,Chaoxian Yabai,Thuja,koraiensis,
1174,31245,9619180,PLANTAE,TRACHEOPHYTA,Thuja koraiensis,Korean Arbor-vitae,VU,"B2ab(ii,iii,iv,v); C2a(i); D1",2.0,Nun-chuk-paek,Thuja,koraiensis,
1175,31245,9619180,PLANTAE,TRACHEOPHYTA,Thuja koraiensis,Korean Arbor-vitae,VU,"B2ab(ii,iii,iv,v); C2a(i); D1",2.0,Nioi-Nezuko,Thuja,koraiensis,
1176,31245,9619180,PLANTAE,TRACHEOPHYTA,Thuja koraiensis,Korean Arbor-vitae,VU,"B2ab(ii,iii,iv,v); C2a(i); D1",2.0,Korean Arbor-vitae,Thuja,koraiensis,
1177,31246,9619499,PLANTAE,TRACHEOPHYTA,Fagus hayatae,,VU,D2,,Taiwan Shuiqinggang,Fagus,hayatae,
1178,31247,9619572,PLANTAE,TRACHEOPHYTA,Pasania dodonaeifolia,,EN,"A1a, B1+2ab",,,Pasania,dodonaeifolia,
1179,31248,9619639,PLANTAE,TRACHEOPHYTA,Sassafras randaiense,,VU,A1ad,,,Sassafras,randaiense,
1180,31249,9619712,PLANTAE,TRACHEOPHYTA,Cinnamomum reticulatum,,VU,"C2a, D2",,,Cinnamomum,reticulatum,
1181,31250,9619786,PLANTAE,TRACHEOPHYTA,Salix kusanoi,,EN,C2a,,,Salix,kusanoi,
1182,31251,9619865,PLANTAE,TRACHEOPHYTA,Photinia lasiopetala,,VU,D1+2,,,Photinia,lasiopetala,
1183,31252,9619934,PLANTAE,TRACHEOPHYTA,Prunus taiwaniana,,VU,D1+2,,,Prunus,taiwaniana,
1184,31253,9620009,PLANTAE,TRACHEOPHYTA,Prunus transarisanensis,,LR/nt,,,,Prunus,transarisanensis,
1185,31254,2802558,PLANTAE,TRACHEOPHYTA,Calocedrus formosana,Taiwan Incense-Cedar,EN,"B2ab(ii,iii,v)",2.0,Taiwan Incense-Cedar,Calocedrus,formosana,
1186,31254,2802558,PLANTAE,TRACHEOPHYTA,Calocedrus formosana,Taiwan Incense-Cedar,EN,"B2ab(ii,iii,v)",2.0,Taiwan Cui Bai,Calocedrus,formosana,
1187,31254,2802558,PLANTAE,TRACHEOPHYTA,Calocedrus formosana,Taiwan Incense-Cedar,EN,"B2ab(ii,iii,v)",2.0,台湾翠柏,Calocedrus,formosana,
1188,31255,9620141,PLANTAE,TRACHEOPHYTA,Taiwania cryptomerioides,Coffin Tree,VU,A2cd,3.0,Taiwan Cedar,Taiwania,cryptomerioides,
1189,31255,9620141,PLANTAE,TRACHEOPHYTA,Taiwania cryptomerioides,Coffin Tree,VU,A2cd,3.0,Taiwania,Taiwania,cryptomerioides,
1190,31255,9620141,PLANTAE,TRACHEOPHYTA,Taiwania cryptomerioides,Coffin Tree,VU,A2cd,3.0,Coffin Tree,Taiwania,cryptomerioides,
1191,31255,9620141,PLANTAE,TRACHEOPHYTA,Taiwania cryptomerioides,Coffin Tree,VU,A2cd,3.0,Taiwan-sah,Taiwania,cryptomerioides,
1192,31256,9620545,PLANTAE,TRACHEOPHYTA,Schefflera taiwaniana,,LR/lc,,,,Schefflera,taiwaniana,
1193,31257,2802620,PLANTAE,TRACHEOPHYTA,Cephalotaxus harringtonii var. wilsoniana,Taiwan Plum Yew,EN,"B1ab(iii,v)+2ab(iii,v)",2.0,Wilson Plum Yew,Cephalotaxus,harringtonii;wilsoniana,
1194,31257,2802620,PLANTAE,TRACHEOPHYTA,Cephalotaxus harringtonii var. wilsoniana,Taiwan Plum Yew,EN,"B1ab(iii,v)+2ab(iii,v)",2.0,Taiwan Plum Yew,Cephalotaxus,harringtonii;wilsoniana,
1195,31258,2802692,PLANTAE,TRACHEOPHYTA,Cunninghamia konishii,,EN,"A2cd; B2ab(ii,iii,v)",2.0,Taiwan shan mu,Cunninghamia,konishii,
1196,31258,2802692,PLANTAE,TRACHEOPHYTA,Cunninghamia konishii,,EN,"A2cd; B2ab(ii,iii,v)",2.0,Sa Moc Que Phong,Cunninghamia,konishii,
1197,31259,9611400,PLANTAE,TRACHEOPHYTA,Euonymus pallidifolia,,CR,A1a+2d,,,Euonymus,pallidifolia,
1198,31260,97176333,PLANTAE,TRACHEOPHYTA,Euonymus huangii,,VU,D1+2,,,Euonymus,huangii,
1199,31261,2802780,PLANTAE,TRACHEOPHYTA,Magnolia kachirachirai,,EN,"B1ab(i,iii)",2.0,,Magnolia,kachirachirai,
1200,31262,2802823,PLANTAE,TRACHEOPHYTA,Keteleeria davidiana var. formosana,,EN,"B1ab(iii,v)+2ab(iii,v)",2.0,,Keteleeria,formosana;davidiana,
1201,31263,9620669,PLANTAE,TRACHEOPHYTA,Pasania formosana,,CR,D,,,Pasania,formosana,
1202,31264,9620739,PLANTAE,TRACHEOPHYTA,Gleditsia rolfei,,EN,D,,Tiri,Gleditsia,rolfei,
1203,31264,9620739,PLANTAE,TRACHEOPHYTA,Gleditsia rolfei,,EN,D,,Lemon Pa,Gleditsia,rolfei,
1204,31265,2802875,PLANTAE,TRACHEOPHYTA,Amentotaxus formosana,Taiwan Catkin Yew,VU,D1+2,3.0,Tai Wan Sui Hua Shan,Amentotaxus,formosana,
1205,31265,2802875,PLANTAE,TRACHEOPHYTA,Amentotaxus formosana,Taiwan Catkin Yew,VU,D1+2,3.0,台湾穗花杉,Amentotaxus,formosana,
1206,31265,2802875,PLANTAE,TRACHEOPHYTA,Amentotaxus formosana,Taiwan Catkin Yew,VU,D1+2,3.0,Taiwan Catkin Yew,Amentotaxus,formosana,
1207,31266,9620917,PLANTAE,TRACHEOPHYTA,Cinnamomum brevipedunculatum,,EN,B1+2a,,,Cinnamomum,brevipedunculatum,
1208,31267,9620989,PLANTAE,TRACHEOPHYTA,Cornus monbeigii,,VU,B1+2c,,,Cornus,monbeigii,
1209,31269,9621057,PLANTAE,TRACHEOPHYTA,Euonymus grandiflorus,,LR/lc,,,,Euonymus,grandiflorus,
1210,31270,2802994,PLANTAE,TRACHEOPHYTA,Picea brachytyla,Sargent's Spruce,VU,A2cd,4.0,Sargent's Spruce,Picea,brachytyla,
1211,31270,2802994,PLANTAE,TRACHEOPHYTA,Picea brachytyla,Sargent's Spruce,VU,A2cd,4.0,麦吊云杉,Picea,brachytyla,
1212,31270,2802994,PLANTAE,TRACHEOPHYTA,Picea brachytyla,Sargent's Spruce,VU,A2cd,4.0,mai diao yun shan,Picea,brachytyla,
1213,31271,9621749,PLANTAE,TRACHEOPHYTA,Euonymus acanthocarpa,,LR/nt,,,,Euonymus,acanthocarpa,
1214,31272,9612632,PLANTAE,TRACHEOPHYTA,Photinia lasiogyna,,VU,A1cd,,,Photinia,lasiogyna,
1215,31273,9612794,PLANTAE,TRACHEOPHYTA,Sorbus wallichii,,LR/lc,,,,Sorbus,wallichii,
1216,31274,2803140,PLANTAE,TRACHEOPHYTA,Magnolia wilsonii,,NT,,2.0,Xikang Yulan,Magnolia,wilsonii,
1217,31275,9613068,PLANTAE,TRACHEOPHYTA,Sloanea tomentosa,,LR/lc,,,,Sloanea,tomentosa,
1218,31276,2803201,PLANTAE,TRACHEOPHYTA,Picea neoveitchii,Veitch's Spruce,CR,"B2ab(i,ii,iii,v); C2a(ii)",2.0,Hubei Spruce,Picea,neoveitchii,
1219,31276,2803201,PLANTAE,TRACHEOPHYTA,Picea neoveitchii,Veitch's Spruce,CR,"B2ab(i,ii,iii,v); C2a(ii)",2.0,Daguo Qingqian,Picea,neoveitchii,
1220,31276,2803201,PLANTAE,TRACHEOPHYTA,Picea neoveitchii,Veitch's Spruce,CR,"B2ab(i,ii,iii,v); C2a(ii)",2.0,Veitch's Spruce,Picea,neoveitchii,
1221,31277,2803298,PLANTAE,TRACHEOPHYTA,Picea aurantiaca,Orange Spruce,EN,A2cd,2.0,Orange Spruce,Picea,aurantiaca,
1222,31277,2803298,PLANTAE,TRACHEOPHYTA,Picea aurantiaca,Orange Spruce,EN,A2cd,2.0,白皮云杉,Picea,aurantiaca,
1223,31277,2803298,PLANTAE,TRACHEOPHYTA,Picea aurantiaca,Orange Spruce,EN,A2cd,2.0,Baipi Yun Shan,Picea,aurantiaca,
1224,31278,9613551,PLANTAE,TRACHEOPHYTA,Pittosporum pauciflorum,,VU,B1+2c,,,Pittosporum,pauciflorum,
1225,31279,9613681,PLANTAE,TRACHEOPHYTA,Pentapanax leschenaultii,,LR/lc,,,,Pentapanax,leschenaultii,
1226,31280,9614313,PLANTAE,TRACHEOPHYTA,Eucommia ulmoides,,LR/nt,,,Duzhong,Eucommia,ulmoides,
1227,31281,117999828,PLANTAE,TRACHEOPHYTA,Toxicodendron delavayi,,LR/cd,,,,Toxicodendron,delavayi,
1228,31282,117998656,PLANTAE,TRACHEOPHYTA,Pentapanax henryi,,LR/cd,,,,Pentapanax,henryi,
1229,31283,9614781,PLANTAE,TRACHEOPHYTA,Sloanea assamica,,LR/lc,,,,Sloanea,assamica,
1230,31284,2803363,PLANTAE,TRACHEOPHYTA,Liriodendron chinense,Chinese Tulip Tree,NT,,2.0,Chinese Tulip Tree,Liriodendron,chinense,
1231,31284,2803363,PLANTAE,TRACHEOPHYTA,Liriodendron chinense,Chinese Tulip Tree,NT,,2.0,Ezhangqiu,Liriodendron,chinense,
1232,31284,2803363,PLANTAE,TRACHEOPHYTA,Liriodendron chinense,Chinese Tulip Tree,NT,,2.0,Chinese Whitewood,Liriodendron,chinense,
1233,31285,9615127,PLANTAE,TRACHEOPHYTA,Prunus henryi,,LR/lc,,,,Prunus,henryi,
1234,31286,9615222,PLANTAE,TRACHEOPHYTA,Euonymus lanceifolia,,VU,B1+2c,,,Euonymus,lanceifolia,
1235,31287,9615418,PLANTAE,TRACHEOPHYTA,Tilia paucicostata var. yunnanensis,,LR/lc,,,,Tilia,yunnanensis;paucicostata,
1236,31288,2803532,PLANTAE,TRACHEOPHYTA,Larix mastersiana,Masters' Larch,EN,"A2cd; B2ab(ii,iii,iv,v)",2.0,Masters' Larch,Larix,mastersiana,
1237,31288,2803532,PLANTAE,TRACHEOPHYTA,Larix mastersiana,Masters' Larch,EN,"A2cd; B2ab(ii,iii,iv,v)",2.0,Sichuan Hongshan,Larix,mastersiana,
1238,31288,2803532,PLANTAE,TRACHEOPHYTA,Larix mastersiana,Masters' Larch,EN,"A2cd; B2ab(ii,iii,iv,v)",2.0,Chuan Hong Shan,Larix,mastersiana,
1239,31289,113761591,PLANTAE,TRACHEOPHYTA,Magnolia sargentiana,,VU,"B2ab(iii,v)",2.0,,Magnolia,sargentiana,
1240,31290,9616484,PLANTAE,TRACHEOPHYTA,Picea koyamae,Koyama's Spruce,CR,"B1ab(ii,iii,v)",2.0,Yatsugatake-toˆhi,Picea,koyamae,
1241,31290,9616484,PLANTAE,TRACHEOPHYTA,Picea koyamae,Koyama's Spruce,CR,"B1ab(ii,iii,v)",2.0,Koyama's Spruce,Picea,koyamae,
1242,31291,2803646,PLANTAE,TRACHEOPHYTA,Pseudotsuga japonica,Japanese Douglas-fir,EN,C2a(i),2.0,Toga-suwara,Pseudotsuga,japonica,
1243,31291,2803646,PLANTAE,TRACHEOPHYTA,Pseudotsuga japonica,Japanese Douglas-fir,EN,C2a(i),2.0,Goyo-toga,Pseudotsuga,japonica,
1244,31291,2803646,PLANTAE,TRACHEOPHYTA,Pseudotsuga japonica,Japanese Douglas-fir,EN,C2a(i),2.0,Japanese Douglas-fir,Pseudotsuga,japonica,
1245,31292,2803687,PLANTAE,TRACHEOPHYTA,Picea maximowiczii var. maximowiczii,,EN,"A2acde; B1ab(iii,v)+2ab(iii,v)",2.0,,Picea,maximowiczii,
1246,31293,2803738,PLANTAE,TRACHEOPHYTA,Picea maximowiczii var. senanensis,,DD,,4.0,,Picea,senanensis;maximowiczii,
1247,31294,9617239,PLANTAE,TRACHEOPHYTA,Quercus dentata,,LR/lc,,,,Quercus,dentata,
1248,31295,9617375,PLANTAE,TRACHEOPHYTA,Ilex praetermissa,,VU,B1+2c,,,Ilex,praetermissa,
1249,31296,9617513,PLANTAE,TRACHEOPHYTA,Caryocar costaricense,Plomillo,VU,A1acd,,Cagüí,Caryocar,costaricense,
1250,31296,9617513,PLANTAE,TRACHEOPHYTA,Caryocar costaricense,Plomillo,VU,A1acd,,Plomillo,Caryocar,costaricense,
1251,31296,9617513,PLANTAE,TRACHEOPHYTA,Caryocar costaricense,Plomillo,VU,A1acd,,Ajillo,Caryocar,costaricense,
1252,31296,9617513,PLANTAE,TRACHEOPHYTA,Caryocar costaricense,Plomillo,VU,A1acd,,Manú,Caryocar,costaricense,
1253,31296,9617513,PLANTAE,TRACHEOPHYTA,Caryocar costaricense,Plomillo,VU,A1acd,,Ají,Caryocar,costaricense,
1254,31296,9617513,PLANTAE,TRACHEOPHYTA,Caryocar costaricense,Plomillo,VU,A1acd,,Almendrón,Caryocar,costaricense,
1255,31296,9617513,PLANTAE,TRACHEOPHYTA,Caryocar costaricense,Plomillo,VU,A1acd,,Almendrillo,Caryocar,costaricense,
1256,31296,9617513,PLANTAE,TRACHEOPHYTA,Caryocar costaricense,Plomillo,VU,A1acd,,Ajo,Caryocar,costaricense,
1257,31297,9617683,PLANTAE,TRACHEOPHYTA,Miconia santaritensis,,VU,A2c,,,Miconia,santaritensis,
1258,31298,9617874,PLANTAE,TRACHEOPHYTA,Miconia centrosperma,,EN,C1,,,Miconia,centrosperma,
1259,31299,9618025,PLANTAE,TRACHEOPHYTA,Viburnum costaricanum,,LR/nt,,,,Viburnum,costaricanum,
1260,31300,9621896,PLANTAE,TRACHEOPHYTA,Viburnum stellato-tomentosum,,LR/nt,,,,Viburnum,stellato-tomentosum,
1261,31301,9622055,PLANTAE,TRACHEOPHYTA,Hernandia didymantha,,LR/nt,,,,Hernandia,didymantha,
1262,31302,9622213,PLANTAE,TRACHEOPHYTA,Hernandia stenura,,LR/nt,,,,Hernandia,stenura,
1263,31303,9622352,PLANTAE,TRACHEOPHYTA,Zelkova carpinifolia,,LR/nt,,,,Zelkova,carpinifolia,
1264,31304,9622497,PLANTAE,TRACHEOPHYTA,Sambucus tigranii,Tigran's Elder,VU,D2,,Tigran's Elder,Sambucus,tigranii,
1265,31304,9622497,PLANTAE,TRACHEOPHYTA,Sambucus tigranii,Tigran's Elder,VU,D2,,Tigranis Didgula,Sambucus,tigranii,
1266,31304,9622497,PLANTAE,TRACHEOPHYTA,Sambucus tigranii,Tigran's Elder,VU,D2,,Buzina Tigrana,Sambucus,tigranii,
1267,31304,9622497,PLANTAE,TRACHEOPHYTA,Sambucus tigranii,Tigran's Elder,VU,D2,,Muchlenbergella Overina,Sambucus,tigranii,
1268,31305,2803944,PLANTAE,TRACHEOPHYTA,Platycladus orientalis,Oriental Arbor-vitae,NT,,4.0,Oriental Arbor-vitae,Platycladus,orientalis,
1269,31305,2803944,PLANTAE,TRACHEOPHYTA,Platycladus orientalis,Oriental Arbor-vitae,NT,,4.0,Bai Zi Ren,Platycladus,orientalis,
1270,31305,2803944,PLANTAE,TRACHEOPHYTA,Platycladus orientalis,Oriental Arbor-vitae,NT,,4.0,Ce Bai Ye,Platycladus,orientalis,
1271,31307,9622838,PLANTAE,TRACHEOPHYTA,Tristaniopsis polyandra,,EN,B1+2c,,,Tristaniopsis,polyandra,
1272,31308,9623007,PLANTAE,TRACHEOPHYTA,Tristaniopsis vieillardii,,VU,B1+2c,,,Tristaniopsis,vieillardii,
1273,31309,9623145,PLANTAE,TRACHEOPHYTA,Metrosideros humboldtiana,,LR/cd,,,,Metrosideros,humboldtiana,
1274,31310,9623709,PLANTAE,TRACHEOPHYTA,Xanthostemon sulfureus,,VU,B1+2c,,,Xanthostemon,sulfureus,
1275,31311,9623853,PLANTAE,TRACHEOPHYTA,Xanthostemon sebertii,,EX,,,,Xanthostemon,sebertii,
1276,31312,9623986,PLANTAE,TRACHEOPHYTA,Pericopsis mooniana,Nandu Wood,VU,A1cd,,Kayu Laut,Pericopsis,mooniana,
1277,31312,9623986,PLANTAE,TRACHEOPHYTA,Pericopsis mooniana,Nandu Wood,VU,A1cd,,Makapilit,Pericopsis,mooniana,
