sc_name,genus,species,family,iucn_status_code,common_names,regions,wwf_high_risk_flag
Abies religiosa,Abies,religiosa,Pinaceae,,oyamel;sacred fir;oyamel fir,,
Abies sachalinensis,Abies,sachalinensis,Pinaceae,,todo-matsu;pikhta sakhalinskaya;akatodo;sakhalin fir,,
Abies sibirica,Abies,sibirica,Pinaceae,,tienshan fir;xian bei leng shan;siberian fir,,
Abies sikokiana,Abies,sikokiana,Pinaceae,,shikoku fir;shikoku-shirabe,,
Abies smithii,Abies,smithii,Pinaceae,,,,
Abies spectabilis,Abies,spectabilis,Pinaceae,,himalayan fir;badar;xizang leng shan;chilrao;webb fir;paludar;bang,,
Abies squamata,Abies,squamata,Pinaceae,,linpi leng shan;flaky fir,,
Abies sutchuensis,Abies,sutchuensis,Pinaceae,,,,
Abies umbellata,Abies,umbellata,Pinaceae,,,,
Abies veitchii,Abies,veitchii,Pinaceae,,shira-biso;veitch’s fir;shikoku fir;shikoku-shirabe,,
Abies vejarii,Abies,vejarii,Pinaceae,,vejar's fir;hayarin,,
Abies yuanbaoshanensis,Abies,yuanbaoshanensis,Pinaceae,,yuanbaoshan fir;yuanbaoshan lengshan,,
Abies ziyuanensis,Abies,ziyuanensis,Pinaceae,,ziyuan lengshan;ziyuan fir,,
Abrahamia grandidieri,Abrahamia,grandidieri,,,hazombasy;sohihy,,
Abrahamia sericea,Abrahamia,sericea,,,tsimalazo,,
Abrus aureus,Abrus,aureus,,,vahimboamena;voatorana;masonangatra;masogoaiky;voamatora;saravokatra;masogaga;masomamboatorana;masamamboatorana;masamamboagara,,
Abrus fruticulosus,Abrus,fruticulosus,,,,,
Abrus madagascariensis,Abrus,madagascariensis,,,,,
Abrus sambiranensis,Abrus,sambiranensis,,,,,
Abrus schimperi,Abrus,schimperi,,,,,
Abutilon depauperatum,Abutilon,depauperatum,,,abrojo,,
Abutilon eremitopetalum,Abutilon,eremitopetalum,,,hiddenpetal indian mallow;hidden-petaled abutilon,,
Abutilon menziesii,Abutilon,menziesii,,,ko'oloa'ula,,
Abutilon sachetianum,Abutilon,sachetianum,,,,,
Abutilon sandwicense,Abutilon,sandwicense,,,greenflower indian mallow,,
Acaena exigua,Acaena,exigua,,,liliwai,,
Acalypha andina,Acalypha,andina,,,,,
Acalypha cupricola,Acalypha,cupricola,,,,,
Acalypha dictyoneura,Acalypha,dictyoneura,,,,,
Acalypha dikuluwensis,Acalypha,dikuluwensis,,,,,
Acalypha ecuadorica,Acalypha,ecuadorica,,,,,
Acalypha eggersii,Acalypha,eggersii,,,,,
Acalypha grisebachiana,Acalypha,grisebachiana,,,,,
Acalypha guineensis,Acalypha,guineensis,,,,,
Acalypha hontauyuensis,Acalypha,hontauyuensis,,,,,
Acalypha lepinei,Acalypha,lepinei,,,,,
Acalypha parvula,Acalypha,parvula,,,,,
Acalypha raivavensis,Acalypha,raivavensis,,,,,
Acalypha rubrinervis,Acalypha,rubrinervis,,,stringwood,,
Acalypha schimpffii,Acalypha,schimpffii,,,,,
Acalypha suirenbiensis,Acalypha,suirenbiensis,,,,,
Acalypha tunguraguae,Acalypha,tunguraguae,,,,,
Acalypha wilderi,Acalypha,wilderi,,,,,
Acampe congesta,Acampe,congesta,,,,,
Acampe multiflora,Acampe,multiflora,,,,HKG;CHN,
Acampe papillosa,Acampe,papillosa,,,,,
Acampe praemorsa,Acampe,praemorsa,,,,,
Acampe rigida,Acampe,rigida,,,,HKG;SYC,
Acampe wightiana,Acampe,wightiana,,,,,
Acanthephippium bicolor,Acanthephippium,bicolor,,,,LKA;IND,
Acanthephippium curtisii,Acanthephippium,curtisii,,,,MYS,
Acanthephippium gougahense,Acanthephippium,gougahense,,,,,
Acanthephippium javanicum,Acanthephippium,javanicum,,,,IDN;MYS,
Acanthephippium lycaste,Acanthephippium,lycaste,,,,MYS,
Acanthephippium parviflorum,Acanthephippium,parviflorum,,,,IDN,
Acanthephippium pictum,Acanthephippium,pictum,,,,,
Acanthephippium sinense,Acanthephippium,sinense,,,,HKG;CHN,
Acanthephippium striatum,Acanthephippium,striatum,,,,IDN;IND,
Acanthephippium sylhetnese,Acanthephippium,sylhetnese,,,,IND;BGD,
Acanthephippium unguiculatum,Acanthephippium,unguiculatum,,,,TWN,
Acanthephippium vitiense,Acanthephippium,vitiense,,,,NCL,
Acanthephippium yamamotoi,Acanthephippium,yamamotoi,,,,TWN;JPN,
Acanthocalycium ferrarii,Acanthocalycium,ferrarii,,,,ARG,
Acanthocalycium klimpelianum,Acanthocalycium,klimpelianum,,,,ARG,
Acanthocalycium spiniflorum,Acanthocalycium,spiniflorum,,,,ARG,
Acanthocereus baxaniensis,Acanthocereus,baxaniensis,,,,CUB,
Acanthocereus colombianus,Acanthocereus,colombianus,,,,COL,
Acanthocereus horridus,Acanthocereus,horridus,,,,MEX;GTM;SLV,
Acanthocereus occidentalis,Acanthocereus,occidentalis,,,,MEX,
Acanthocereus subinermis,Acanthocereus,subinermis,,,,MEX,
Acanthocereus tetragonus,Acanthocereus,tetragonus,,,nopal de tres lomos;bejunco;cruceta;triangle cactus;nopal de cruz,VEN;GRD;TTO;SLV;LCA;MTQ;CRI;BLZ;GLP;GTM;HND;CUB;PAN;MEX;USA,
Acanthochlamys bracteata,Acanthochlamys,bracteata,,,,,
Acantholimon gabrieljaniae,Acantholimon,gabrieljaniae,,,gabrielyan's prickly-thrift;voznatup gabrieliani;akantolimon gabrielian,,
Acantholimon vedicum,Acantholimon,vedicum,,,vedian prickly thrift;voznatup vedu;akantolimon vedinski,,
Acanthopale decempedalis,Acanthopale,decempedalis,,,,,
Acanthopale laxiflora,Acanthopale,laxiflora,,,,,
Acanthopale macrocarpa,Acanthopale,macrocarpa,,,,,
Acanthophippium mantinianum,Acanthophippium,mantinianum,,,,,
Acanthophoenix rubra,Acanthophoenix,rubra,,,palmiste rouge;palmiste piquant,,
Acanthosyris annonagustata,Acanthosyris,annonagustata,,,,,
Acanthosyris asipapote,Acanthosyris,asipapote,,,,,
Acanthus austromontanus,Acanthus,austromontanus,,,,,
Acanthus ebracteatus,Acanthus,ebracteatus,,,sea holly;acanthus,,
Acanthus ilicifolius,Acanthus,ilicifolius,,,holy mangrove,,
Acanthus kulalensis,Acanthus,kulalensis,,,,,
Acanthus latisepalus,Acanthus,latisepalus,,,,,
Acanthus montanus,Acanthus,montanus,,,,,
Acanthus volubilis,Acanthus,volubilis,,,,,
Acca lanuginosa,Acca,lanuginosa,,,,,
Acer amplum,Acer,amplum,Sapindaceae,,,,
Acer binzayedii,Acer,binzayedii,Sapindaceae,,algodoncillo,,
Acer buergerianum,Acer,buergerianum,Sapindaceae,,taiwan trident maple,,
Acer caesium,Acer,caesium,Sapindaceae,,indian maple,,
Acer campestre,Acer,campestre,Sapindaceae,,field maple,,
Acer cappadocicum,Acer,cappadocicum,Sapindaceae,,cappadocian maple;caucasian maple;coliseum maple,,
Acer circinatum,Acer,circinatum,Sapindaceae,,vine maple,,
Acer drummondi,Acer,drummondi,Sapindaceae,,swamp red maple,,
Acer duplicatoserratum,Acer,duplicatoserratum,Sapindaceae,,,,
Acer erythranthum,Acer,erythranthum,Sapindaceae,,,,
Acer floridanum,Acer,floridanum,Sapindaceae,,florida maple;southern sugar maple,,
Acer formosanum,Acer,formosanum,Sapindaceae,,taiwan trident maple,,
