,family,genus,species,sub_sp,common_name,range_state,is_tropical,is_coniferous,flag
0,,Abarema,abbottii,,,,,,1.0
1,,Abarema,alexandri,,,,,,0.0
2,,Abarema,bigemina,,,,,,1.0
3,,Abarema,callejasii,,,,,,1.0
4,,Abarema,centiflora,,,,,,1.0
5,,Abarema,cochleata,,,,,,1.0
6,,Abarema,cochliocarpos,,,,,,0.0
7,,Abarema,commutata,,,,,,0.0
8,,Abarema,curvicarpa,,orelha de negro,,,,0.0
9,,Abarema,filamentosa,,,,,,1.0
10,,Abarema,ganymedea,,,,,,1.0
11,,Abarema,josephi,,,,,,1.0
12,,Abarema,killipii,,,,,,1.0
13,,Abarema,lehmannii,,,,,,1.0
14,,Abarema,leucophylla,,,,,,1.0
15,,Abarema,longipedunculata,,,,,,0.0
16,,Abarema,moniliformis,,,,,,1.0
17,,Abarema,obovata,,,,,,1.0
18,,Abarema,oxyphyllidia,,,,,,1.0
19,,Abarema,racemiflora,,,,,,1.0
20,,Abarema,rodriguesii,,,,,,1.0
21,,Abarema,troyana,,,,,,0.0
22,,Abarema,turbinata,,,,,,1.0
23,,Abarema,vaupesensis,,,,,,1.0
24,,Abarema,villifera,,,,,,0.0
25,,Abdulmajidia,chaniana,,,,,,1.0
26,,Abdulmajidia,maxwelliana,,,,,,1.0
27,,Abeliophyllum,distichum,,미선나무;white forsythia;mi-seon-na-mu,,,,1.0
28,Pinaceae,Abies,alba,[],"['silver fir', 'sapin pectiné', 'weisstanne']",[],,1.0,0.0
29,Pinaceae,Abies,amabilis,[],"['pacific silver fir', 'cascade fir', 'lovley fir']",[],,1.0,0.0
30,Pinaceae,Abies,balsamea,[],[],[],,1.0,1.0
31,Pinaceae,Abies,beshanzuensis,,baishanzu lengshan;百山祖冷杉;baishan fir,,,1.0,1.0
32,Pinaceae,Abies,bracteata,[],"['bristlecone fir', 'santa lucia fir']",[],,1.0,1.0
33,Pinaceae,Abies,cephalonica,,kukunaria;greek fir;grecian fir,,,1.0,0.0
34,Pinaceae,Abies,chensiensis,"['chensiensis', 'salouenensis', 'yulongxueshanensis']","['秦岭冷杉', 'qin ling leng shan', 'shensi fir', 'salween fir', 'salween fir']",[],,1.0,0.0
35,Pinaceae,Abies,cilicica,"['cilicica', 'isaurica']",[],[],,1.0,1.0
36,Pinaceae,Abies,coahuilensis,,,,,1.0,1.0
37,Pinaceae,Abies,concolor,[],"['white fir', ""low's fir"", 'colorado fir', 'california white fir']",[],,1.0,0.0
38,Pinaceae,Abies,delavayi,['fansipanensis'],"['fansipan fir', 'nukiang fir']",[],,1.0,1.0
39,Pinaceae,Abies,densa,,gobra;sikkim fir;gobria;salla,,,1.0,0.0
40,Pinaceae,Abies,durangensis,,durango fir,,,1.0,0.0
41,Pinaceae,Abies,ernestii,,,,,1.0,1.0
42,Pinaceae,Abies,fabri,"['fabri', 'minensis']","['冷杉', 'pao shan', 'leng shan', 'faber’s fir', 'minshan fir', 'minshan fir']",[],,1.0,1.0
43,Pinaceae,Abies,fanjingshanensis,,fan jing lengshan;梵净山冷杉,,,1.0,1.0
44,Pinaceae,Abies,fargesii,,,,,1.0,0.0
45,Pinaceae,Abies,faxoniana,,,,,1.0,1.0
46,Pinaceae,Abies,ferreana,,,,,1.0,0.0
47,Pinaceae,Abies,firma,,momi-noki;momi fir;momi,,,1.0,0.0
48,Pinaceae,Abies,forrestii,,,,,1.0,1.0
49,Pinaceae,Abies,fraseri,,fraser's fir;she balsam;fraser fir,,,1.0,1.0
50,Pinaceae,Abies,georgei,,changbao lengshan;george's fir,,,1.0,0.0
