sc_name,genus,species,family,common_names,regions,cites_flag,iucn_flag,wwf_high_risk_flag
Copiapoa marginata,Copiapoa,marginata,,copiapoa de bridges,CHL,1,1,0
Copiapoa megarhiza,Copiapoa,megarhiza,,cacto raizon,CHL,1,1,0
Copiapoa montana,Copiapoa,montana,,,CHL,1,0,0
Copiapoa rupestris,Copiapoa,rupestris,,,CHL,1,0,0
Copiapoa serpentisulcata,Copiapoa,serpentisulcata,,cacto de la serpiente,CHL,1,1,0
Copiapoa solaris,Copiapoa,solaris,,,CHL,1,1,0
Copiapoa taltalensis,Copiapoa,taltalensis,,,,0,1,0
Copiapoa tenuissima,Copiapoa,tenuissima,,,CHL,1,0,0
Copiapoa tocopillana,Copiapoa,tocopillana,,,CHL,1,0,0
Copiapoa varispinata,Copiapoa,varispinata,,,CHL,1,0,0
Coprosma benefica,Coprosma,benefica,,red berry,,0,1,0
Coprosma cookei,Coprosma,cookei,,,,0,1,0
Coprosma esulcata,Coprosma,esulcata,,,,0,1,0
Coprosma glabrata,Coprosma,glabrata,,,,0,1,0
Coprosma laevigata,Coprosma,laevigata,,rarotongan coprosma,,0,1,0
Coprosma nephelephila,Coprosma,nephelephila,,,,0,0,0
Coprosma oliveri,Coprosma,oliveri,,,,0,1,0
Coprosma orohenensis,Coprosma,orohenensis,,,,0,0,0
Coprosma pyrifolia,Coprosma,pyrifolia,,,,0,1,0
Coprosma raiateensis,Coprosma,raiateensis,,,,0,1,0
Coprosma rapensis,Coprosma,rapensis,,red berry,,0,1,0
Coprosma reticulata,Coprosma,reticulata,,,,0,0,0
Coprosma taitensis,Coprosma,taitensis,,,,0,1,0
Coprosma wallii,Coprosma,wallii,,,,0,1,0
Coptis teeta,Coptis,teeta,,,,0,1,0
Corallodiscus cooperi,Corallodiscus,cooperi,,,,0,1,0
Corallorhiza bentleyi,Corallorhiza,bentleyi,,bentley's coralroot,,0,1,0
Corallorhiza trifida,Corallorhiza,trifida,,,HUN;BIH;UKR;NLD;LTU,1,0,0
Corallorrhiza ehrenbergii,Corallorrhiza,ehrenbergii,,,MEX,1,0,0
Corallorrhiza elliptica,Corallorrhiza,elliptica,,,MEX,1,0,0
Corallorrhiza fimbriata,Corallorrhiza,fimbriata,,,MEX,1,0,0
Corallorrhiza macrantha,Corallorrhiza,macrantha,,,MEX;GTM,1,0,0
Corallorrhiza odontorhiza,Corallorrhiza,odontorhiza,,,USA;CAN,1,0,0
Corallorrhiza williamsii,Corallorrhiza,williamsii,,,SLV;MEX,1,0,0
Corchorus erodiodes,Corchorus,erodiodes,,,,0,0,0
Cordeauxia edulis,Cordeauxia,edulis,,yeheb nut,,0,1,0
Cordia abyssinica,Cordia,abyssinica,Boraginaceae,cordia d’afrique;canalete,ETH;BRA;NGA;ARG;MEX;CUB;CMR;COG;UGA;GAB;GBR;CAF;COL;VEN,0,0,0
Cordia africana,Cordia,africana,Boraginaceae,cordia d’afrique;canalete,ETH;BRA;NGA;ARG;MEX;CUB;CMR;COG;UGA;GAB;GBR;CAF;COL;VEN,0,0,0
Cordia alliodora,Cordia,alliodora,Boraginaceae,cordia d’afrique;canalete,ETH;BRA;NGA;ARG;MEX;CUB;CMR;COG;UGA;GAB;GBR;CAF;COL;VEN,0,1,0
Cordia americana,Cordia,americana,Boraginaceae,cordia d’afrique;canalete,ETH;BRA;NGA;ARG;MEX;CUB;CMR;COG;UGA;GAB;GBR;CAF;COL;VEN,0,0,0
Cordia anisophylla,Cordia,anisophylla,Boraginaceae,cordia d’afrique;canalete,ETH;BRA;NGA;ARG;MEX;CUB;CMR;COG;UGA;GAB;GBR;CAF;COL;VEN,0,1,0
Cordia caymanensis,Cordia,caymanensis,Boraginaceae,cordia d’afrique;canalete,ETH;BRA;NGA;ARG;MEX;CUB;CMR;COG;UGA;GAB;GBR;CAF;COL;VEN,0,1,0
Cordia cicatricosa,Cordia,cicatricosa,Boraginaceae,cordia d’afrique;canalete,ETH;BRA;NGA;ARG;MEX;CUB;CMR;COG;UGA;GAB;GBR;CAF;COL;VEN,0,1,0
Cordia collococca,Cordia,collococca,Boraginaceae,cordia d’afrique;canalete,ETH;BRA;NGA;ARG;MEX;CUB;CMR;COG;UGA;GAB;GBR;CAF;COL;VEN,0,0,0
Cordia correae,Cordia,correae,Boraginaceae,cordia d’afrique;canalete,ETH;BRA;NGA;ARG;MEX;CUB;CMR;COG;UGA;GAB;GBR;CAF;COL;VEN,0,1,0
Cordia croatii,Cordia,croatii,Boraginaceae,cordia d’afrique;canalete,ETH;BRA;NGA;ARG;MEX;CUB;CMR;COG;UGA;GAB;GBR;CAF;COL;VEN,0,1,0
Cordia dichotoma,Cordia,dichotoma,Boraginaceae,cordia d’afrique;canalete,ETH;BRA;NGA;ARG;MEX;CUB;CMR;COG;UGA;GAB;GBR;CAF;COL;VEN,0,0,0
Cordia dodecandra,Cordia,dodecandra,Boraginaceae,cordia d’afrique;canalete,ETH;BRA;NGA;ARG;MEX;CUB;CMR;COG;UGA;GAB;GBR;CAF;COL;VEN,0,0,0
Cordia elaeagnoides,Cordia,elaeagnoides,Boraginaceae,cordia d’afrique;canalete,ETH;BRA;NGA;ARG;MEX;CUB;CMR;COG;UGA;GAB;GBR;CAF;COL;VEN,0,0,0
Cordia elliptica,Cordia,elliptica,Boraginaceae,cordia d’afrique;canalete,ETH;BRA;NGA;ARG;MEX;CUB;CMR;COG;UGA;GAB;GBR;CAF;COL;VEN,0,0,0
Cordia fragrantissima,Cordia,fragrantissima,Boraginaceae,cordia d’afrique;canalete,ETH;BRA;NGA;ARG;MEX;CUB;CMR;COG;UGA;GAB;GBR;CAF;COL;VEN,0,0,0
Cordia gerascanthus,Cordia,gerascanthus,Boraginaceae,cordia d’afrique;canalete,ETH;BRA;NGA;ARG;MEX;CUB;CMR;COG;UGA;GAB;GBR;CAF;COL;VEN,0,0,0
Cordia glabrata,Cordia,glabrata,Boraginaceae,cordia d’afrique;canalete,ETH;BRA;NGA;ARG;MEX;CUB;CMR;COG;UGA;GAB;GBR;CAF;COL;VEN,0,0,0
Cordia goeldiana,Cordia,goeldiana,Boraginaceae,cordia d’afrique;canalete,ETH;BRA;NGA;ARG;MEX;CUB;CMR;COG;UGA;GAB;GBR;CAF;COL;VEN,0,0,0
Cordia harrisii,Cordia,harrisii,Boraginaceae,cordia d’afrique;canalete,ETH;BRA;NGA;ARG;MEX;CUB;CMR;COG;UGA;GAB;GBR;CAF;COL;VEN,0,1,0
Cordia holstii,Cordia,holstii,Boraginaceae,cordia d’afrique;canalete,ETH;BRA;NGA;ARG;MEX;CUB;CMR;COG;UGA;GAB;GBR;CAF;COL;VEN,0,0,0
Cordia laevigata,Cordia,laevigata,Boraginaceae,cordia d’afrique;canalete,ETH;BRA;NGA;ARG;MEX;CUB;CMR;COG;UGA;GAB;GBR;CAF;COL;VEN,0,1,0
Cordia leslieae,Cordia,leslieae,Boraginaceae,cordia d’afrique;canalete,ETH;BRA;NGA;ARG;MEX;CUB;CMR;COG;UGA;GAB;GBR;CAF;COL;VEN,0,1,0
Cordia leucophlyctis,Cordia,leucophlyctis,Boraginaceae,cordia d’afrique;canalete,ETH;BRA;NGA;ARG;MEX;CUB;CMR;COG;UGA;GAB;GBR;CAF;COL;VEN,0,1,0
Cordia mandimbana,Cordia,mandimbana,Boraginaceae,cordia d’afrique;canalete,ETH;BRA;NGA;ARG;MEX;CUB;CMR;COG;UGA;GAB;GBR;CAF;COL;VEN,0,1,0
Cordia millenii,Cordia,millenii,Boraginaceae,cordia d’afrique;canalete,ETH;BRA;NGA;ARG;MEX;CUB;CMR;COG;UGA;GAB;GBR;CAF;COL;VEN,0,1,0
Cordia mukuensis,Cordia,mukuensis,Boraginaceae,cordia d’afrique;canalete,ETH;BRA;NGA;ARG;MEX;CUB;CMR;COG;UGA;GAB;GBR;CAF;COL;VEN,0,1,0
Cordia obovata,Cordia,obovata,Boraginaceae,cordia d’afrique;canalete,ETH;BRA;NGA;ARG;MEX;CUB;CMR;COG;UGA;GAB;GBR;CAF;COL;VEN,0,0,0
Cordia platythyrsa,Cordia,platythyrsa,Boraginaceae,cordia d’afrique;canalete,ETH;BRA;NGA;ARG;MEX;CUB;CMR;COG;UGA;GAB;GBR;CAF;COL;VEN,0,1,0
Cordia protracta,Cordia,protracta,Boraginaceae,cordia d’afrique;canalete,ETH;BRA;NGA;ARG;MEX;CUB;CMR;COG;UGA;GAB;GBR;CAF;COL;VEN,0,1,0
Cordia ramirezii,Cordia,ramirezii,Boraginaceae,cordia d’afrique;canalete,ETH;BRA;NGA;ARG;MEX;CUB;CMR;COG;UGA;GAB;GBR;CAF;COL;VEN,0,1,0
Cordia revoluta,Cordia,revoluta,Boraginaceae,cordia d’afrique;canalete,ETH;BRA;NGA;ARG;MEX;CUB;CMR;COG;UGA;GAB;GBR;CAF;COL;VEN,0,1,0
Cordia rickseckeri,Cordia,rickseckeri,Boraginaceae,cordia d’afrique;canalete,ETH;BRA;NGA;ARG;MEX;CUB;CMR;COG;UGA;GAB;GBR;CAF;COL;VEN,0,1,0
Cordia rosei,Cordia,rosei,Boraginaceae,cordia d’afrique;canalete,ETH;BRA;NGA;ARG;MEX;CUB;CMR;COG;UGA;GAB;GBR;CAF;COL;VEN,0,1,0
Cordia scouleri,Cordia,scouleri,Boraginaceae,cordia d’afrique;canalete,ETH;BRA;NGA;ARG;MEX;CUB;CMR;COG;UGA;GAB;GBR;CAF;COL;VEN,0,1,0
Cordia sebestena,Cordia,sebestena,Boraginaceae,cordia d’afrique;canalete,ETH;BRA;NGA;ARG;MEX;CUB;CMR;COG;UGA;GAB;GBR;CAF;COL;VEN,0,1,0
Cordia spp.,Cordia,spp.,Boraginaceae,cordia d’afrique;canalete,ETH;BRA;NGA;ARG;MEX;CUB;CMR;COG;UGA;GAB;GBR;CAF;COL;VEN,0,0,0
Cordia stuhlmannii,Cordia,stuhlmannii,Boraginaceae,,,0,1,0
Cordia suaveolens,Cordia,suaveolens,Boraginaceae,,,0,0,0
Cordia subcordata,Cordia,subcordata,Boraginaceae,balu;purnamasada;kanava;kenal laut,,0,1,0
Cordia suckertii,Cordia,suckertii,Boraginaceae,,,0,0,0
Cordia sulcata,Cordia,sulcata,Boraginaceae,white manjack,,0,0,0
Cordia tacarcunensis,Cordia,tacarcunensis,Boraginaceae,,,0,1,0
Cordia trichotoma,Cordia,trichotoma,Boraginaceae,,,0,0,0
Cordia troyana,Cordia,troyana,Boraginaceae,,,0,1,0
Cordia valenzuelana,Cordia,valenzuelana,Boraginaceae,,,0,1,0
Cordiglottis filiformis,Cordiglottis,filiformis,,,SGP,1,0,0
Cordiglottis major,Cordiglottis,major,,,MYS,1,0,0
Cordyline minutiflora,Cordyline,minutiflora,,,,0,1,0
Coreopsis rosea,Coreopsis,rosea,,,,0,1,0
Cornus disciflora,Cornus,disciflora,Cornaceae,cintonilla;aceitunillo,,0,1,0
Cornus florida,Cornus,florida,Cornaceae,,,0,0,0
Cornus mas,Cornus,mas,Cornaceae,cornelian cherry,,0,0,0
Cornus monbeigii,Cornus,monbeigii,Cornaceae,,,0,1,0
Cornus sericea,Cornus,sericea,Cornaceae,,,0,0,0
Cornutia obovata,Cornutia,obovata,,capá jigüerilla;palo de nigua;nigua,,0,1,0
Cornutia thyrsoidea,Cornutia,thyrsoidea,,,,0,0,0
Corokia macrocarpa,Corokia,macrocarpa,,hokataka;whakataka,,0,1,0
Coronilla talaverae,Coronilla,talaverae,,,,0,1,0
Coronilla valentina,Coronilla,valentina,,mediterranean crown vetch,,0,0,0
Coronopus navasii,Coronopus,navasii,,mastuerzo de gádor,,0,1,0
Corrigiola litoralis,Corrigiola,litoralis,,riempjes;corriggiola litorale;corrigiole des grèves;corrigiola de playas;serghina;tasserghint;corrigiole de passacamins;bekhour-el-barbar;strapwort;skorem,,0,1,0
Corrigiola telephiifolia,Corrigiola,telephiifolia,,corrigiola perenne;corrigiole à feuilles de téléphium;tasserghint;serghina;bekhour-el-barbar;corrigiola;quebrantarrastros,,0,1,0
Corryocactus acervatus,Corryocactus,acervatus,,,PER,1,0,0
Corryocactus apiciflorus,Corryocactus,apiciflorus,,,PER,1,1,0
Corryocactus aureus,Corryocactus,aureus,,,PER,1,1,0
Corryocactus ayacuchoensis,Corryocactus,ayacuchoensis,,,PER,1,1,0
Corryocactus ayopayanus,Corryocactus,ayopayanus,,,BOL,1,0,0
Corryocactus brachycladus,Corryocactus,brachycladus,,,PER,1,0,0
Corryocactus brachypetalus,Corryocactus,brachypetalus,,,PER,1,1,0
Corryocactus brevispinus,Corryocactus,brevispinus,,,PER,1,0,0
Corryocactus brevistylus,Corryocactus,brevistylus,,,PER;CHL,1,0,0
Corryocactus chachapoyensis,Corryocactus,chachapoyensis,,,PER,1,0,0
Corryocactus charazanensis,Corryocactus,charazanensis,,,BOL,1,0,0
Corryocactus chavinilloensis,Corryocactus,chavinilloensis,,,PER,1,0,0
Corryocactus cuajonesensis,Corryocactus,cuajonesensis,,,PER,1,0,0
Corryocactus erectus,Corryocactus,erectus,,,PER,1,1,0
Corryocactus gracilis,Corryocactus,gracilis,,,PER,1,0,0
Corryocactus heteracanthus,Corryocactus,heteracanthus,,,PER,1,0,0
Corryocactus huincoensis,Corryocactus,huincoensis,,,PER,1,0,0
Corryocactus megarhizus,Corryocactus,megarhizus,,,PER,1,0,0
Corryocactus melaleucus,Corryocactus,melaleucus,,,PER,1,0,0
Corryocactus melanotrichus,Corryocactus,melanotrichus,,,BOL,1,0,0
Corryocactus odoratus,Corryocactus,odoratus,,,PER,1,0,0
Corryocactus otuyensis,Corryocactus,otuyensis,,,BOL,1,0,0
Corryocactus perezianus,Corryocactus,perezianus,,,BOL,1,0,0
Corryocactus pilispinus,Corryocactus,pilispinus,,,PER,1,0,0
Corryocactus prostratus,Corryocactus,prostratus,,,PER,1,0,0
Corryocactus pulquinensis,Corryocactus,pulquinensis,,,BOL,1,1,0
Corryocactus pyroporphyranthus,Corryocactus,pyroporphyranthus,,,PER,1,0,0
Corryocactus quadrangularis,Corryocactus,quadrangularis,,,PER,1,1,0
Corryocactus quivillanus,Corryocactus,quivillanus,,,PER,1,0,0
Corryocactus serpens,Corryocactus,serpens,,,PER,1,1,0
Corryocactus solitarius,Corryocactus,solitarius,,,PER,1,0,0
Corryocactus squarrosus,Corryocactus,squarrosus,,,PER,1,1,0
Corryocactus tarijensis,Corryocactus,tarijensis,,,BOL,1,1,0
Corryocactus tenuiculus,Corryocactus,tenuiculus,,,PER,1,0,0
Cortaderia turbaria,Cortaderia,turbaria,,chatham island toe,,0,1,0
Coryanthes elegantium,Coryanthes,elegantium,,,COL;ECU,1,0,0
Coryanthes gerlachiana,Coryanthes,gerlachiana,,,BOL,1,0,0
Coryanthes speciosa,Coryanthes,speciosa,,,GTM;BLZ;MEX;HND;COL;PAN,1,0,0
Coryanthes thivii,Coryanthes,thivii,,,BOL,1,0,0
Coryanthes vieirae,Coryanthes,vieirae,,,,1,0,0
Corybas abditus,Corybas,abditus,,,,1,0,0
Corybas abellianus,Corybas,abellianus,,,AUS,1,0,0
Corybas acutus,Corybas,acutus,,,IDN,1,0,0
Corybas bancanus,Corybas,bancanus,,,IDN,1,0,0
Corybas bryophilus,Corybas,bryophilus,,,IDN,1,0,0
Corybas calcicolus,Corybas,calcicolus,,,MYS,1,0,0
Corybas calopeplos,Corybas,calopeplos,,,MYS,1,0,0
Corybas carinatus,Corybas,carinatus,,,MYS;IDN,1,0,0
Corybas carinulifer,Corybas,carinulifer,,,,0,1,0
Corybas caudatus,Corybas,caudatus,,,MYS,1,0,0
Corybas comptus,Corybas,comptus,,,MYS,1,0,0
Corybas crenulatus,Corybas,crenulatus,,,MYS;IDN,1,0,0
Corybas dentatus,Corybas,dentatus,,,AUS,1,0,0
Corybas dienemus,Corybas,dienemus,,windswept helmet orchid,,0,1,0
Corybas fornicatus,Corybas,fornicatus,,,MYS;IDN,1,0,0
Corybas gastrosiphon,Corybas,gastrosiphon,,,,0,0,0
Corybas geminigibbus,Corybas,geminigibbus,,,MYS;IDN,1,0,0
Corybas gemmatus,Corybas,gemmatus,,,SLB,1,0,0
Corybas himalaicus,Corybas,himalaicus,,,MMR;IND,1,0,0
Corybas holttumii,Corybas,holttumii,,,MYS,1,0,0
Corybas imperatorius,Corybas,imperatorius,,,IDN,1,0,0
Corybas kinabaluensis,Corybas,kinabaluensis,,,MYS,1,0,0
Corybas laceratus,Corybas,laceratus,,,PHL,1,0,0
Corybas limpidus,Corybas,limpidus,,,AUS,1,0,0
Corybas merrillii,Corybas,merrillii,,,PHL,1,0,0
Corybas montanus,Corybas,montanus,,,AUS,1,0,0
Corybas muluensis,Corybas,muluensis,,,MYS,1,0,0
Corybas neocaledonicus,Corybas,neocaledonicus,,,NCL,1,0,0
Corybas pictus,Corybas,pictus,,,MYS;IDN,1,0,0
Corybas piliferus,Corybas,piliferus,,,MYS,1,0,0
Corybas ponapensis,Corybas,ponapensis,,,FSM,1,0,0
Corybas praetermissus,Corybas,praetermissus,,,IDN,1,0,0
Corybas ramosianus,Corybas,ramosianus,,,PHL,1,0,0
Corybas ridleyanus,Corybas,ridleyanus,,,MYS,1,0,0
Corybas royenii,Corybas,royenii,,,PNG,1,0,0
Corybas selangorensis,Corybas,selangorensis,,,MYS,1,0,0
Corybas serpentinus,Corybas,serpentinus,,,MYS,1,0,0
Corybas taiwanensis,Corybas,taiwanensis,,,TWN,1,0,0
Corybas umbrosus,Corybas,umbrosus,,,IDN,1,0,0
Corybas undulatus,Corybas,undulatus,,,,1,0,0
Corybas unguiculatus,Corybas,unguiculatus,,,NZL,1,0,0
Corybas villosus,Corybas,villosus,,,MYS,1,0,0
Corybas vinosus,Corybas,vinosus,,,IDN,1,0,0
Corycium bifidum,Corycium,bifidum,,,ZAF,1,0,0
Corycium flanaganii,Corycium,flanaganii,,,ZAF;LSO,1,0,0
Corycium ingeanum,Corycium,ingeanum,,,ZAF,1,0,0
Corycium microglossum,Corycium,microglossum,,,ZAF,1,0,0
Corycium tricuspidatum,Corycium,tricuspidatum,,,ZAF;LSO,1,0,0
Corycium vestitum,Corycium,vestitum,,,ZAF,1,0,0
Corydalis aurantiaca,Corydalis,aurantiaca,,,,0,0,0
Corydalis calliantha,Corydalis,calliantha,,,,0,0,0
Corydalis filistipes,Corydalis,filistipes,,seom-hyun-ho-saek,,0,1,0
Corydalis gotlandica,Corydalis,gotlandica,,,,0,1,0
Corydalis leptantha,Corydalis,leptantha,,,,0,1,0
Corydalis tarkiensis,Corydalis,tarkiensis,,tarkian corydalis;khokhlatka tarkinskaya,,0,1,0
Corylopsis coreana,Corylopsis,coreana,,hi-eo-ri;korean winter hazel,,0,1,0
Corylopsis pauciflora,Corylopsis,pauciflora,,,,0,1,0
Corylus americana,Corylus,americana,Betulaceae,hazelnut;american hazel;american hazelnut,,0,1,0
Corylus avellana,Corylus,avellana,Betulaceae,avelline;romische hasel;turkish hazel;pontische hasel;cobnut;hazel;oresnik pontijskij;european hazel;mediterranean hazel,,0,1,0
Corylus chinensis,Corylus,chinensis,Betulaceae,chinese hazlenut;hua zhen,,0,1,0
Corylus colchica,Corylus,colchica,Betulaceae,colchian hazel;kolkhuri tkhili,,0,1,0
Corylus colurna,Corylus,colurna,Betulaceae,turkish hazel,,0,0,0
Corylus cornuta,Corylus,cornuta,Betulaceae,beaked hazel,,0,0,0
Corylus maxima,Corylus,maxima,Betulaceae,filbert;giant filbert,,0,1,0
Corylus pontica,Corylus,pontica,Betulaceae,romische hasel;turkish hazel;pontische hasel;oresnik pontijskij;mediterranean hazel,,0,1,0
Corylus potaninii,Corylus,potaninii,Betulaceae,,,0,1,0
Corylus sieboldiana,Corylus,sieboldiana,Betulaceae,japanese hazel;tsuno-hashibami,,0,1,0
Corylus wangii,Corylus,wangii,Betulaceae,wei xi zhen,,0,1,0
Corylus yunnanensis,Corylus,yunnanensis,Betulaceae,dian zhen;yunnan hazel,,0,1,0
Corymbia citriodora,Corymbia,citriodora,Myrtaceae,,,0,0,0
Corymbia maculata,Corymbia,maculata,Myrtaceae,,,0,0,0
Corymborkis brevistylis,Corymborkis,brevistylis,,,MYS,1,0,0
Corymborkis corymbosa,Corymborkis,corymbosa,,,ZAF,1,0,0
Corymborkis flava,Corymborkis,flava,,,DOM;JAM;GLP,1,0,0
Corymborkis subdensa,Corymborkis,subdensa,,,JPN,1,0,0
Corynanthe bequaertii,Corynanthe,bequaertii,,tsanya,,0,0,0
Corynanthe paniculata,Corynanthe,paniculata,,tsanya,,0,0,0
Corynopuntia aggeria,Corynopuntia,aggeria,,,,0,0,0
Corynopuntia bulbispina,Corynopuntia,bulbispina,,,,0,1,0
Corynopuntia clavata,Corynopuntia,clavata,,,,0,0,0
Corynopuntia emoryi,Corynopuntia,emoryi,,,,0,0,0
Corynopuntia grahamii,Corynopuntia,grahamii,,,,0,0,0
Corynopuntia invicta,Corynopuntia,invicta,,,,0,0,0
Corynopuntia kunzei,Corynopuntia,kunzei,,,,0,0,0
Corynopuntia marenae,Corynopuntia,marenae,,,,0,1,0
Corynopuntia moelleri,Corynopuntia,moelleri,,,,0,0,0
Corynopuntia parishiorum,Corynopuntia,parishiorum,,parish's club-cholla,,0,0,0
Corynopuntia pulchella,Corynopuntia,pulchella,,sand cholla,,0,0,0
Corynopuntia reflexispina,Corynopuntia,reflexispina,,,,0,1,0
Corynopuntia schottii,Corynopuntia,schottii,,,,0,0,0
Corynopuntia vilis,Corynopuntia,vilis,,,,0,0,0
Corypha macropoda,Corypha,macropoda,,,,0,1,0
Corypha microclada,Corypha,microclada,,,,0,1,0
Corypha taliera,Corypha,taliera,,tareet;tallier;tali;tara,,0,1,0
Corypha umbraculifera,Corypha,umbraculifera,,,,0,1,0
Corypha utan,Corypha,utan,,,,0,0,0
Coryphantha calipensis,Coryphantha,calipensis,,,MEX,1,0,0
Coryphantha calochlora,Coryphantha,calochlora,,,MEX,1,0,0
Coryphantha clavata,Coryphantha,clavata,,,MEX,1,0,0
Coryphantha compacta,Coryphantha,compacta,,,MEX,1,0,0
Coryphantha cornifera,Coryphantha,cornifera,,rhinoceros cactus;biznaga-partida de cuernos,MEX,1,1,0
Coryphantha cornuta,Coryphantha,cornuta,,,MEX,1,0,0
Coryphantha delaetiana,Coryphantha,delaetiana,,,MEX,1,0,0
Coryphantha delicata,Coryphantha,delicata,,,,0,0,0
Coryphantha difficilis,Coryphantha,difficilis,,,MEX,1,0,0
Coryphantha durangensis,Coryphantha,durangensis,,,MEX,1,0,0
Coryphantha echinoidea,Coryphantha,echinoidea,,,MEX,1,0,0
Coryphantha echinus,Coryphantha,echinus,,sea urchin cactus;cory-cactus hedgehog,MEX;USA,1,1,0
Coryphantha elephantidens,Coryphantha,elephantidens,,starry ball;elephant's tooth,MEX,1,1,0
Coryphantha erecta,Coryphantha,erecta,,,MEX,1,0,0
Coryphantha georgii,Coryphantha,georgii,,,MEX,1,0,0
Coryphantha glanduligera,Coryphantha,glanduligera,,,MEX,1,0,0
Coryphantha glassii,Coryphantha,glassii,,,,0,0,0
Coryphantha gracilis,Coryphantha,gracilis,,,MEX,1,0,0
Coryphantha grata,Coryphantha,grata,,,MEX,1,0,0
Coryphantha guerkeana,Coryphantha,guerkeana,,,MEX,1,0,0
Coryphantha hintoniorum,Coryphantha,hintoniorum,,,,0,1,0
Coryphantha indensis,Coryphantha,indensis,,,MEX,1,0,0
Coryphantha jalpanensis,Coryphantha,jalpanensis,,,MEX,1,0,0
Coryphantha jaumavei,Coryphantha,jaumavei,,,MEX,1,0,0
Coryphantha kracikii,Coryphantha,kracikii,,,,0,1,0
Coryphantha longicornis,Coryphantha,longicornis,,biznaga de piña,MEX,1,0,0
Coryphantha macromeris,Coryphantha,macromeris,,big nipple cory-cactus;nipple beehive cactus;big needle cactus;biznaga-partida partida;long mamma;dona ana,MEX;USA,1,1,0
Coryphantha maiz-tablasensis,Coryphantha,maiz-tablasensis,,,MEX,1,1,0
Coryphantha maliterrarum,Coryphantha,maliterrarum,,,MEX,1,0,0
Coryphantha melleospina,Coryphantha,melleospina,,,MEX,1,0,0
Coryphantha neglecta,Coryphantha,neglecta,,,MEX,1,0,0
Coryphantha nickelsiae,Coryphantha,nickelsiae,,nickels's coryphantha;nickels' pincushion cactus;biznaga-partida de laredo;nickels' cactus,MEX;USA,1,1,0
Coryphantha octacantha,Coryphantha,octacantha,,,MEX,1,0,0
Coryphantha odorata,Coryphantha,odorata,,,MEX,1,0,0
Coryphantha ottonis,Coryphantha,ottonis,,,MEX,1,0,0
Coryphantha pallida,Coryphantha,pallida,,,MEX,1,0,0
Coryphantha poselgeriana,Coryphantha,poselgeriana,,,MEX,1,0,0
Coryphantha potosiana,Coryphantha,potosiana,,,MEX,1,1,0
Coryphantha pseudoechinus,Coryphantha,pseudoechinus,,,MEX,1,0,0
Coryphantha pseudonickelsiae,Coryphantha,pseudonickelsiae,,,,0,0,0
Coryphantha pseudoradians,Coryphantha,pseudoradians,,,MEX,1,0,0
Coryphantha pulleineana,Coryphantha,pulleineana,,,MEX,1,1,0
Coryphantha pusilliflora,Coryphantha,pusilliflora,,,MEX,1,0,0
Coryphantha pycnacantha,Coryphantha,pycnacantha,,,MEX,1,1,0
Coryphantha radians,Coryphantha,radians,,,MEX,1,0,0
Coryphantha ramillosa,Coryphantha,ramillosa,,bunched cory cactus;whiskerbush,MEX;USA,1,1,0
Coryphantha recurvata,Coryphantha,recurvata,,santa cruz beehive cactus;biznaga-partida de espinas curvas;recurved corycactus;golden chested beehive,MEX;USA,1,1,0
Coryphantha reduncispina,Coryphantha,reduncispina,,,MEX,1,0,0
Coryphantha retusa,Coryphantha,retusa,,,MEX,1,1,0
Coryphantha robustispina,Coryphantha,robustispina,,pima pineapple cactus;biznaga-partida de espinas gruesas,MEX;USA,1,1,0
Coryphantha salinensis,Coryphantha,salinensis,,,MEX,1,0,0
Coryphantha sulcata,Coryphantha,sulcata,,finger cactus;pineapple cactus,USA,1,1,0
Coryphantha sulcolanata,Coryphantha,sulcolanata,,,MEX,1,0,0
Coryphantha tripugionacantha,Coryphantha,tripugionacantha,,,MEX,1,0,0
Coryphantha unicornis,Coryphantha,unicornis,,,MEX,1,0,0
Coryphantha vaupeliana,Coryphantha,vaupeliana,,,MEX,1,0,0
Coryphantha vogtherriana,Coryphantha,vogtherriana,,,MEX,1,0,0
Coryphantha werdermannii,Coryphantha,werdermannii,,,MEX,1,0,0
Coryphantha wohlschlageri,Coryphantha,wohlschlageri,,,MEX,1,0,0
Corythophora labriculata,Corythophora,labriculata,,,,0,1,0
Corytoplectus cutucuensis,Corytoplectus,cutucuensis,,,,0,1,0
Coscinium fenestratum,Coscinium,fenestratum,,,,0,1,0
Cosmostigma hainanense,Cosmostigma,hainanense,,,,0,1,0
Cossinia trifoliata,Cossinia,trifoliata,,,,0,1,0
Costularia hornei,Costularia,hornei,,,,0,0,0
Costularia melleri,Costularia,melleri,,,,0,1,0
Costus barbatus,Costus,barbatus,,,,0,1,0
Costus bracteatus,Costus,bracteatus,,,,0,0,0
Costus curvibracteatus,Costus,curvibracteatus,,,,0,0,0
Costus geothyrsus,Costus,geothyrsus,,,,0,1,0
Costus giganteus,Costus,giganteus,,cana macaco,,0,0,0
Costus glaucus,Costus,glaucus,,,,0,1,0
Costus lasius,Costus,lasius,,,,0,0,0
Costus lima,Costus,lima,,,,0,0,0
Costus malortieanus,Costus,malortieanus,,,,0,0,0
Costus montanus,Costus,montanus,,,,0,1,0
Costus nitidus,Costus,nitidus,,,,0,1,0
Costus osae,Costus,osae,,,,0,1,0
Costus plicatus,Costus,plicatus,,,,0,0,0
Costus ricus,Costus,ricus,,,,0,0,0
Costus stenophyllus,Costus,stenophyllus,,,,0,0,0
