,entity_id,sc_name,family,genus,species,sub_sp,common_name,range_state,is_tropical,is_coniferous,flag
19875,19876,Croton lucidus,Euphorbiaceae,Croton,lucidus,,,,,,1.0
19876,19877,Croton macrocarpus,Euphorbiaceae,Croton,macrocarpus,,,,,,1.0
22315,22316,Croton megalocarpoides,Euphorbiaceae,Croton,megalocarpoides,,geed ramud;gabal;mukundori,,,,0.0
418,419,Croton megalocarpus,Euphorbiaceae,Croton,megalocarpus,,,,,0.0,
29628,29629,Croton menthodorus,Euphorbiaceae,Croton,menthodorus,,,,,,1.0
29629,29630,Croton pavonis,Euphorbiaceae,Croton,pavonis,,,,,,1.0
24007,24008,Croton phuquocensis,Euphorbiaceae,Croton,phuquocensis,,ba dau phu quoc,,,,1.0
29630,29631,Croton pycnanthus,Euphorbiaceae,Croton,pycnanthus,,,,,,1.0
29631,29632,Croton rivinifolius,Euphorbiaceae,Croton,rivinifolius,,,,,,1.0
21818,21819,Croton sarcocarpus,Euphorbiaceae,Croton,sarcocarpus,,,,,,1.0
39096,39097,Croton scouleri,Euphorbiaceae,Croton,scouleri,,,,,,0.0
18838,18839,Croton socotranus,Euphorbiaceae,Croton,socotranus,,,,,,0.0
29632,29633,Croton sordidus,Euphorbiaceae,Croton,sordidus,,,,,,1.0
21077,21078,Croton stellulifer,Euphorbiaceae,Croton,stellulifer,,,,,,1.0
18839,18840,Croton sulcifructus,Euphorbiaceae,Croton,sulcifructus,,,,,,1.0
20559,20560,Croton talaeporos,Euphorbiaceae,Croton,talaeporos,,cantamalung;msinduzi,,,,0.0
21095,21096,Croton touranensis,Euphorbiaceae,Croton,touranensis,,,,,,1.0
18940,18941,Croton vaughanii,Euphorbiaceae,Croton,vaughanii,,,,,,1.0
29633,29634,Croton wagneri,Euphorbiaceae,Croton,wagneri,,,,,,1.0
37107,37108,Crotonogyne impedita,,Crotonogyne,impedita,,,,,,1.0
23208,23209,Crotonogyne manniana,,Crotonogyne,manniana,,,,,,0.0
37108,37109,Crotonogyne strigosa,,Crotonogyne,strigosa,,,,,,1.0
29895,29896,Crotonogyne zenkeri,,Crotonogyne,zenkeri,,,,,,1.0
24491,24492,Crudia balachandrae,,Crudia,balachandrae,,,,,,1.0
27067,27068,Crudia bibundina,,Crudia,bibundina,,,,,,1.0
19939,19940,Crudia brevipes,,Crudia,brevipes,,,,,,1.0
19940,19941,Crudia glauca,,Crudia,glauca,,,,,,1.0
24392,24393,Crudia lanceolata,,Crudia,lanceolata,,,,,,1.0
18561,18562,Crudia penduliflora,,Crudia,penduliflora,,,,,,1.0
19941,19942,Crudia scortechinii,,Crudia,scortechinii,,,,,,1.0
22666,22667,Crudia splendens,,Crudia,splendens,,,,,,1.0
20845,20846,Crudia zeylanica,,Crudia,zeylanica,,,,,,1.0
26730,26731,Cryosophila bartlettii,,Cryosophila,bartlettii,,,,,,1.0
26222,26223,Cryosophila cookii,,Cryosophila,cookii,,,,,,1.0
26223,26224,Cryosophila grayumii,,Cryosophila,grayumii,,,,,,1.0
26224,26225,Cryosophila guagara,,Cryosophila,guagara,,,,,,0.0
26225,26226,Cryosophila kalbreyeri,,Cryosophila,kalbreyeri,,,,,,0.0
26226,26227,Cryosophila nana,,Cryosophila,nana,,palo de escoba,,,,0.0
18786,18787,Cryosophila williamsii,,Cryosophila,williamsii,,lago yojoa palm;root-spine palm,,,,1.0
26983,26984,Crypsis alopecuroides,,Crypsis,alopecuroides,,crypside faux vulpin,,,,0.0
17284,17285,Crypsis hadjikyriakou,,Crypsis,hadjikyriakou,,,,,,1.0
22481,22482,Crypsis minuartioides,,Crypsis,minuartioides,,compressed pricklegrass,,,,1.0
27356,27357,Crypsis schoenoides,,Crypsis,schoenoides,,brignolo ovato;crypside faux choin;swamp pricklegrass,,,,0.0
36016,36017,Cryptanthus diamantinensis,,Cryptanthus,diamantinensis,,,,,,1.0
35961,35962,Cryptanthus pseudoscaposus,,Cryptanthus,pseudoscaposus,,,,,,1.0
26499,26500,Cryptocarya anamallayana,,Cryptocarya,anamallayana,,,,,,1.0
26500,26501,Cryptocarya beddomei,,Cryptocarya,beddomei,,,,,,1.0
39231,39232,Cryptocarya bhutanica,,Cryptocarya,bhutanica,,,,,,0.0
19459,19460,Cryptocarya bitriplinervia,,Cryptocarya,bitriplinervia,,,,,,1.0
24371,24372,Cryptocarya bracteolata,,Cryptocarya,bracteolata,,,,,,0.0
21735,21736,Cryptocarya elliptifolia,,Cryptocarya,elliptifolia,,,,,,1.0
21612,21613,Cryptocarya ferrarsii,,Cryptocarya,ferrarsii,,,,,,1.0
18012,18013,Cryptocarya mannii,,Cryptocarya,mannii,,mann cryptocarya;holio,,,,0.0
20843,20844,Cryptocarya membranacea,,Cryptocarya,membranacea,,,,,,1.0
22360,22361,Cryptocarya palawanensis,,Cryptocarya,palawanensis,,,,,,1.0
18320,18321,Cryptocarya stocksii,,Cryptocarya,stocksii,,,,,,1.0
20879,20880,Cryptocarya wightiana,,Cryptocarya,wightiana,,,,,,1.0
24372,24373,Cryptocarya wrayi,,Cryptocarya,wrayi,,,,,,0.0
33473,33474,Cryptocoryne albida,,Cryptocoryne,albida,,uttaphit nan;uttaphit hin;uttaphit nin,,,,0.0
33498,33499,Cryptocoryne annamica,,Cryptocoryne,annamica,,mai dam trung bo,,,,1.0
33219,33220,Cryptocoryne ciliata,,Cryptocoryne,ciliata,,water trumpet,,,,0.0
33226,33227,Cryptocoryne cognata,,Cryptocoryne,cognata,,,,,,1.0
36966,36967,Cryptocoryne consobrina,,Cryptocoryne,consobrina,,,,,,1.0
33481,33482,Cryptocoryne cordata,,Cryptocoryne,cordata,,,,,,0.0
33491,33492,Cryptocoryne crispatula,,Cryptocoryne,crispatula,,phak mai,,,,0.0
33453,33454,Cryptocoryne cruddasiana,,Cryptocoryne,cruddasiana,,,,,,1.0
33846,33847,Cryptocoryne loeiensis,,Cryptocoryne,loeiensis,,,,,,1.0
33847,33848,Cryptocoryne mekongensis,,Cryptocoryne,mekongensis,,,,,,1.0
33200,33201,Cryptocoryne retrospiralis,,Cryptocoryne,retrospiralis,,,,,,0.0
33484,33485,Cryptocoryne vietnamensis,,Cryptocoryne,vietnamensis,,mai dam viet nam,,,,1.0
29278,29279,Cryptolepis arbuscula,,Cryptolepis,arbuscula,,,,,,0.0
29279,29280,Cryptolepis intricata,,Cryptolepis,intricata,,,,,,0.0
29280,29281,Cryptolepis macrophylla,,Cryptolepis,macrophylla,,,,,,1.0
29281,29282,Cryptolepis socotrana,,Cryptolepis,socotrana,,,,,,1.0
1632,1633,Cryptomeria japonica,Cupressaceae,Cryptomeria,japonica,,sugi;japanese cedar,,,1.0,1.0
1772,1773,Cryptomeria japonica,Cupressaceae,Cryptomeria,japonica,,,,,1.0,
20997,20998,Cryptosepalum diphyllum,,Cryptosepalum,diphyllum,,,,,,1.0
21584,21585,Cryptosepalum tetraphyllum,,Cryptosepalum,tetraphyllum,,,,,,1.0
18447,18448,Cryptotaenia calycina,,Cryptotaenia,calycina,,,,,,1.0
34029,34030,Cryptotaenia flahaultii,,Cryptotaenia,flahaultii,,phlahaultis kriptotenia;flahault's cryptotaenia,,,,1.0
18437,18438,Cryptotaenia polygama,,Cryptotaenia,polygama,,,,,,1.0
28685,28686,Ctenitis pallatangana,,Ctenitis,pallatangana,,,,,,1.0
29096,29097,Ctenitis squamigera,,Ctenitis,squamigera,,pacific lacefern;pauoa,,,,1.0
419,420,Ctenolophon englerianus,Ctenolophonaceae,Ctenolophon,englerianus,,,,,0.0,
420,421,Ctenolophon parvifolius,Ctenolophonaceae,Ctenolophon,parvifolius,,,,,0.0,
28451,28452,Cuatrecasanthus flexipappus,,Cuatrecasanthus,flexipappus,,,,,,1.0
30747,30748,Cuatresia harlingiana,,Cuatresia,harlingiana,,,,,,1.0
21476,21477,Cubilia cubili,,Cubilia,cubili,,kubili,,,,0.0
31156,31157,Cucumella clavipetiolata,,Cucumella,clavipetiolata,,,,,,0.0
29561,29562,Cucurbita ecuadorensis,,Cucurbita,ecuadorensis,,,,,,1.0
18684,18685,Cucurbita okeechobeensis,,Cucurbita,okeechobeensis,,marten gourd;morchete;indian pumpkin;calabacilla;okeechobee gourd;calabacilla de monte,,,,1.0
32103,32104,Culcasia dinklagei,,Culcasia,dinklagei,,,,,,0.0
32174,32175,Culcasia falcifolia,,Culcasia,falcifolia,,,,,,0.0
36160,36161,Culcasia glandulosa,,Culcasia,glandulosa,,,,,,0.0
32155,32156,Culcasia lanceolata,,Culcasia,lanceolata,,,,,,0.0
18455,18456,Culcasia orientalis,,Culcasia,orientalis,,,,,,1.0
32012,32013,Culcasia panduriformis,,Culcasia,panduriformis,,,,,,0.0
36482,36483,Culcasia sanagensis,,Culcasia,sanagensis,,,,,,1.0
31931,31932,Culcasia sapinii,,Culcasia,sapinii,,,,,,0.0
32202,32203,Culcasia scandens,,Culcasia,scandens,,,,,,0.0
32225,32226,Culcasia striolata,,Culcasia,striolata,,,,,,0.0
31953,31954,Culcasia tenuifolia,,Culcasia,tenuifolia,,,,,,0.0
19624,19625,Culcita macrocarpa,,Culcita,macrocarpa,,woolly tree fern;helecho de colchonero;feto de cabelinho,,,,1.0
27433,27434,Cullen americanum,,Cullen,americanum,,psoralée d'amérique;cullen;higueruela,,,,0.0
38128,38129,Cullen badocanum,,Cullen,badocanum,,,,,,0.0
38067,38068,Cullen walkingtonii,,Cullen,walkingtonii,,,,,,1.0
20828,20829,Cullenia ceylanica,,Cullenia,ceylanica,,,,,,1.0
18027,18028,Cullenia rosayroana,,Cullenia,rosayroana,,,,,,0.0
27540,27541,Cumarinia odorata,,Cumarinia,odorata,,,,,,0.0
18873,18874,Cuminia eriantha,,Cuminia,eriantha,,,,,,1.0
18874,18875,Cuminia fernandezia,,Cuminia,fernandezia,,,,,,1.0
17782,17783,Cumulopuntia boliviana,,Cumulopuntia,boliviana,,puscaya;espina,,,,0.0
17829,17830,Cumulopuntia chichensis,,Cumulopuntia,chichensis,,,,,,0.0
17870,17871,Cumulopuntia rossiana,,Cumulopuntia,rossiana,,,,,,0.0
17710,17711,Cumulopuntia sphaerica,,Cumulopuntia,sphaerica,,gatito;puskaye;perrito,,,,0.0
18341,18342,Cunninghamia konishii,Cupressaceae,Cunninghamia,konishii,,sa moc que phong;taiwan shan mu,,,1.0,1.0
1633,1634,Cunninghamia lanceolata,Cupressaceae,Cunninghamia,lanceolata,,shan mu;chinese fir,,,1.0,0.0
1773,1774,Cunninghamia lanceolata,Cupressaceae,Cunninghamia,lanceolata,,,,,1.0,
23245,23246,Cunonia aoupiniensis,,Cunonia,aoupiniensis,,,,,,1.0
17687,17688,Cunonia atrorubens,,Cunonia,atrorubens,,,,,,0.0
39639,39640,Cunonia austrocaledonica,,Cunonia,austrocaledonica,,,,,,0.0
24546,24547,Cunonia balansae,,Cunonia,balansae,,,,,,0.0
35653,35654,Cunonia bopopensis,,Cunonia,bopopensis,,,,,,1.0
35890,35891,Cunonia bullata,,Cunonia,bullata,,,,,,1.0
24426,24427,Cunonia cerifera,,Cunonia,cerifera,,,,,,1.0
17953,17954,Cunonia deplanchei,,Cunonia,deplanchei,,,,,,1.0
39571,39572,Cunonia dickisonii,,Cunonia,dickisonii,,,,,,1.0
17972,17973,Cunonia lenormandii,,Cunonia,lenormandii,,,,,,0.0
39563,39564,Cunonia linearisepala,,Cunonia,linearisepala,,,,,,0.0
17981,17982,Cunonia macrophylla,,Cunonia,macrophylla,,,,,,0.0
18081,18082,Cunonia montana,,Cunonia,montana,,,,,,0.0
20741,20742,Cunonia pseudoverticillata,,Cunonia,pseudoverticillata,,,,,,1.0
26836,26837,Cunonia pterophylla,,Cunonia,pterophylla,,,,,,0.0
24329,24330,Cunonia pulchella,,Cunonia,pulchella,,,,,,0.0
26954,26955,Cunonia purpurea,,Cunonia,purpurea,,,,,,0.0
23404,23405,Cunonia rotundifolia,,Cunonia,rotundifolia,,,,,,1.0
26981,26982,Cunonia rupicola,,Cunonia,rupicola,,,,,,1.0
17372,17373,Cunonia schinziana,,Cunonia,schinziana,,,,,,1.0
17343,17344,Cunonia varijuga,,Cunonia,varijuga,,,,,,0.0
39654,39655,Cunonia vieillardii,,Cunonia,vieillardii,,,,,,1.0
20929,20930,Cupania mollis,,Cupania,mollis,,ojo de muñeca;cola de pavo de tierra fría,,,,0.0
30563,30564,Cupania riopalenquensis,,Cupania,riopalenquensis,,,,,,1.0
25228,25229,Cupaniopsis acuticarpa,,Cupaniopsis,acuticarpa,,,,,,1.0
25229,25230,Cupaniopsis bullata,,Cupaniopsis,bullata,,,,,,1.0
23091,23092,Cupaniopsis crassivalvis,,Cupaniopsis,crassivalvis,,,,,,1.0
25230,25231,Cupaniopsis euneura,,Cupaniopsis,euneura,,,,,,1.0
23363,23364,Cupaniopsis glabra,,Cupaniopsis,glabra,,,,,,1.0
23088,23089,Cupaniopsis globosa,,Cupaniopsis,globosa,,,,,,1.0
23364,23365,Cupaniopsis mouana,,Cupaniopsis,mouana,,,,,,1.0
25231,25232,Cupaniopsis napaensis,,Cupaniopsis,napaensis,,,,,,1.0
25232,25233,Cupaniopsis phanerophleibia,,Cupaniopsis,phanerophleibia,,,,,,1.0
23365,23366,Cupaniopsis rosea,,Cupaniopsis,rosea,,,,,,1.0
23366,23367,Cupaniopsis rotundifolia,,Cupaniopsis,rotundifolia,,,,,,1.0
23367,23368,Cupaniopsis squamosa,,Cupaniopsis,squamosa,,,,,,1.0
25233,25234,Cupaniopsis strigosa,,Cupaniopsis,strigosa,,,,,,1.0
23368,23369,Cupaniopsis subfalcata,,Cupaniopsis,subfalcata,,,,,,1.0
23369,23370,Cupaniopsis tontoutensis,,Cupaniopsis,tontoutensis,,,,,,1.0
23295,23296,Cupheanthus microphyllus,,Cupheanthus,microphyllus,,,,,,1.0
22097,22098,Cupressus abramsiana,Cupressaceae,Cupressus,abramsiana,,santa cruz cypress,,,1.0,1.0
22094,22095,Cupressus arizonica,Cupressaceae,Cupressus,arizonica,,smooth cypress;cedro;smooth arizona cypress,,,1.0,1.0
29025,29026,Cupressus atlantica,Cupressaceae,Cupressus,atlantica,,azel;atlas cypress;moroccan cypress;cyprès de l'atlas,,,1.0,1.0
22139,22140,Cupressus bakeri,Cupressaceae,Cupressus,bakeri,,baker's cypress;modoc cypress;baker cypress;siskiyou cypress,,,1.0,1.0
22173,22174,Cupressus benthamii,Cupressaceae,Cupressus,benthamii,,bentham's cypress;cedro blanco;sabina;ciprés,,,1.0,1.0
20614,20615,Cupressus cashmeriana,Cupressaceae,Cupressus,cashmeriana,,bhutan cypress;weeping cypress,,,1.0,1.0
20776,20777,Cupressus chengiana,Cupressaceae,Cupressus,chengiana,,min jiang bai mu;岷江柏木;cheng cypress,,,1.0,1.0
22170,22171,Cupressus duclouxiana,Cupressaceae,Cupressus,duclouxiana,,gan xiang bai;chinese cypress;干香柏;yunnan cypress,,,1.0,1.0
18747,18748,Cupressus dupreziana,Cupressaceae,Cupressus,dupreziana,,cyprès de duprez;saharan cypress,,,1.0,1.0
22172,22173,Cupressus forbesii,Cupressaceae,Cupressus,forbesii,,tecate cypress;forbes cypress,,,1.0,1.0
27639,27640,Cupressus funebris,Cupressaceae,Cupressus,funebris,,柏木;funereal cypress;bai mu;chinese weeping cypress,,,1.0,1.0
20638,20639,Cupressus gigantea,Cupressaceae,Cupressus,gigantea,,ju bai,,,1.0,1.0
31192,31193,Cupressus glabra,Cupressaceae,Cupressus,glabra,,smooth cypress;cedro;smooth arizona cypress,,,1.0,1.0
18127,18128,Cupressus goveniana,Cupressaceae,Cupressus,goveniana,,gowen cypress;dwarf cypress;mendocino cypress;santa cruz cypress;pygmy cypress;north coast cypress,,,1.0,1.0
22171,22172,Cupressus guadalupensis,Cupressaceae,Cupressus,guadalupensis,,tecate cypress;forbes cypress;guadalupe cypress;ciprés,,,1.0,1.0
22169,22170,Cupressus jiangeensis,Cupressaceae,Cupressus,jiangeensis,,,,,1.0,1.0
1634,1635,Cupressus lusitanica,Cupressaceae,Cupressus,lusitanica,,cedro blanco;cedro blanco del deserto;cedar of goa;mexican cypress;cedro;ciprés,,,1.0,0.0
1774,1775,Cupressus lusitanica,Cupressaceae,Cupressus,lusitanica,,,,,1.0,
1635,1636,Cupressus macnabiana,Cupressaceae,Cupressus,macnabiana,,shasta cypress;macnab cypress;fragrant cypress,,,1.0,0.0
1775,1776,Cupressus macnabiana,Cupressaceae,Cupressus,macnabiana,,,,,1.0,
1636,1637,Cupressus macrocarpa,Cupressaceae,Cupressus,macrocarpa,,ciprés de california;monterey cypress;ciprés monterrey,,,1.0,1.0
1776,1777,Cupressus macrocarpa,Cupressaceae,Cupressus,macrocarpa,,,,,1.0,
22168,22169,Cupressus montana,Cupressaceae,Cupressus,montana,,san pedro cypress;san pedro martír cypress,,,1.0,1.0
22095,22096,Cupressus nevadensis,Cupressaceae,Cupressus,nevadensis,,piute cypress,,,1.0,1.0
1637,1638,Cupressus nootkatensis,Cupressaceae,Cupressus,nootkatensis,,,,,1.0,
1777,1778,Cupressus nootkatensis,Cupressaceae,Cupressus,nootkatensis,,,,,1.0,
27667,27668,Cupressus sargentii,Cupressaceae,Cupressus,sargentii,,sargent cypress,,,1.0,1.0
1638,1639,Cupressus sempervirens,Cupressaceae,Cupressus,sempervirens,,italian cypress;mediterranean cypress;سرو,,,1.0,0.0
1778,1779,Cupressus sempervirens,Cupressaceae,Cupressus,sempervirens,,,,,1.0,
22096,22097,Cupressus stephensonii,Cupressaceae,Cupressus,stephensonii,,cuyamaca cypress,,,1.0,1.0
1639,1640,Cupressus torulosa,Cupressaceae,Cupressus,torulosa,,gulla;xi zang bai mu;himalayan cypress;gubraî,,,1.0,0.0
1779,1780,Cupressus torulosa,Cupressaceae,Cupressus,torulosa,,,,,1.0,
33864,33865,Curanga amara,,Curanga,amara,,,,,,0.0
32953,32954,Curculigo seychellensis,,Curculigo,seychellensis,,,,,,0.0
34578,34579,Curcuma alismatifolia,,Curcuma,alismatifolia,,siam tulip,,,,1.0
34930,34931,Curcuma australasica,,Curcuma,australasica,,australian wild turmeric;cape york lily,,,,0.0
34614,34615,Curcuma candida,,Curcuma,candida,,,,,,1.0
36133,36134,Curcuma caulina,,Curcuma,caulina,,tikhur;chavar,,,,1.0
36606,36607,Curcuma coriacea,,Curcuma,coriacea,,,,,,1.0
34579,34580,Curcuma ecomata,,Curcuma,ecomata,,,,,,0.0
34580,34581,Curcuma harmandii,,Curcuma,harmandii,,,,,,0.0
36696,36697,Curcuma inodora,,Curcuma,inodora,,hidden lily,,,,0.0
36109,36110,Curcuma ornata,,Curcuma,ornata,,,,,,1.0
34917,34918,Curcuma pseudomontana,,Curcuma,pseudomontana,,kattu manjal;hill turmeric,,,,1.0
34581,34582,Curcuma rhabdota,,Curcuma,rhabdota,,candy cane ginger;krachieo lai;candy cane,,,,1.0
34582,34583,Curcuma roscoeana,,Curcuma,roscoeana,,marlar-ni;krachieo som;jewel of burma;taw-sa-nwin,,,,0.0
34583,34584,Curcuma sparganiifolia,,Curcuma,sparganiifolia,,,,,,1.0
34584,34585,Curcuma vitellina,,Curcuma,vitellina,,,,,,1.0
38830,38831,Cuscuta acuta,,Cuscuta,acuta,,parásita de galápagos,,,,0.0
35523,35524,Cuscuta gronovii,,Cuscuta,gronovii,,,,,,0.0
38832,38833,Cuscuta gymnocarpa,,Cuscuta,gymnocarpa,,parásita de galápagos,,,,0.0
19688,19689,Cuscuta kilimanjari,,Cuscuta,kilimanjari,,,,,,1.0
19714,19715,Cuscuta major,,Cuscuta,major,,,,,,0.0
29565,29566,Cuscuta prismatica,,Cuscuta,prismatica,,,,,,1.0
19727,19728,Cuscuta rukararana,,Cuscuta,rukararana,,,,,,1.0
33477,33478,Cussetia carinata,,Cussetia,carinata,,,,,,1.0
33455,33456,Cussetia diversifolia,,Cussetia,diversifolia,,,,,,1.0
22021,22022,Cussonia bancoensis,,Cussonia,bancoensis,,kwaebrofre,,,,1.0
22997,22998,Cussonia gamtoosensis,,Cussonia,gamtoosensis,,,,,,1.0
22495,22496,Cussonia ostinii,,Cussonia,ostinii,,,,,,0.0
18510,18511,Cussonia zimmermannii,,Cussonia,zimmermannii,,,,,,0.0
23479,23480,Cuviera migeodii,,Cuviera,migeodii,,,,,,1.0
23480,23481,Cuviera schliebenii,,Cuviera,schliebenii,,,,,,1.0
30353,30354,Cuviera talbotii,,Cuviera,talbotii,,,,,,1.0
23802,23803,Cuviera tomentosa,,Cuviera,tomentosa,,,,,,1.0
21691,21692,Cyanea aculeatiflora,,Cyanea,aculeatiflora,,prickly-flower cyanea,,,,1.0
29071,29072,Cyanea acuminata,,Cyanea,acuminata,,honolulu cyanea;haha,,,,1.0
22101,22102,Cyanea arborea,,Cyanea,arborea,,tree cyanea;haha,,,,1.0
29069,29070,Cyanea asarifolia,,Cyanea,asarifolia,,oha wai,,,,1.0
29072,29073,Cyanea asplenifolia,,Cyanea,asplenifolia,,haha,,,,1.0
29073,29074,Cyanea calycina,,Cyanea,calycina,,haha,,,,1.0
29070,29071,Cyanea comata,,Cyanea,comata,,oha wai,,,,1.0
29106,29107,Cyanea copelandii,,Cyanea,copelandii,,,,,,1.0
29062,29063,Cyanea crispa,,Cyanea,crispa,,oha wai,,,,1.0
29063,29064,Cyanea cylindrocalyx,,Cyanea,cylindrocalyx,,oha wai,,,,1.0
29064,29065,Cyanea dolichopoda,,Cyanea,dolichopoda,,,,,,1.0
29065,29066,Cyanea dunbariae,,Cyanea,dunbariae,,oha wai,,,,1.0
29066,29067,Cyanea eleeleensis,,Cyanea,eleeleensis,,oha wai,,,,1.0
29074,29075,Cyanea fauriei,,Cyanea,fauriei,,haha,,,,1.0
29067,29068,Cyanea gibsonii,,Cyanea,gibsonii,,oha wai,,,,1.0
18129,18130,Cyanea giffardii,,Cyanea,giffardii,,giffard's cyanea,,,,1.0
29068,29069,Cyanea glabra,,Cyanea,glabra,,oha wai,,,,1.0
17143,17144,Cyanea grimesiana,,Cyanea,grimesiana,,kue nui,,,,1.0
29075,29076,Cyanea habenata,,Cyanea,habenata,,haha,,,,1.0
21702,21703,Cyanea hamatiflora carlsonii,,Cyanea,hamatiflora,carlsonii,haha,,,,1.0
22137,22138,Cyanea hamatiflora hamatiflora,,Cyanea,hamatiflora,hamatiflora,haha,,,,1.0
21703,21704,Cyanea hamatiflora,,Cyanea,hamatiflora,,haha,,,,1.0
21704,21705,Cyanea hardyi,,Cyanea,hardyi,,,,,,1.0
21705,21706,Cyanea horrida,,Cyanea,horrida,,oha wai,,,,1.0
17145,17146,Cyanea humboldtiana,,Cyanea,humboldtiana,,,,,,1.0
17513,17514,Cyanea kolekoleensis,,Cyanea,kolekoleensis,,haha,,,,1.0
17147,17148,Cyanea koolauensis,,Cyanea,koolauensis,,,,,,1.0
17517,17518,Cyanea kuhihewa,,Cyanea,kuhihewa,,haha,,,,1.0
22102,22103,Cyanea leptostegia,,Cyanea,leptostegia,,giant koke'e cyanea,,,,1.0
35154,35155,Cyanea linearifolia,,Cyanea,linearifolia,,,,,,1.0
17149,17150,Cyanea lobata,,Cyanea,lobata,,hāhā,,,,1.0
17150,17151,Cyanea longiflora,,Cyanea,longiflora,,,,,,1.0
21710,21711,Cyanea macrostegia gibsonii,,Cyanea,macrostegia,gibsonii,,,,,1.0
21711,21712,Cyanea macrostegia,,Cyanea,macrostegia,,,,,,1.0
17151,17152,Cyanea magnicalyx,,Cyanea,magnicalyx,,haha,,,,1.0
17152,17153,Cyanea mannii,,Cyanea,mannii,,,,,,1.0
18130,18131,Cyanea marksii,,Cyanea,marksii,,mark's cyanea,,,,1.0
17154,17155,Cyanea mauiensis,,Cyanea,mauiensis,,,,,,1.0
17156,17157,Cyanea mceldowneyi,,Cyanea,mceldowneyi,,,,,,1.0
35169,35170,Cyanea minutiflora,,Cyanea,minutiflora,,,,,,1.0
35181,35182,Cyanea parvifolia,,Cyanea,parvifolia,,,,,,1.0
29076,29077,Cyanea pinnatifida,,Cyanea,pinnatifida,,haha,,,,1.0
17157,17158,Cyanea platyphylla,,Cyanea,platyphylla,,,,,,1.0
21672,21673,Cyanea pohaku,,Cyanea,pohaku,,,,,,1.0
18011,18012,Cyanea procera,,Cyanea,procera,,haha,,,,1.0
18131,18132,Cyanea pycnocarpa,,Cyanea,pycnocarpa,,,,,,1.0
22129,22130,Cyanea quercifolia,,Cyanea,quercifolia,,oakleaf cyanea,,,,1.0
17160,17161,Cyanea remyi,,Cyanea,remyi,,haha,,,,1.0
17161,17162,Cyanea rivularis,,Cyanea,rivularis,,haha,,,,1.0
17163,17164,Cyanea sessilifolia,,Cyanea,sessilifolia,,,,,,1.0
17171,17172,Cyanea shipmanii,,Cyanea,shipmanii,,haha,,,,1.0
22110,22111,Cyanea solenocalyx,,Cyanea,solenocalyx,,molokai cyanea,,,,1.0
29029,29030,Cyanea st-johnii,,Cyanea,st-johnii,,st john's rollandia,,,,1.0
22112,22113,Cyanea stictophylla,,Cyanea,stictophylla,,,,,,1.0
21712,21713,Cyanea superba regina,,Cyanea,superba,regina,superb cyanea;haha,,,,1.0
22122,22123,Cyanea superba superba,,Cyanea,superba,superba,haha,,,,1.0
21713,21714,Cyanea superba,,Cyanea,superba,,superb cyanea;haha,,,,1.0
22113,22114,Cyanea tritomantha,,Cyanea,tritomantha,,aku 'aku;oha;haha;oha wai,,,,1.0
29030,29031,Cyanea truncata,,Cyanea,truncata,,punaluu cyanea,,,,1.0
17172,17173,Cyanea undulata,,Cyanea,undulata,,haha,,,,1.0
32138,32139,Cyanella aquatica,,Cyanella,aquatica,,,,,,1.0
34421,34422,Cyanotis ake-assii,,Cyanotis,ake-assii,,,,,,1.0
38622,38623,Cyanotis arcotensis,,Cyanotis,arcotensis,,,,,,0.0
33574,33575,Cyanotis axillaris,,Cyanotis,axillaris,,,,,,0.0
30543,30544,Cyanotis cristata,,Cyanotis,cristata,,,,,,0.0
38674,38675,Cyanotis cucullata,,Cyanotis,cucullata,,,,,,0.0
33608,33609,Cyanotis cupricola,,Cyanotis,cupricola,,,,,,1.0
30745,30746,Cyanotis fasciculata,,Cyanotis,fasciculata,,,,,,0.0
38607,38608,Cyanotis papilionacea,,Cyanotis,papilionacea,,,,,,0.0
19819,19820,Cyathocalyx olivaceus,,Cyathocalyx,olivaceus,,,,,,0.0
19820,19821,Cyathocalyx pahangensis,,Cyathocalyx,pahangensis,,,,,,0.0
19821,19822,Cyathocalyx pruniferus,,Cyathocalyx,pruniferus,,,,,,0.0
20093,20094,Cyathocalyx scortechinii,,Cyathocalyx,scortechinii,,,,,,0.0
20145,20146,Cyathocalyx sumatranus,,Cyathocalyx,sumatranus,,,,,,0.0
36198,36199,Cyathochaeta diandra,,Cyathochaeta,diandra,,sheath rush;spear grass,,,,0.0
38592,38593,Cyathocline lutea,,Cyathocline,lutea,,,,,,0.0
30583,30584,Cyathocline purpurea,,Cyathocline,purpurea,,gangotra;bandhaniya;gal phulle,,,,0.0
36342,36343,Cyathocoma bachmannii,,Cyathocoma,bachmannii,,,,,,1.0
28452,28453,Cyathomone sodiroi,,Cyathomone,sodiroi,,,,,,1.0
24008,24009,Cyathostemma vietnamense,,Cyathostemma,vietnamense,,huyet hung viet nam,,,,0.0
29861,29862,Cyathula fernando-poensis,,Cyathula,fernando-poensis,,,,,,1.0
26623,26624,Cybianthus cogolloi,,Cybianthus,cogolloi,,,,,,1.0
35099,35100,Cybianthus cruegeri,,Cybianthus,cruegeri,,,,,,1.0
35106,35107,Cybianthus pittieri,,Cybianthus,pittieri,,,,,,1.0
16740,16741,Cyclamen africanum,Primulaceae,Cyclamen,africanum,,,"DZ,TN",,,1.0
16741,16742,Cyclamen balearicum,Primulaceae,Cyclamen,balearicum,,,"FR,ES",,,1.0
