,entity_id,sc_name,family,genus,species,sub_sp,common_name,range_state,is_tropical,is_coniferous,flag
22214,22215,Abies hickelii,Pinaceae,Abies,hickelii,,pinabete;hickel's fir;oyamel,,,1.0,1.0
27815,27816,Abies hidalgensis,Pinaceae,Abies,hidalgensis,,,,,1.0,1.0
27681,27682,Abies holophylla,Pinaceae,Abies,holophylla,,пихта цельнолистная;manchurian fir;shansong;needle fir,,,1.0,1.0
27682,27683,Abies homolepis,Pinaceae,Abies,homolepis,,,,,1.0,1.0
22213,22214,Abies jaliscana,Pinaceae,Abies,jaliscana,,,,,1.0,1.0
19768,19769,Abies kawakamii,Pinaceae,Abies,kawakamii,,taiwan fir;taiwan lengshan,,,1.0,1.0
18329,18330,Abies koreana,Pinaceae,Abies,koreana,,gu-sang-na-mu;korean fir,,,1.0,1.0
1662,1663,Abies lasiocarpa,Pinaceae,Abies,lasiocarpa,,subalpine fir;alpine fur,,,1.0,0.0
1802,1803,Abies lasiocarpa,Pinaceae,Abies,lasiocarpa,,,,,1.0,
17503,17504,Abies macrocarpa,Pinaceae,Abies,macrocarpa,,,,,1.0,1.0
1663,1664,Abies magnifica,Pinaceae,Abies,magnifica,,california red fir;red fir,,,1.0,0.0
1803,1804,Abies magnifica,Pinaceae,Abies,magnifica,,,,,1.0,
27683,27684,Abies mariesii,Pinaceae,Abies,mariesii,,marie's fir;o-shirabiso,,,1.0,0.0
22218,22219,Abies marocana,Pinaceae,Abies,marocana,,moroccan fir,,,1.0,1.0
32665,32666,Abies mayriana,Pinaceae,Abies,mayriana,,,,,1.0,0.0
22240,22241,Abies mexicana,Pinaceae,Abies,mexicana,,,,,1.0,1.0
32654,32655,Abies motuoensis,Pinaceae,Abies,motuoensis,,medoc fir,,,1.0,0.0
18891,18892,Abies nebrodensis,Pinaceae,Abies,nebrodensis,,sicilian fir;abete delle madonie;abete dei nebrodi,,,1.0,1.0
32666,32667,Abies nemorensis,Pinaceae,Abies,nemorensis,,,,,1.0,1.0
27684,27685,Abies nephrolepis,Pinaceae,Abies,nephrolepis,,chou lengshan;pikhta amurskaya;khinghan fir;hinggan fir,,,1.0,0.0
19731,19732,Abies nordmanniana equi-trojani,Pinaceae,Abies,nordmanniana,equi-trojani,kazdagi fir;trojan fir,,,1.0,1.0
33754,33755,Abies nordmanniana nordmanniana,Pinaceae,Abies,nordmanniana,nordmanniana,,,,1.0,0.0
19732,19733,Abies nordmanniana,Pinaceae,Abies,nordmanniana,,,,,1.0,0.0
32655,32656,Abies nukiangensis,Pinaceae,Abies,nukiangensis,,nukiang fir,,,1.0,1.0
18741,18742,Abies numidica,Pinaceae,Abies,numidica,,sapin de numidie;numidische tanne;numidsche weisstanne;sapin d'algerie;algierische tanne;taument;algerian fir;algerian silver fir;sapin de babors,,,1.0,1.0
22217,22218,Abies oaxacana,Pinaceae,Abies,oaxacana,,,,,1.0,1.0
39554,39555,Abies phanerolepis,Pinaceae,Abies,phanerolepis,,,,,1.0,1.0
