,id,genus,species,sub_species,main_common_name,other_common_names,status
25193,20694360,Helianthus,silphioides,,Odorous Sunflower,Rosinweed Sunflower;Odorous Sunflower,LC
25194,20694364,Helianthus,tuberosus,,Jerusalem-artichoke,Jerusalem-artichoke,LC
25195,116161014,Spiraeanthemum,ellipticum,,,,DD
25196,21480902,Tarenna,hutchinsonii,,,,CR
25197,13153088,Ornithogalum,libanoticum,,,,EN
25198,112444938,Allium,iatrouinum,,,,CR
25199,21480972,Marsdenia,exellii,,,,EN
25200,69322338,Cyphostemma,auriculatum,,Eared Cyphostemma,Eared Cyphostemma,DD
25201,13153128,Ornithogalum,pedicellare,,,,LC
25202,18990775,Gladiolus,italicus,,Cornfield Gladiolus,Cornfield Gladiolus;Field Gladiolus;Common Sword Lily;دلبوت;Italian Gladiolus,LC
25203,55953085,Chamaedorea,liebmannii,,,,LC
25204,97240769,Astripomoea,cephalantha,,,,DD
25205,97240781,Buchnera,libenii,,,,CR
25206,97240796,Linderniella,boutiqueana,,,,CR
25207,21481198,Raphionacme,caerulea,,,,EN
25208,56346393,Costus,lasius,,,,LC
25209,97240863,Streptocarpus,burundianus,,,,EN
25210,110610252,Limonium,brunneri,,,,CR
25211,64866136,Physalis,galapagoensis,,,,LC
25212,97240942,Blepharis,burundiensis,,,,EN
25213,97240970,Crossandra,infundibuliformis,,,,VU
25214,21481366,Plectranthus,linearifolius,,,Fanguiema Souillie,EN
25215,70371223,Crossandra,infundibuliformis,,,,LC
25216,97241071,Isoglossa,laxiflora,,,,LC
25217,116161145,Spiraeanthemum,collinum,,,,EN
25218,97241156,Justicia,amanda,,,,VU
25219,55953536,Chamaedorea,microspadix,,Tepejilote coralillo,Tepejilote coralillo,LC
25220,97241237,Justicia,pseudotenella,,,,EN
25221,97241250,Justicia,violaceotincta,,,,EN
25222,55953591,Chamaedorea,nubium,,Camedor junco,Xate Macho;Camedor junco;Caquib,LC
25223,61982990,Quercus,kelloggii,,California Black Oak,Kellogg Oak;California Black Oak,LC
25224,113756459,Pterospermum,blumeanum,,,Bayur;Wadang,EN
25225,61983021,Quercus,lobata,,Valley Oak,California White Oak;Valley Oak,NT
25226,56346976,Costus,lima,,,,LC
25227,86100320,Sorbus,madoniensis,,,,EN
25228,113756520,Pterospermum,cumingii,,,talinguan;Baloi,EN
25229,97241452,Rotheca,violacea,,,,CR
25230,113756531,Pterospermum,elmeri,,,,CR
25231,86100353,Sorbus,meyeri,,,Meyers Mehlbeere,VU
25232,112445826,Allium,pycnotrichum,,,,EN
25233,113756573,Pterospermum,fuscum,,,,EN
25234,72731051,Hibbertia,altigena,,,,NT
25235,72731073,Hibbertia,baudouinii,,,,LC
25236,72731100,Hibbertia,bouletii,,,,CR
25237,72731110,Hibbertia,comptonii,,,,NT
25238,113756708,Pterospermum,longipes,,,,EN
25239,66177586,Thesium,pygmaeum,,,,LC
25240,113756722,Pterospermum,megalanthum,,,Bayog,EN
25241,55953996,Chamaedorea,pinnatifrons,,Tepejilote cimarrón,Tepejilote cimarrón,LC
25242,72731250,Hibbertia,deplancheana,,,,NT
25243,113756791,Pterospermum,obliquum,,,Bayog,LC
25244,56347258,Costus,malortieanus,,,,LC
25245,72731271,Hibbertia,ebracteata,,,,NT
25246,113756813,Pterospermum,parvifolium,,,,CR
25247,97241750,Chlorophytum,cameronii;ruziziense,,,,EN
25248,97241768,Chlorophytum,hirsutum,,,,EN
25249,113756842,Pterospermum,stapfianum,,,Bayur,LC
25250,113756859,Pterospermum,subpeltatum,,,,EN
25251,66177727,Buchnera,chimanimaniensis,,,,LC
25252,97241795,Angraecum,spectabile,,,,DD
25253,66177737,Buchnera,subglabra,,,,VU
25254,72731346,Hibbertia,emarginata,,,,VU
25255,66177752,Buchnera,wildii,,,,NT
25256,113756894,Pterospermum,sumatranum,,,,LC
25257,116161283,Pancheria,ternata,,,,LC
25258,66177772,Selago,anatrichota,,,,LC
