,family,genus,species,sub_sp,common_name,range_state,is_tropical,is_coniferous,flag
85,Pinaceae,Abies,sikokiana,,shikoku-shirabe;shikoku fir,,,1.0,1.0
86,Pinaceae,Abies,smithii,,,,,1.0,1.0
87,Pinaceae,Abies,spectabilis,,xizang leng shan;西藏冷杉;badar;bang;webb fir;chilrao;paludar;himalayan fir,,,1.0,1.0
88,Pinaceae,Abies,squamata,,flaky fir;linpi leng shan;鳞皮冷杉,,,1.0,1.0
89,Pinaceae,Abies,sutchuensis,,,,,1.0,0.0
90,Pinaceae,Abies,umbellata,,,,,1.0,1.0
91,Pinaceae,Abies,veitchii,,shira-biso;veitch’s fir,,,1.0,0.0
92,Pinaceae,Abies,vejarii,,,,,1.0,1.0
93,Pinaceae,Abies,yuanbaoshanensis,,元宝山冷杉;yuanbaoshan fir;yuanbaoshan lengshan,,,1.0,1.0
94,Pinaceae,Abies,ziyuanensis,,资源冷杉;ziyuan lengshan;ziyuan fir,,,1.0,1.0
95,,Abies ,guatemalensis,,guatemalan fir;mexican fir,SV,1.0,,0.0
96,,Abrahamia,grandidieri,,sohihy;hazombasy,,,,0.0
97,,Abrahamia,sericea,,tsimalazo,,,,0.0
98,,Abrus,aureus,,masomamboatorana;voatorana;masamamboatorana;masamamboagara;saravokatra;vahimboamena;masogoaiky;voamatora;masonangatra;masogaga,,,,0.0
99,,Abrus,fruticulosus,,,,,,1.0
100,,Abrus,madagascariensis,,,,,,1.0
101,,Abrus,sambiranensis,,,,,,1.0
102,,Abrus,schimperi,,,,,,0.0
103,,Abutilon,depauperatum,,abrojo,,,,0.0
104,,Abutilon,eremitopetalum,,hidden-petaled abutilon;hiddenpetal indian mallow,,,,1.0
105,,Abutilon,menziesii,,ko'oloa'ula,,,,1.0
106,,Abutilon,sachetianum,,,,,,1.0
107,,Abutilon,sandwicense,,greenflower indian mallow,,,,1.0
108,Leguminosae,Acacia,aemula,,,,,,0.0
