genus,species,cites_listing,regions
Agave,parviflora,I,MEX;USA
Agave,victoriae-reginae,II,MEX
Nolina,interrata,II,MEX;USA
Yucca,queretaroensis,II,MEX
Galanthus,allenii,II,RUS
Galanthus,alpinus,II,ARM;GEO
Galanthus,angustifolius,II,RUS
Galanthus,cilicicus,II,TUR
Galanthus,elwesii,II,BGR;GRC;NLD;ROU;TUR;UKR
Galanthus,fosteri,II,ISR;JOR;LBN;SYR;TUR
Galanthus,gracilis,II,BGR;GRC;ROU;TUR;UKR
Galanthus,grandiflorus,II,
Galanthus,ikariae,II,GRC;IRN;RUS;TUR
Galanthus,koenenianus,II,TUR
Galanthus,krasnovii,II,GEO;TUR
Galanthus,lagodechianus,II,ARM;AZE;GEO;RUS
Galanthus,nivalis,II,ALB;AUT;BEL;BIH;BGR;CZE;RUS;FRA;DEU;GRC;HUN;ITA;NLD;NOR;POL;MDA;ROU;RUS;SVK;ESP;SWE;CHE;TUR;UKR;GBR
Galanthus,"nivalis ""flore pleno""",II,
Galanthus,peshmenii,II,GRC;TUR
Galanthus,platyphyllus,II,GEO;RUS
Galanthus,plicatus,II,ROU;TUR;UKR
Galanthus,reginae-olgae,II,ALB;BIH;GRC;ITA;TUR
Galanthus,rizehensis,II,GEO;IRN;RUS;TUR
Galanthus,transcaucasicus,II,ARM;AZE;IRN;TUR
Galanthus,woronowii,II,GEO;RUS;TUR
Sternbergia,candida,II,TUR
Sternbergia,clusiana,II,GRC;IRN;IRQ;ISR;JOR;LBN;SYR;TUR
Sternbergia,colchiciflora,II,ARM;AZE;BGR;FRA;GEO;GRC;HUN;IRN;ISR;ITA;MDA;ROU;RUS;SVK;ESP;TUR;UKR
Sternbergia,fischeriana,II,AFG;ARM;AZE;GEO;IND;IRN;IRQ;RUS;SYR;TJK;TUR
Sternbergia,greuteriana,II,GRC
Sternbergia,lutea,II,ALB;DZA;AZE;BIH;FRA;GRC;IRN;IRQ;ISR;ITA;LBN;RUS;SVN;ESP;SYR;TUR;TKM
Sternbergia,pulchella,II,LBN;SYR
Sternbergia,schubertii,II,TUR
Sternbergia,sicula,II,GRC;ITA;TUR
Operculicarya,decaryi,II,MDG
Operculicarya,hyphaenoides,II,MDG
Operculicarya,pachypus,II,MDG
Hoodia,alstonii,II,ZAF
Hoodia,currorii,II,BWA;ZAF
Hoodia,dregei,II,ZAF
Hoodia,flava,II,NAM;ZAF
Hoodia,gordonii,II,NAM;ZAF
Hoodia,juttae,II,
Hoodia,officinalis,II,NAM;ZAF
Hoodia,parviflora,II,AGO;NAM;ZAF
Hoodia,pedicellata,II,
Hoodia,pilifera,II,ZAF
Hoodia,ruschii,II,
Hoodia,triebneri,II,
Pachypodium,ambongense,I,MDG
Pachypodium,baronii,I,MDG
Pachypodium,bispinosum,II,ZAF
Pachypodium,brevicaule,II,MDG
Pachypodium,decaryi,I,MDG
Pachypodium,densiflorum,II,MDG
Pachypodium,eburneum,II,MDG
Pachypodium,enigmaticum,II,MDG
Pachypodium,geayi,II,MDG
Pachypodium,hojnyi,II,
Pachypodium,horombense,II,MDG
Pachypodium,inopinatum,II,MDG
Pachypodium,lamerei,II,MDG
Pachypodium,lealii,II,AGO;BWA;NAM;ZAF;ZWE
Pachypodium,menabeum,II,MDG
Pachypodium,mikea,II,MDG
Pachypodium,namaquanum,II,NAM;ZAF
Pachypodium,rauhii,II,MDG
Pachypodium,rosulatum,II,MDG
Pachypodium,rutenbergianum,II,MDG
Pachypodium,sofiense,II,MDG
Pachypodium,succulentum,II,ZAF
Pachypodium,windsorii,II,MDG
Rauvolfia,serpentina,II,BGD;BTN;CHN;IND;IDN;LAO;MYS;MMR;NPL;PAK;LKA;THA;VNM
Panax,ginseng,II,CHN;PRK;KOR;RUS
Panax,quinquefolius,II,CAN;CHN;USA
Araucaria,araucana,I,ARG;CHL
Podophyllum,hexandrum,II,AFG;BTN;CHN;IND;NPL;PAK
Tillandsia,harrisii,II,GTM
Tillandsia,kammii,II,HND
Tillandsia,mauryana,II,MEX
Tillandsia,xerographica,II,SLV;GTM;MEX
Acanthocalycium,ferrarii,II,ARG
Acanthocalycium,klimpelianum,II,ARG
Acanthocalycium,spiniflorum,II,ARG
Acanthocereus,baxaniensis,II,CUB
Acanthocereus,colombianus,II,COL
Acanthocereus,horridus,II,SLV;GTM;MEX
Acanthocereus,occidentalis,II,MEX
Acanthocereus,subinermis,II,MEX
Acanthocereus,tetragonus,II,BLZ;CRI;CUB;SLV;GRD;GLP;GTM;HND;MTQ;MEX;PAN;LCA;TTO;USA;VEN
Ariocarpus,agavoides,I,MEX
Ariocarpus,bravoanus,I,MEX
Ariocarpus,fissuratus,I,MEX;USA
Ariocarpus,kotschoubeyanus,I,MEX
Ariocarpus,retusus,I,MEX
Ariocarpus,scaphirostris,I,MEX
Armatocereus,arduus,II,PER
Armatocereus,brevispinus,II,ECU
Armatocereus,cartwrightianus,II,ECU;PER
Armatocereus,godingianus,II,ECU
Armatocereus,humilis,II,COL
Armatocereus,laetus,II,PER
Armatocereus,mataranus,II,PER
Armatocereus,matucanensis,II,ECU;PER
Armatocereus,oligogonus,II,PER
Armatocereus,procerus,II,PER
Armatocereus,rauhii,II,PER
Armatocereus,riomajensis,II,PER
Armatocereus,rupicola,II,PER
Arrojadoa,albiflora,II,BRA
Arrojadoa,bahiensis,II,BRA
Arrojadoa,dinae,II,BRA
Arrojadoa,penicillata,II,BRA
Arrojadoa,rhodantha,II,BRA
Arthrocereus,glaziovii,II,BRA
Arthrocereus,melanurus,II,BRA
Arthrocereus,rondonianus,II,BRA
Arthrocereus,spinosissimus,II,BRA
Astrophytum,asterias,I,MEX;USA
Astrophytum,capricorne,II,MEX
Astrophytum,myriostigma,II,MEX
Astrophytum,ornatum,II,MEX
Austrocactus,bertinii,II,ARG
Austrocactus,coxii,II,ARG
Austrocactus,patagonicus,II,ARG
Austrocactus,philippii,II,CHL
Austrocactus,spiniflorus,II,CHL
Aztekium,hintonii,II,MEX
Aztekium,ritteri,I,MEX
Bergerocactus,emoryi,II,MEX;USA
Blossfeldia,liliputana,II,ARG;BOL
Brachycereus,nesioticus,II,ECU
Brasilicereus,markgrafii,II,BRA
Brasilicereus,phaeacanthus,II,BRA
Browningia,albiceps,II,PER
Browningia,altissima,II,PER
Browningia,amstutziae,II,PER
Browningia,caineana,II,BOL;PRY
Browningia,candelaris,II,CHL;PER
Browningia,chlorocarpa,II,PER
Browningia,columnaris,II,PER
Browningia,hertlingiana,II,PER
Browningia,microsperma,II,PER
Browningia,pilleifera,II,PER
Browningia,viridis,II,PER
Calymmanthium,substerile,II,PER
Carnegiea,gigantea,II,MEX;USA
Cephalocereus,apicicephalium,II,MEX
Cephalocereus,columna-trajani,II,MEX
Cephalocereus,nizandensis,II,MEX
Cephalocereus,senilis,II,MEX
Cephalocereus,totolapensis,II,MEX
Cephalocleistocactus,chrysocephalus,II,BOL
Cereus,adelmarii,II,BRA
Cereus,aethiops,II,ARG;BRA;URY
Cereus,albicaulis,II,BRA
Cereus,argentinensis,II,ARG
Cereus,bicolor,II,BRA
Cereus,braunii,II,BOL
Cereus,cochabambensis,II,BOL
Cereus,comarapanus,II,BOL
Cereus,fernambucensis,II,BRA
Cereus,fricii,II,VEN
Cereus,haageanus,II,PRY
Cereus,hankeanus,II,ARG;BOL
Cereus,hexagonus,II,ATG;BRA;GUF;GLP;GUY;MSR;SUR;TTO;VEN
Cereus,hildmannianus,II,ARG;BRA;PRY;URY
Cereus,horrispinus,II,COL;VEN
Cereus,huilunchu,II,BOL
Cereus,insularis,II,BRA
Cereus,jamacaru,II,BRA
Cereus,kroenleinii,II,BOL;BRA;PRY
Cereus,lamprospermus,II,BOL;PRY
Cereus,lanosus,II,PRY
Cereus,mirabella,II,BRA
Cereus,mortensenii,II,VEN
Cereus,pachyrrhizus,II,PRY
Cereus,phatnospermus,II,PRY
Cereus,repandus,II,VEN
Cereus,ridleii,II,BRA
Cereus,roseiflorus,II,ARG
Cereus,saddianus,II,BRA
Cereus,spegazzinii,II,ARG;BOL;BRA;PRY
Cereus,stenogonus,II,ARG;BOL;PRY
Cereus,tacuaralensis,II,BOL
Cereus,trigonodendron,II,PER
Cereus,validus,II,ARG
Cereus,vargasianus,II,PER
Cintia,knizei,II,BOL
Cipocereus,bradei,II,BRA
Cipocereus,crassisepalus,II,BRA
Cipocereus,laniflorus,II,BRA
Cipocereus,minensis,II,BRA
Cipocereus,pusilliflorus,II,BRA
Cleistocactus,acanthurus,II,PER
Cleistocactus,baumannii,II,ARG;BOL;BRA;PRY
Cleistocactus,brookeae,II,BOL
Cleistocactus,buchtienii,II,BOL
Cleistocactus,candelilla,II,BOL
Cleistocactus,chotaensis,II,PER
Cleistocactus,clavispinus,II,PER
Cleistocactus,crassiserpens,II,PER
Cleistocactus,dependens,II,BOL
Cleistocactus,ferrarii,II,ARG
Cleistocactus,fieldianus,II,PER
Cleistocactus,grossei,II,PRY
Cleistocactus,hildegardiae,II,BOL
Cleistocactus,hyalacanthus,II,ARG
Cleistocactus,hystrix,II,PER
Cleistocactus,icosagonus,II,ECU;PER
Cleistocactus,laniceps,II,BOL
Cleistocactus,luribayensis,II,BOL
Cleistocactus,micropetalus,II,BOL
Cleistocactus,morawetzianus,II,PER
Cleistocactus,muyurinensis,II,BOL
Cleistocactus,neoroezlii,II,ECU;PER
Cleistocactus,orthogonus,II,BOL
Cleistocactus,pachycladus,II,PER
Cleistocactus,palhuayensis,II,BOL
Cleistocactus,paraguariensis,II,PRY
Cleistocactus,parapetiensis,II,BOL
Cleistocactus,parviflorus,II,BOL
Cleistocactus,peculiaris,II,PER
Cleistocactus,piraymirensis,II,BOL
Cleistocactus,plagiostoma,II,PER
Cleistocactus,pungens,II,PER
Cleistocactus,reae,II,BOL
Cleistocactus,ritteri,II,BOL
Cleistocactus,roezlii,II,BOL;PER
Cleistocactus,samaipatanus,II,BOL
Cleistocactus,sepium,II,ECU
Cleistocactus,serpens,II,PER
Cleistocactus,sextonianus,II,PER
Cleistocactus,smaragdiflorus,II,ARG;BOL
Cleistocactus,strausii,II,BOL
Cleistocactus,tarijensis,II,BOL
Cleistocactus,tenuiserpens,II,PER
Cleistocactus,tominensis,II,BOL
Cleistocactus,tupizensis,II,BOL
Cleistocactus,varispinus,II,BOL
Cleistocactus,vulpis-cauda,II,BOL
Cleistocactus,winteri,II,BOL
Cleistocactus,xylorhizus,II,PER
Cleistocana,mirabilis,II,PER
Coleocephalocereus,aureus,II,BRA
Coleocephalocereus,buxbaumianus,II,BRA
Coleocephalocereus,fluminensis,II,BRA
Coleocephalocereus,goebelianus,II,BRA
Coleocephalocereus,pluricostatus,II,BRA
Coleocephalocereus,purpureus,II,BRA
Copiapoa,bridgesii,II,CHL
Copiapoa,calderana,II,CHL
Copiapoa,chanaralensis,II,CHL
Copiapoa,cinerascens,II,CHL
Copiapoa,cinerea,II,CHL
Copiapoa,coquimbana,II,CHL
Copiapoa,desertorum,II,CHL
Copiapoa,echinoides,II,CHL
Copiapoa,fiedleriana,II,CHL
Copiapoa,hornilloensis,II,CHL
Copiapoa,humilis,II,CHL
Copiapoa,hypogaea,II,CHL
Copiapoa,laui,II,CHL
Copiapoa,macracantha,II,CHL
Copiapoa,malletiana,II,CHL
Copiapoa,marginata,II,CHL
Copiapoa,megarhiza,II,CHL
Copiapoa,montana,II,CHL
Copiapoa,rupestris,II,CHL
Copiapoa,serpentisulcata,II,CHL
Copiapoa,solaris,II,CHL
Copiapoa,tenuissima,II,CHL
Copiapoa,tocopillana,II,CHL
Copiapoa,varispinata,II,CHL
Corryocactus,acervatus,II,PER
Corryocactus,apiciflorus,II,PER
Corryocactus,aureus,II,PER
Corryocactus,ayacuchoensis,II,PER
Corryocactus,ayopayanus,II,BOL
Corryocactus,brachycladus,II,PER
Corryocactus,brachypetalus,II,PER
Corryocactus,brevispinus,II,PER
Corryocactus,brevistylus,II,CHL;PER
Corryocactus,chachapoyensis,II,PER
Corryocactus,charazanensis,II,BOL
Corryocactus,chavinilloensis,II,PER
Corryocactus,cuajonesensis,II,PER
Corryocactus,erectus,II,PER
Corryocactus,gracilis,II,PER
Corryocactus,heteracanthus,II,PER
Corryocactus,huincoensis,II,PER
Corryocactus,megarhizus,II,PER
Corryocactus,melaleucus,II,PER
Corryocactus,melanotrichus,II,BOL
Corryocactus,odoratus,II,PER
Corryocactus,otuyensis,II,BOL
Corryocactus,perezianus,II,BOL
Corryocactus,pilispinus,II,PER
Corryocactus,prostratus,II,PER
Corryocactus,pulquinensis,II,BOL
Corryocactus,pyroporphyranthus,II,PER
Corryocactus,quadrangularis,II,PER
Corryocactus,quivillanus,II,PER
Corryocactus,serpens,II,PER
Corryocactus,solitarius,II,PER
Corryocactus,squarrosus,II,PER
Corryocactus,tarijensis,II,BOL
Corryocactus,tenuiculus,II,PER
Coryphantha,calipensis,II,MEX
Coryphantha,calochlora,II,MEX
Coryphantha,clavata,II,MEX
Coryphantha,compacta,II,MEX
Coryphantha,cornifera,II,MEX
Coryphantha,cornuta,II,MEX
Coryphantha,delaetiana,II,MEX
Coryphantha,difficilis,II,MEX
Coryphantha,durangensis,II,MEX
Coryphantha,echinoidea,II,MEX
Coryphantha,echinus,II,MEX;USA
Coryphantha,elephantidens,II,MEX
Coryphantha,erecta,II,MEX
Coryphantha,georgii,II,MEX
Coryphantha,glanduligera,II,MEX
Coryphantha,gracilis,II,MEX
Coryphantha,grata,II,MEX
Coryphantha,guerkeana,II,MEX
Coryphantha,indensis,II,MEX
Coryphantha,jalpanensis,II,MEX
Coryphantha,jaumavei,II,MEX
Coryphantha,longicornis,II,MEX
Coryphantha,macromeris,II,MEX;USA
Coryphantha,maiz-tablasensis,II,MEX
Coryphantha,maliterrarum,II,MEX
Coryphantha,melleospina,II,MEX
Coryphantha,neglecta,II,MEX
Coryphantha,nickelsiae,II,MEX;USA
Coryphantha,octacantha,II,MEX
Coryphantha,odorata,II,MEX
Coryphantha,ottonis,II,MEX
Coryphantha,pallida,II,MEX
Coryphantha,poselgeriana,II,MEX
Coryphantha,potosiana,II,MEX
Coryphantha,pseudoechinus,II,MEX
Coryphantha,pseudoradians,II,MEX
Coryphantha,pulleineana,II,MEX
Coryphantha,pusilliflora,II,MEX
Coryphantha,pycnacantha,II,MEX
Coryphantha,radians,II,MEX
Coryphantha,ramillosa,II,MEX;USA
Coryphantha,recurvata,II,MEX;USA
Coryphantha,reduncispina,II,MEX
Coryphantha,retusa,II,MEX
Coryphantha,robustispina,II,MEX;USA
Coryphantha,salinensis,II,MEX
Coryphantha,sulcata,II,USA
Coryphantha,sulcolanata,II,MEX
Coryphantha,tripugionacantha,II,MEX
Coryphantha,unicornis,II,MEX
Coryphantha,vaupeliana,II,MEX
Coryphantha,vogtherriana,II,MEX
Coryphantha,werdermannii,I,MEX
Coryphantha,wohlschlageri,II,MEX
Dendrocereus,nudiflorus,II,CUB
Dendrocereus,undulosus,II,HTI
Denmoza,rhodacantha,II,ARG
Discocactus,bahiensis,I,BRA
Discocactus,ferricola,I,BOL;BRA
Discocactus,heptacanthus,I,BOL;BRA
Discocactus,horstii,I,BRA
Discocactus,placentiformis,I,BRA
Discocactus,pseudoinsignis,I,BRA
Discocactus,zehntneri,I,BRA
Disocactus,ackermannii,II,MEX
Disocactus,amazonicus,II,BRA;COL;CRI;ECU;PAN;PER;VEN
Disocactus,aurantiacus,II,HND;MEX;NIC
Disocactus,biformis,II,GTM;HND
Disocactus,cinnabarinus,II,SLV;GTM;HND;MEX
Disocactus,eichlamii,II,GTM
Disocactus,flagelliformis,II,MEX
Disocactus,kimnachii,II,CRI
Disocactus,macdougallii,II,MEX
Disocactus,macranthus,II,MEX
Disocactus,martianus,II,MEX
Disocactus,nelsonii,II,GTM;HND;MEX
Disocactus,phyllanthoides,II,MEX
Disocactus,quezaltecus,II,GTM
Disocactus,schrankii,II,MEX
Disocactus,speciosus,II,GTM;MEX
Echinocactus,grusonii,II,MEX
Echinocactus,horizonthalonius,II,MEX;USA
Echinocactus,parryi,II,MEX
Echinocactus,platyacanthus,II,MEX
Echinocactus,polycephalus,II,MEX;USA
Echinocactus,texensis,II,MEX;USA
Echinocereus,adustus,II,MEX
Echinocereus,apachensis,II,USA
Echinocereus,barthelowanus,II,MEX
Echinocereus,berlandieri,II,MEX;USA
Echinocereus,bonkerae,II,USA
Echinocereus,boyce-thompsonii,II,USA
Echinocereus,brandegeei,II,MEX
Echinocereus,bristolii,II,MEX
Echinocereus,chisoensis,II,MEX;USA
Echinocereus,cinerascens,II,MEX
Echinocereus,coccineus,II,MEX;USA
Echinocereus,dasyacanthus,II,MEX;USA
Echinocereus,engelmannii,II,MEX;USA
Echinocereus,enneacanthus,II,MEX;USA
Echinocereus,fasciculatus,II,MEX;USA
Echinocereus,fendleri,II,MEX;USA
Echinocereus,ferreirianus,II,MEX
Echinocereus,ferreirianus,I,MEX
Echinocereus,freudenbergeri,II,MEX
Echinocereus,grandis,II,MEX
Echinocereus,klapperi,II,MEX
Echinocereus,knippelianus,II,MEX
Echinocereus,laui,II,MEX
Echinocereus,ledingii,II,MEX;USA
Echinocereus,leucanthus,II,MEX
Echinocereus,longisetus,II,MEX
Echinocereus,mapimiensis,II,MEX
Echinocereus,maritimus,II,MEX
Echinocereus,mojavensis,II,MEX;USA
Echinocereus,nicholii,II,MEX;USA
Echinocereus,nivosus,II,MEX
Echinocereus,ortegae,II,MEX
Echinocereus,palmeri,II,MEX
Echinocereus,pamanesiorum,II,MEX
Echinocereus,papillosus,II,MEX;USA
Echinocereus,parkeri,II,MEX
Echinocereus,pectinatus,II,MEX;USA
Echinocereus,pensilis,II,MEX
Echinocereus,pentalophus,II,MEX;USA
Echinocereus,polyacanthus,II,MEX;USA
Echinocereus,poselgeri,II,MEX;USA
Echinocereus,primolanatus,II,MEX
Echinocereus,pseudopectinatus,II,MEX;USA
Echinocereus,pulchellus,II,MEX
Echinocereus,rayonesensis,II,MEX
Echinocereus,reichenbachii,II,MEX;USA
Echinocereus,rigidissimus,II,MEX;USA
Echinocereus,roetteri,II,USA
Echinocereus,russanthus,II,MEX;USA
Echinocereus,scheeri,II,MEX
Echinocereus,schereri,II,MEX
Echinocereus,schmollii,I,MEX
Echinocereus,sciurus,II,MEX
Echinocereus,scopulorum,II,MEX
Echinocereus,spinigemmatus,II,MEX
Echinocereus,stoloniferus,II,MEX
Echinocereus,stramineus,II,MEX;USA
Echinocereus,subinermis,II,MEX
Echinocereus,triglochidiatus,II,MEX;USA
Echinocereus,viereckii,II,MEX
Echinocereus,viridiflorus,II,MEX;USA
Echinocereus,websterianus,II,MEX
Echinopsis,adolfofriedrichii,II,PRY
Echinopsis,ancistrophora,II,ARG;BOL
Echinopsis,angelesiae,II,ARG
Echinopsis,antezanae,II,BOL
Echinopsis,arboricola,II,ARG
Echinopsis,arebaloi,II,BOL
Echinopsis,atacamensis,II,ARG;BOL;CHL
Echinopsis,aurea,II,ARG
Echinopsis,backebergii,II,BOL;PER
Echinopsis,baldiana,II,ARG
Echinopsis,bertramiana,II,BOL
Echinopsis,boyuibensis,II,BOL
Echinopsis,brasiliensis,II,BRA
Echinopsis,bridgesii,II,BOL
Echinopsis,bruchii,II,ARG
Echinopsis,cabrerae,II,ARG
Echinopsis,caineana,II,BOL
Echinopsis,cajasensis,II,BOL
Echinopsis,calliantholilacina,II,BOL
Echinopsis,callichroma,II,BOL
Echinopsis,calochlora,II,BRA
Echinopsis,camarguensis,II,BOL
Echinopsis,candicans,II,ARG
Echinopsis,cephalomacrostibas,II,PER
Echinopsis,cerdana,II,BOL
Echinopsis,chalaensis,II,PER
Echinopsis,chamaecereus,II,ARG
Echinopsis,chiloensis,II,CHL
Echinopsis,chrysantha,II,ARG
Echinopsis,chrysochete,II,ARG
Echinopsis,cinnabarina,II,BOL
Echinopsis,clavatus,II,BOL
Echinopsis,cochabambensis,II,BOL
Echinopsis,comarapana,II,BOL
Echinopsis,conaconensis,II,BOL
Echinopsis,coquimbana,II,CHL
Echinopsis,coronata,II,BOL
Echinopsis,cotacajesii,II,BOL
Echinopsis,crassicaulis,II,ARG
Echinopsis,cuzcoensis,II,PER
Echinopsis,densispina,II,ARG
Echinopsis,derenbergii,II,PRY
Echinopsis,deserticola,II,CHL
Echinopsis,escayachensis,II,BOL
Echinopsis,eyriesii,II,ARG;BRA;URY
Echinopsis,fabrisii,II,ARG
Echinopsis,famatinensis,II,ARG
Echinopsis,ferox,II,ARG;BOL
Echinopsis,formosa,II,ARG;CHL
Echinopsis,friedrichii,II,ARG
Echinopsis,glauca,II,CHL;PER
Echinopsis,glaucina,II,ARG
Echinopsis,graciliflora,II,BOL
Echinopsis,haematantha,II,ARG;BOL
Echinopsis,hahniana,II,PRY
Echinopsis,hammerschmidii,II,BOL
Echinopsis,hertrichiana,II,BOL;PER
Echinopsis,huascha,II,ARG
Echinopsis,huotii,II,BOL
Echinopsis,hystrichoides,II,BOL
Echinopsis,ibicuatensis,II,BOL
Echinopsis,kladiwana,II,BOL
Echinopsis,klingleriana,II,BOL
Echinopsis,knuthiana,II,BOL;PER
Echinopsis,korethroides,II,ARG
Echinopsis,lageniformis,II,BOL
Echinopsis,lamprochlora,II,ARG
Echinopsis,lateritia,II,BOL
Echinopsis,leucantha,II,ARG
Echinopsis,litoralis,II,CHL
Echinopsis,macrogona,II,BOL
Echinopsis,mamillosa,II,ARG;BOL
Echinopsis,marsoneri,II,ARG;BOL
Echinopsis,mataranensis,II,BOL
Echinopsis,maximiliana,II,BOL;PER
Echinopsis,meyeri,II,PRY
Echinopsis,mieckleyi,II,BOL
Echinopsis,minuana,II,ARG
Echinopsis,mirabilis,II,ARG
Echinopsis,molesta,II,ARG
Echinopsis,nigra,II,ARG
Echinopsis,obrepanda,II,BOL
Echinopsis,oxygona,II,ARG;BRA;PRY;URY
Echinopsis,pachanoi,II,ECU;PER
Echinopsis,pampana,II,PER
Echinopsis,pentlandii,II,BOL;PER
Echinopsis,peruviana,II,PER
Echinopsis,pojoensis,II,BOL
Echinopsis,pseudomamillosa,II,BOL
Echinopsis,pugionacantha,II,ARG;BOL
Echinopsis,quadratiumbonatus,II,BOL
Echinopsis,rhodotricha,II,ARG;BRA;PRY;URY
Echinopsis,riviere-de-caraltii,II,BOL
Echinopsis,saltensis,II,ARG
Echinopsis,sanguiniflora,II,ARG
Echinopsis,santaensis,II,PER
Echinopsis,schickendantzii,II,ARG
Echinopsis,schieliana,II,BOL;PER
Echinopsis,schoenii,II,PER
Echinopsis,schreiteri,II,ARG
Echinopsis,scopulicola,II,BOL
Echinopsis,silvestrii,II,ARG
Echinopsis,skottsbergii,II,CHL
Echinopsis,smrziana,II,ARG
Echinopsis,spachiana,II,ARG;BOL
Echinopsis,spinibarbis,II,CHL
Echinopsis,strigosa,II,ARG
Echinopsis,subdenudata,II,BOL
Echinopsis,sucrensis,II,BOL
Echinopsis,tacaquirensis,II,BOL
Echinopsis,taratensis,II,BOL
Echinopsis,tarijensis,II,ARG;BOL
Echinopsis,tarmaensis,II,PER
Echinopsis,tegeleriana,II,PER
Echinopsis,terscheckii,II,ARG;BOL
Echinopsis,thelegona,II,ARG
Echinopsis,thelegonoides,II,ARG
Echinopsis,thionantha,II,ARG
Echinopsis,tiegeliana,II,ARG;BOL
Echinopsis,trichosa,II,BOL
Echinopsis,tubiflora,II,ARG
Echinopsis,tulhuayacensis,II,PER
Echinopsis,tunariensis,II,BOL
Echinopsis,uyupampensis,II,BOL;PER
Echinopsis,vasquezii,II,BOL
Echinopsis,vatteri,II,ARG
Echinopsis,volliana,II,BOL
Echinopsis,walteri,II,ARG
Echinopsis,werdermannii,II,PRY
Echinopsis,yuquina,II,BOL
Epiphyllum,anguliger,II,MEX
Epiphyllum,cartagense,II,CRI;PAN
Epiphyllum,caudatum,II,MEX
Epiphyllum,columbiense,II,COL;CRI;ECU;PAN;VEN
Epiphyllum,costaricense,II,CRI;PAN
Epiphyllum,crenatum,II,BLZ;GTM;HND;MEX
Epiphyllum,floribundum,II,PER
Epiphyllum,grandilobum,II,CRI;PAN
Epiphyllum,guatemalense,II,GTM;HND;MEX
Epiphyllum,hookeri,II,BLZ;CRI;CUB;SLV;GTM;HTI;HND;MEX;NIC;PAN;TTO;VEN
Epiphyllum,laui,II,MEX
Epiphyllum,lepidocarpum,II,CRI;PAN
Epiphyllum,oxypetalum,II,CRI;SLV;GTM;HND;MEX
Epiphyllum,phyllanthus,II,ARG;BOL;BRA;COL;CRI;ECU;SLV;GUF;GTM;GUY;HND;NIC;PAN;PRY;PER;SUR;URY;VEN
Epiphyllum,pittieri,II,CRI;PAN
Epiphyllum,pumilum,II,BLZ;GTM;MEX
Epiphyllum,rubrocoronatum,II,COL;ECU;PAN
Epiphyllum,thomasianum,II,CRI;ECU;GTM;HND;MEX;NIC;PAN
Epiphyllum,trimetrale,II,COL
Epithelantha,bokei,II,MEX;USA
Epithelantha,micromeris,II,MEX;USA
Eriosyce,aerocarpa,II,CHL
Eriosyce,andreaeana,II,ARG
Eriosyce,aspillagae,II,CHL
Eriosyce,aurata,II,CHL
Eriosyce,bulbocalyx,II,ARG
Eriosyce,chilensis,II,CHL
Eriosyce,confinis,II,CHL
Eriosyce,crispa,II,CHL
Eriosyce,curvispina,II,CHL
Eriosyce,engleri,II,CHL
Eriosyce,esmeraldana,II,CHL
Eriosyce,garaventae,II,CHL
Eriosyce,heinrichiana,II,CHL
Eriosyce,islayensis,II,CHL;PER
Eriosyce,krausii,II,CHL
Eriosyce,kunzei,II,CHL
Eriosyce,laui,II,CHL
Eriosyce,limariensis,II,CHL
Eriosyce,marksiana,II,CHL
Eriosyce,napina,II,CHL
Eriosyce,occulta,II,CHL
Eriosyce,odieri,II,CHL
Eriosyce,omasensis,II,PER
Eriosyce,recondita,II,CHL
Eriosyce,rodentiophila,II,CHL
Eriosyce,senilis,II,CHL
Eriosyce,sociabilis,II,CHL
Eriosyce,strausiana,II,ARG
Eriosyce,subgibbosa,II,CHL
Eriosyce,taltalensis,II,CHL
Eriosyce,tenebrica,II,CHL
Eriosyce,umadeave,II,ARG
Eriosyce,vertongenii,II,ARG
Eriosyce,villicumensis,II,ARG
Eriosyce,villosa,II,CHL
Escobaria,aguirreana,II,MEX
Escobaria,albicolumnaria,II,USA
Escobaria,alversonii,II,USA
Escobaria,chihuahuensis,II,MEX
Escobaria,cubensis,II,CUB
Escobaria,dasyacantha,II,MEX;USA
Escobaria,deserti,II,USA
Escobaria,duncanii,II,USA
Escobaria,emskoetteriana,II,MEX;USA
Escobaria,guadalupensis,II,USA
Escobaria,hesteri,II,USA
Escobaria,laredoi,II,MEX
Escobaria,lloydii,II,MEX
Escobaria,minima,I,USA
Escobaria,missouriensis,II,MEX;USA
Escobaria,orcuttii,II,USA
Escobaria,organensis,II,USA
Escobaria,robbinsorum,II,MEX;USA
Escobaria,roseana,II,MEX
Escobaria,sandbergii,II,USA
Escobaria,sneedii,I,USA
Escobaria,tuberculosa,II,MEX;USA
Escobaria,villardii,II,USA
Escobaria,vivipara,II,CAN;MEX;USA
Escobaria,zilziana,II,MEX
Escontria,chiotilla,II,MEX
Espostoa,baumannii,II,PER
Espostoa,blossfeldiorum,II,PER
Espostoa,calva,II,PER
Espostoa,frutescens,II,ECU
Espostoa,guentheri,II,BOL
Espostoa,huanucoensis,II,PER
Espostoa,hylaea,II,PER
Espostoa,lanata,II,ECU;PER
Espostoa,lanianuligera,II,PER
Espostoa,melanostele,II,PER
Espostoa,mirabilis,II,PER
Espostoa,nana,II,PER
Espostoa,ritteri,II,PER
Espostoa,ruficeps,II,PER
Espostoa,senilis,II,PER
Espostoa,superba,II,PER
Espostocactus,mirabilis,II,PER
Espostoopsis,dybowskii,II,BRA
Eulychnia,acida,II,CHL
