,Unnamed: 0.1,Unnamed: 0.1.1,hs_code,Indent,Description,sc_names,full_desc,pos_kw,neg_kw
10,10,10,4401.39.40.10,4,Sawdust not agglomerated,,[ [ [ Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms ] && [ Sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms ] && [ ![ Wood pellets ] ] ] && [ ![ Artificial fire logs composed of wax && sawdust &&  with or without added materials ] ] ] && [ Sawdust not agglomerated ],billet;twig;agglomerate;chip;scrap;log;faggot;similar form;sawdust;fuel wood;wood waste;particle;briquette;pellet,log compose;wax;wood pellet;add material;sawdust;artificial fire;fire log
11,11,11,4401.39.40.20,4,Shavings,,[ [ [ Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms ] && [ Sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms ] && [ ![ Wood pellets ] ] ] && [ ![ Artificial fire logs composed of wax && sawdust &&  with or without added materials ] ] ] && [ Shavings ],billet;shaving;twig;chip;scrap;log;faggot;similar form;sawdust;fuel wood;wood waste;particle;briquette;pellet,log compose;wax;wood pellet;add material;sawdust;artificial fire;fire log
12,12,12,4401.39.40.90,4,Other,,[ [ [ [ Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms ] && [ Sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms ] && [ ![ Wood pellets ] ] ] && [ ![ Artificial fire logs composed of wax && sawdust &&  with or without added materials ] ] ] && [ ![ Shavings ] && ![ Sawdust not agglomerated ] ] ],billet;twig;chip;scrap;log;faggot;similar form;sawdust;fuel wood;wood waste;particle;briquette;pellet,log compose;agglomerate;wax;wood pellet;shavings;add material;sawdust;artificial fire;fire log
13,13,13,4402,0,Wood charcoal (including shell or nut charcoal) &&  whether or not agglomerated,,[ Wood charcoal (including shell or nut charcoal) &&  whether or not agglomerated ],wood charcoal;shell;agglomerate;nut charcoal,
14,14,14,4402.10.00.00,1,Of bamboo,,[ Wood charcoal (including shell or nut charcoal) &&  whether or not agglomerated ] && [ Of bamboo ],bamboo;wood charcoal;shell;agglomerate;nut charcoal,
15,15,15,4402.90.00.00,1,Other,,[ [ Wood charcoal (including shell or nut charcoal) &&  whether or not agglomerated ] && [ ![ Of bamboo ] ] ],wood charcoal;shell;agglomerate;nut charcoal,bamboo
16,16,16,4403,0,Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared,,[ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ],strip;rough;sap wood;squared;bark,
17,17,17,4403.10.00,1,Treated with paint &&  stain &&  creosote or other preservatives,,[ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ Treated with paint &&  stain &&  creosote or other preservatives ],bark;strip;paint;stain;creosote;preservative;rough;sap wood;squared,
18,18,18,,2,Poles &&  piles && posts,,[ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ Treated with paint &&  stain &&  creosote or other preservatives ] && [ Poles &&  piles && posts ],pile;bark;post;strip;paint;stain;creosote;preservative;poles;rough;sap wood;squared,
19,19,19,4403.10.00.20,3,Telephone &&  telegraph && electrical power poles,,[ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ Treated with paint &&  stain &&  creosote or other preservatives ] && [ Poles &&  piles && posts ] && [ Telephone &&  telegraph && electrical power poles ],telephone;pile;bark;post;strip;paint;stain;creosote;electrical power;preservative;telegraph;poles;rough;sap wood;power pole;squared,
20,20,20,4403.10.00.40,3,Fence posts,,[ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ Treated with paint &&  stain &&  creosote or other preservatives ] && [ Poles &&  piles && posts ] && [ Fence posts ],pile;bark;post;strip;fence post;paint;stain;creosote;preservative;poles;rough;sap wood;squared,
21,21,21,4403.10.00.50,3,Other,,[ [ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ Treated with paint &&  stain &&  creosote or other preservatives ] && [ Poles &&  piles && posts ] && [ ![ Fence posts ] && ![ Telephone &&  telegraph && electrical power poles ] ] ],pile;bark;post;strip;paint;stain;creosote;preservative;poles;rough;sap wood;squared,electrical power;fence post;telephone;power pole;telegraph
22,22,22,4403.10.00.60,2,Other,,[ [ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ Treated with paint &&  stain &&  creosote or other preservatives ] && [ ![ Poles &&  piles && posts ] ] ],bark;strip;paint;stain;creosote;preservative;rough;sap wood;squared,poles;post;pile
23,23,23,4403.20.00,1,Other &&  coniferous,,[ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ Other &&  coniferous ],coniferous;bark;strip;rough;sap wood;squared,
24,24,24,,2,Pulpwood,,[ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ Other &&  coniferous ] && [ Pulpwood ],coniferous;bark;strip;pulpwood;rough;sap wood;squared,
25,25,25,4403.20.00.04,3,Balsam &&  fir or spruce,,[ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ Other &&  coniferous ] && [ Pulpwood ] && [ Balsam &&  fir or spruce ],coniferous;fir;balsam;bark;strip;pulpwood;spruce;rough;sap wood;squared,
26,26,26,4403.20.00.08,3,Other,,[ [ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ Other &&  coniferous ] && [ Pulpwood ] && [ ![ Balsam &&  fir or spruce ] ] ],coniferous;bark;strip;pulpwood;rough;sap wood;squared,spruce;fir;balsam
27,27,27,,2,Poles &&  piles && posts,,[ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ Other &&  coniferous ] && [ Poles &&  piles && posts ],coniferous;pile;bark;post;strip;poles;rough;sap wood;squared,
28,28,28,4403.20.00.12,3,Telephone &&  telegraph && electrical power poles,,[ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ Other &&  coniferous ] && [ Poles &&  piles && posts ] && [ Telephone &&  telegraph && electrical power poles ],coniferous;telephone;pile;bark;post;strip;electrical power;telegraph;poles;rough;sap wood;power pole;squared,
29,29,29,4403.20.00.15,3,Fence posts,,[ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ Other &&  coniferous ] && [ Poles &&  piles && posts ] && [ Fence posts ],coniferous;pile;bark;post;strip;fence post;poles;rough;sap wood;squared,
30,30,30,4403.20.00.16,3,Other,,[ [ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ Other &&  coniferous ] && [ Poles &&  piles && posts ] && [ ![ Fence posts ] && ![ Telephone &&  telegraph && electrical power poles ] ] ],coniferous;pile;bark;post;strip;poles;rough;sap wood;squared,electrical power;fence post;telephone;power pole;telegraph
31,31,31,,2,Logs && timber,,[ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ Other &&  coniferous ] && [ Logs && timber ],coniferous;logs;bark;strip;timber;rough;sap wood;squared,
32,32,32,,3,Pine (Pinus spp.),Pinus spp.,[ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ Other &&  coniferous ] && [ Logs && timber ] && [ Pine (Pinus spp.) ],coniferous;logs;bark;strip;pine;timber;pinus spp;rough;sap wood;squared,
33,33,33,4403.20.00.20,4,Southern yellow pine (Loblolly pine (Pinus taeda)) &&  long leaf pine (Pinus palustris) &&  pitch pine (Pinus rigida) &&  short leaf pine (Pinus echinata) &&  slash pine (Pinus elliottii) && Virginia pine (Pinus virginiana),Pinus virginiana;Pinus palustris;Pinus elliottii;Pinus rigida;Pinus echinata;Pinus taeda;Pinus spp.,[ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ Other &&  coniferous ] && [ Logs && timber ] && [ Pine (Pinus spp.) ] && [ Southern yellow pine (Loblolly pine (Pinus taeda)) &&  long leaf pine (Pinus palustris) &&  pitch pine (Pinus rigida) &&  short leaf pine (Pinus echinata) &&  slash pine (Pinus elliottii) && Virginia pine (Pinus virginiana) ],coniferous;logs;pinus virginiana;pinus taeda;pitch pine;pinus spp;rough;sap wood;leaf pine;pine;pinus echinata;bark;yellow pine;southern yellow;pinus elliottii;short leaf;pinus rigida;squared;strip;pinus palustris;timber;long leaf;virginia pine,
34,34,34,4403.20.00.25,4,Ponderosa pine (Pinus ponderosa),Pinus ponderosa;Pinus spp.,[ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ Other &&  coniferous ] && [ Logs && timber ] && [ Pine (Pinus spp.) ] && [ Ponderosa pine (Pinus ponderosa) ],coniferous;ponderosa pine;logs;bark;strip;pine;timber;pinus ponderosa;pinus spp;rough;sap wood;squared,
