Clibadium alatum
Ocotea benthamiana
Citharexylum lojense
Lophopetalum sessilifolium
Cypripedium malipoense
Pittosporum bouletii
Myrceugenia rufescens
Armeria sampaioi
Barleria asterotricha
Podocarpus humbertii
Aloe congdonii
Callichilia monopodialis
Antidesma cruciforme
Anthurium septuplinervium
Coccothrinax pauciramosa
Zygophyllum bucharicum
Medicago kotovii
Carex holostoma
Zenkerella capparidacea
Iochroma lehmannii
Phyllanthus bernieranus
Viola cuicochensis
Angraecum pyriforme
Pelargonium cotyledonis
Veitchia metiti
Blepharis petraea
Bomarea gracilis
Coffea costatifructa
Pouteria cinnamomea
Afrothismia korupensis
Humboldtia trijuga
Stachys pseudohumifusa
Eugenia haematocarpa
Guevaria alvaroi
Magnolia vrieseana
Abutilon eremitopetalum
Nymphaea nouchali
Petagnaea gussonei
Pilosocereus pachycladus
Artemisia molinieri
Scrophularia cooperi
Gynoxys chagalensis
Tropaeolum asplundii
Prunus hortulana
Sarcolaena grandiflora
Banara brasiliensis
Chloroxylon swietenia
Prunus cocomilia
Trichilia acuminata
Brunellia ovalifolia
Melicope orbicularis
Justicia ianthina
Jasione mansanetiana
Schizolaena pectinata
Limnophila siamensis
Litchi chinensis
Dacryodes macrocarpa
Cryptopus brachiatus
Chisocheton perakensis
Dypsis serpentina
Hylocereus escuintlensis
Dehaasia pugerensis
Magnolia paranaensis
Ruagea ovalis
Scaphopetalum parvifolium
Asparagus usambarensis
Elaeocarpus pseudopaniculatus
Cephalotaxus harringtonii
Elaeocarpus simaluensis
Calathea utilis
Erythroxylum obtusifolium
Licania longicuspidata
Stenopadus andicola
Paepalanthus bosseri
Centropogon phoeniceus
Lespedeza maritima
Sorbus degenii
Paranephelium hainanensis
Artocarpus hypargyreus
Cryptotaenia polygama
Decorsea grandidieri
Allophylus sechellensis
Bactris fissifrons
Cola le-testui
Vitex ferruginea
Indigofera chimanimaniensis
Pediocactus knowltonii
Limonium calabrum
Carpinus betulus
Aspidostemon litoralis
Odontites granatensis
Diospyros barberi
Dactyladenia hirsuta
Magnolia koordersiana
Quercus canariensis
Taiwania cryptomerioides
Echidnopsis bentii
Arrojadoa dinae
Delonix leucantha
Coffea rakotonasoloi
Commidendrum spurium
Horsfieldia javanica
Ilex patens
Podocarpus coriaceus
Acianthera bicarinata
Anthurium ecuadorense
Miconia suborbicularis
Geniostoma gagneae
Elaeocarpus colnettianus
Dioscorea nana
Phaseolus rimbachii
Quercus crassifolia
Cotoneaster granatensis
Euphorbia cap-saintemariensis
Astrocaryum carnosum
Magnolia urraoensis
Quercus praineana
Mangifera austro-yunnanensis
Serapias frankavillae
Tahitia vescoana
Codia ferruginea
Santalum raivavense
Hypericum prietoi
Phyllostegia haliakalae
Lasianthus grandifolius
Horsfieldia hirtiflora
Pinus banksiana
Jankaea heldreichii
Plectranthus mafiensis
Shorea ovata
Ficus calyptroceras
Verbesina rupestris
Barbarea macrophylla
Epidendrum dorsocarinatum
Aloe friisii
Hydrocotyle conferta
Impatiens gongolana
Dracaena curtisii
Ficus hondurensis
Marthella trinitatis
Mesanthemum pubescens
Pyrus cajon
Sideroxylon hirtiantherum
Angraecum pinifolium
Ixora st.-johnii
Terminalia arbuscula
Allium dumetorum
Myrsine longifolia
Rhipsalis mesembryanthemoides
Vatica venulosa
Quercus agrifolia
Stonesia fascicularis
Cucurbita ecuadorensis
Ochna rufescens
Picrella gracillima
Centaurodendron palmiforme
Otiophora lebruniana
Brachystephanus giganteus
Thyrsosalacia pararacemosa
Aloe bussei
Aspalathus varians
Plantago moorei
Ludwigia hyssopifolia
Marsilea schelpeana
Paphiopedilum sanderianum
Goodyera alveolata
Sparganium natans
Vaccinium padifolium
Phyllanthus nyale
Tabebuia palustris
Shorea cordifolia
Ardisia dom
Passiflora jatunsachensis
Matelea fimbriatiflora
Opuntia fragilis
Pleurothallis elegantula
Aloe squarrosa
Parodia neohorstii
Spiraeanthemum katakata
Quercus tonduzii
Gynoxys pulchella
Betula alleghaniensis
Sclerochiton hirsutus
Isoetes eshbaughii
Persea brenesii
Viola utchinensis
Tabernaemontana panamensis
Selaginella denticulata
Dendropanax grandis
Phaedranassa viridiflora
Sorbus meierottii
Acianthera compressicaulis
Viburnum villosum
Bonnetia holostyla
Paraboea glabra
Arenaria radians
Mammea veimauriensis
Monopyle stenoloba
Anthurium angustilaminatum
Impatiens pritzelii
Cycas scratchleyana
Euphorbia sachetiana
Glyphochloa santapaui
Tovomita microcarpa
Centaurea citricolor
Encyclia kingsii
Eleusine kigeziensis
Suddia sagittifolia
