Clibadium alatum
Pouteria puberula
Weinmannia jelskii
Xanthostemon sebertii
Parasitaxus usta
Zostera noltii
Thymus markhotensis
Carpinus orientalis
Magnolia kwangsiensis
Hopea ovoidea
Genista parnassica
Cariniana legalis
Stachytarpheta fallax
Albuca albucoides
Silene alexandri
Mikania iserniana
Calathea veitchiana
Entandrophragma cylindricum
Bonnayodes limnophiloides
Aphelandra cinnabarina
Phyllanthus indofischeri
Tillandsia cucullata
Cyanea horrida
Prunus umbellata
Vepris morogorensis
Blutaparon rigidum
Solanum paralum
Dendrocereus nudiflorus
Pinus brutia
Ledermanniella variabilis
Mammillaria hernandezii
Paphiopedilum glanduliferum
Paraboea strobilacea
Platanthera oreophila
Vatica brevipes
Ficus pakkensis
Matelea porphyrocephala
Sorbus ratisbonensis
Magnolia macrophylla
Calyptranthes arenicola
Mangifera pentandra
Styrax foveolaria
Vatica brunigii
Shorea rugosa
Philodendron balaoanum
Salacia lebrunii
Clitoria andrei
Capparis crotonantha
Cyanea glabra
Cyphophoenix elegans
Macaranga grandifolia
Rhamnus capraeifolia
Echinodorus eglandulosus
Scalesia gordilloi
Stenostephanus lugonis
Tournefortia stenosepala
Gypsophila szovitsii
Pandanus balfourii
Dypsis integra
Racinaea sinuosa
Bolboschoenus novae-angliae
Diospyros insularis
Pittosporum croceum
Calliandra decrescens
Tunilla microdisca
Cleistocactus sextonianus
Dipterocarpus rotundifolius
Allium makmelianum
Stachytarpheta steyermarkii
Paraboea mahaxayana
Paradrymonia fuquaiana
Illicium kinabaluensis
Espostoa lanata
Areca ipot
Magnolia xiana
Stelis tabacina
Euphorbia bicompacta
Trapa maleevii
Ammopiptanthus nanus
Sideroxylon anomalum
Helianthus arizonensis
Impatiens flammea
Shorea hopeifolia
Darlingtonia californica
Oeceoclades maculata
Gynoxys miniphylla
Matisia grandifolia
Spiraeanthemum pedunculatum
Centaurium sebaeoides
Zanthoxylum hawaiiense
Allium breviradium
Microtropis sabahensis
Cunninghamia lanceolata
Saintpaulia watkinsii
Eugenia rendlei
Pouteria longifolia
Bauhinia pichinchensis
Magnolia domingensis
Spathodea campanulata
Myristica subalulata
Swainsona laxa
Samyda glabrata
Pittosporum sylvaticum
Silene ispirensis
Sisymbrella dentata
Centaurea corymbosa
Taxitheliella richardsii
Weinmannia tinctoria
Coffea tsirananae
Magnolia atlantida
Myriophyllum mezianum
Guzmania harlingii
Malus doumeri
Memecylon sisparense
Cyclosorus wailele
Schoenoplectiella saximontana
Columnea rileyi
Eugenia ericoides
Abarema alexandri
Persea chamissonis
Acridocarpus machaeropterus
Nymphoides guineensis
Aloe makurupiniensis
Najas minor
Maingaya malayana
Nesiota elliptica
Aglaia heterotricha
Psathura sechellarum
Anacamptis pyramidalis
Pandanus petersii
Pradosia verrucosa
Bidens wiebkei
Ormocarpopsis calcicola
Jacobaea buschiana
Diospyros paniculata
Dissotis bambutorum
Apeiba intermedia
Ekmanianthe longiflora
Horsfieldia samarensis
Pinus fragilissima
Santalum marchionense
Euphorbia croizatii
Mangifera rufocostata
Eugenia gatopensis
Epithelantha bokei
Diospyros shimbaensis
Gagea moniliformis
Ranunculus baudotii
Drypetes palawanensis
Calceolaria harlingii
Aglaia cinnamomea
Camellia fascicularis
Brunellia darienensis
Drymonia pulchra
Oxalis uliginosa
Homalium spathulatum
Mezoneuron kavaiense
Baillonella toxisperma
Litsea pierrei
Pinus cernua
Piper zarumanum
Gnetum neglectum
Nothofagus discoidea
Nasa asplundii
Mosannona pachiteae
Polyscias flynnii
Abies beshanzuensis
Psychotria rimbachii
Cotoneaster majoricensis
Chondrus albemarlensis
Miconia grayana
Nepenthes bellii
Isoetes sinensis
Riella purpureospora
Calophyllum mooni
Geniostoma hallei
Tropaeolum carchense
Metasequoia glyptostroboides
Diospyros nummulariifolia
Pouteria rigida
Mammillaria luethyi
Calla palustris
Ixora jucunda
Operculicarya hirsutissima
Scilla morrisii
Struthiola montana
Onobrychis meschetica
Diplazium rivale
Sessea brasiliensis
Tephrosia phylloxylon
Myosotis retusifolia
Huperzia columnaris
Clerodendrum calcicola
Phylloxylon arenicola
Calceolaria commutata
Eschweilera rhododendrifolia
Kalappia celebica
Cycas inermis
Eugenia fernandopoana
Paraboea vulpina
Wallenia fawcettii
Cupressus stephensonii
Pulicaria diffusa
Cola porphyrantha
Elaeodendron kamerunense
Phyllocladus hypophyllus
Zamia boliviana
Nauclea diderrichii
Pyrus tamamschianae
Flemingia kradungensis
Delissea takeuchii
Pulicaria vulgaris
Coussapoa curranii
Vaughania cloiselii
Rinorea uxpanapana
Livistona alfredii
Aglaia polyneura
Carex cyprica
Aetheolaena mojandensis
Cryptocoryne annamica
Echium onosmifolium
Zostera caespitosa
Coccoloba lindaviana
Alsinidendron trinerve
Centropogon dissectus
Genista tenera
Pavetta baconiella
Dussia foxii
Sorbus eminentoides
Stipa karjaginii
Syzygium zeylanicum
Magnolia zamorana
Tulipa cypria
Pterosiphonia paucicorticata
Alnus mandshurica
Macropodiella pellucida
Crossandra isaloensis
Tillandsia hirtzii
Mitranthes clarendonensis
Quercus alnifolia
Syzygium minus
Paphiopedilum dianthum
Stratiotes aloides
Dubautia knudsenii
Nepenthes ramispina
Tillandsia umbellata
Axinaea pauciflora
Acanthosyris annonagustata
Dypsis brittiana
Magnolia calimaensis
Euphorbia santapauii
Alphitonia ponderosa
Crotalaria peltieri
Paphiopedilum randsii
Manilkara cavalcantei
Sambucus lanceolata
Lysipomia bilineata
Ischaemum jayachandranii
Photinia lasiogyna
Magnolia omeiensis
Onosma griersonii
Alternanthera helleri
Sakoanala villosa
Macrosamanea prancei
Drypetes stylosa
Palicourea holmgrenii
Calophyllum soulattri
Setaria parviflora
Salix alba
Knema uliginosa
Persea glabra
Cyperus grayi
Solanum antalaha
Ardisia etindensis
Callipteris ulugurica
Larix decidua
Aloe hahnii
Ceratostylis resiana
Argyroxiphium virescens
Epiphyllum lepidocarpum
Eragrostis stolonifera
Centropogon baezanus
Thelypteris campii
Psychotria densinervia
Aeschynomene ruspoliana
Lotus purpureus
Greigia atrobrunnea
Psychotria dubia
Magnolia kichuana
Podocarpus parlatorei
Oreomunnea pterocarpa
Burmeistera truncata
Magnolia fulva
Barbarea conferta
Hirtella enneandra
Horsfieldia iriana
Piper nanegalense
Elaeocarpus bojeri
Ortegocactus macdougallii
Labichea digitata
Yavia cryptocarpa
Sinojackia xylocarpa
Ziziphus mistol
Ormocarpum dhofarense
Garcinia acutifolia
Chorisochora minor
Goodyera perrieri
Heliciopsis lanceolata
Anthurium campii
Calophyllum thwaitesii
Gymnadenia borealis
Knema psilantha
Parodia turecekiana
Petrocosmea umbelliformis
Opuntia sanguinea
Barleria leandrii
Armeria pseudarmeria
Cyclobalanopsis repandifolia
Dissotis pobeguinii
Gynoxys rimbachii
Eugenia harrisii
Chionanthus wurdackii
Vepris subalata
Ternstroemia corneri
Opuntia stenarthra
Graderia fruticosa
Microtropis grandifolia
Phyllostegia kahiliensis
Fitzroya cupressoides
Sabal bermudana
Dischistocalyx rivularis
Horsfieldia brachycarpa
Gardenia candida
Consolea picardae
Macrosamanea macrocalyx
Tetrasiphon jamaicensis
Peperomia disjunctiflora
Memecylon ellipticum
Asclepias incarnata
Deinbollia longiacuminata
Commiphora planifrons
Bomarea goniocaulon
Camellia cupiformis
Calathea lanicaulis
Paphiopedilum lowii
Manettia holwayi
Leobordea tapetiformis
Pinus pseudostrobus
Matisia exalata
Connarus brachybotryosus
Sebastiania fasciculata
Paphiopedilum tigrinum
Magnolia lopezobradorii
Pelagodoxa henryana
Cinnamomum macrostemon
Nesaea stuhlmannii
Shorea megistophylla
Picea linzhiensis
Colocasia esculenta
Anisoptera scaphula
Bauhinia bowkeri
Acridocarpus congestus
Isoglossa dispersa
Myristica teijsmannii
Ocotea jorge-escobarii
Pouteria foveolata
Bulbostylis pseudoperennis
Pseuduvaria taipingensis
Cordia scouleri
Rhynchospora ebracteata
Pentace acuta
Diospyros greenwayi
Eschweilera baguensis
Dissotis pulchra
Nototriche ecuadoriensis
Centropogon aequatorialis
Carpinus hebestroma
Conyza feae
Juniperus cedrus
Lindernia nummulariifolia
Horsfieldia disticha
Podocarpus gibbsiae
Polyspora multinervis
Melanophylla aucubifolia
Puya herrerae
Butia eriospatha
Ravenea lakatra
Hamilcoa zenkeri
Rhipsalis pilocarpa
Scalesia baurii
Mandevilla equatorialis
Juniperus transtagana
Psychotria bimbiensis
Isoetes stephansenii
Lepidium quitense
Solanum madagascariense
Serapias neglecta
Shorea xanthophylla
Campanula massalskyi
Pouteria arguacoensium
Pouteria filiformis
Bonnetia jauensis
Piper variifolium
Tragopogon sosnowskyi
Chusquea leonardiorum
Quercus polymorpha
Paullinia navicularis
Vepris heterophylla
Encephalartos brevifoliolatus
Medicago pironae
Miconia aspratilis
Heliconia markiana
Charpentiera elliptica
Aspidostemon inconspicuus
Aubregrinia taiensis
Chaerophyllum atlanticum
Crotalaria corymbosa
Piper san-miguelense
Quercus bumelioides
Indigofera itremoensis
Casearia crassinervis
Oxytropis lambertii
Ardisia hagenii
Nectandra guadaripo
Rhus coriaria
Aglaia coriacea
Nothospondias staudtii
Agelanthus microphyllus
Saurauia malayana
Polypogon viridis
Ixora ooumuensis
Zanthoxylum holtzianum
Anopyxis klaineana
Dypsis ankaizinensis
Kotschya recurvifolia
Begonia consobrina
Swietenia humilis
Sempervivum charadzeae
Passiflora hirtiflora
Stenogyne kealiae
Colpodium hedbergii
Carex lapazensis
Rumex tunetanus
Dubautia herbstobatae
Callitris columellaris
Carex ownbeyi
Bulbophyllum zaratananae
Erica scoparia
Helianthus annuus
Myristica rumphii
Tetrataxis salicifolia
Loesenera talbotii
Burretiokentia dumasii
Mammea malayana
Melocactus azureus
Tillandsia rubroviolacea
Mammillaria magnifica
Elaeocarpus submonoceras
Terminalia januariensis
Grewia bilocularis
Dalea jamesonii
Paphiopedilum victoria-regina
Citharexylum quereifolium
Eremospatha hookeri
Pentaspadon motleyi
Crassula tillaea
Navia scopulorum
Maerua scandens
Asplenium fissum
Quercus engelmannii
Ulmus gaussenii
Loeseneriella camerunica
Tabernaemontana cordata
Cephalomappa sinensis
Antidesma pyrifolium
Aspalathus psoraleoides
Cynorkis stolonifera
Sorbus domugledica
Crypsis minuartioides
Agrostistachys hookeri
Sericanthe odoratissima
Phalaris maderensis
Hopea reticulata
Brachyotum benthamianum
Carex tessellata
Eugenia lamprophylla
Polyscias racemosa
Sarcomelicope glauca
Bomarea lanata
Cyrtandra viridiflora
Encephalartos lebomboensis
Forsskaolea procridifolia
Vriesea wuelfinghoffii
Discocactus bahiensis
Lepidaploa violiceps
Nectandra fragrans
Paphiopedilum victoria-mariae
Sclerocactus brevihamatus
Echinopsis clavata
Clerodendrum denticulatum
Oncella schliebeniana
Ilex illustris
Mangifera dewildei
Bidens cosmoides
Schiedea nuttallii
Aphanactis antisanensis
Corallorhiza bentleyi
Melocactus violaceus
Bretschneidera sinensis
Eugenia hypoleuca
Labordia helleri
Bidens mannii
Myristica fusiformis
Leucoperichaetium eremophilum
Saccharum spontaneum
Shorea lamellata
Amorphophallus kienluongensis
Besleria strigillosa
Cupressus abramsiana
Solanum incompletum
Asteropeia labatii
Neobalanocarpus heimii
Berberis simonsii
Shorea bakoensis
Trichocladus goetzei
Aquilegia kitaibelii
Cariniana integrifolia
Drypetes preussii
Ocotea monteverdensis
Desmos yunnanensis
Asparagus oligoclonos
Kupea martinetugei
Streptocarpus hirticapsa
Neolitsea daibuensis
Shorea alutacea
Lathyrus odoratus
Quercus stellata
Shorea selanica
Cereus saddianus
Cycas balansae
Pitcairnia clarkii
Ternstroemia howardiana
Piper brachystylum
Magnolia grandiflora
Encephalartos trispinosus
Myristica sarcantha
Umbellularia fresnensis
Bulbophyllum kainochiloides
Cola cecidiifolia
Juncus punctorius
Carex laeviconica
Anginon pumilum
Salix ionica
Terua vallicola
Ilex wenchowensis
Crateranthus talbotii
Dillenia luzoniensis
Galium rhodopeum
Dicliptera pilosa
Polylepis neglecta
Clibadium napoense
Sorbus tobani
Corryocactus apiciflorus
Ostrya knowltonii
Pitcairnia cosangaensis
Passiflora anfracta
Medicago rigidula
Zenkerella egregia
Melicope indica
Paphiopedilum armeniacum
Butia purpurascens
Premna protrusa
Cordia protracta
Allanblackia gabonensis
Astragalus sprucei
Corryocactus squarrosus
Cochlearia polonica
Niphogeton sprucei
Polyscias waimeae
Calyptranthes pozasiana
Aporrhiza multijuga
Marcetella maderensis
Talisia setigera
Drimys confertifolia
Asplenium bifrons
Habenaria thomana
Decazyx esparzae
Duguetia tobagensis
Horsfieldia robusta
Passiflora harlingii
Pyracantha koidzumii
Saurauia schultzeorum
Sideroxylon durifolium
Alyssum akamasicum
Podocarpus salomoniensis
Pandanus kajui
Crotalaria macrantha
Psychotria clusioides
Eleocharis intermedia
Dicymbe froesii
Hypseochloa cameroonensis
Trichoscypha mannii
Phragmotheca rubriflora
Narcissus jonquilla
Polyscias gymnocarpa
Pilea riopalenquensis
Juniperus rigida
Apium inundatum
Calycorectes australis
Actinostrobus acuminatus
Aechmea tayoensis
Columnea schimpffii
Atkinsia cubensis
Euphorbia mangorensis
Blepharis spiculifolia
Petrocosmea bicolor
Solanum albornozii
Cereus pierre-braunianus
Eugenia pseudoclaviflora
Dioscorea madecassa
Carex bullata
Gonolobus saraguranus
Lophophora fricii
Passiflora brachyantha
Justicia pinensis
Opuntia chlorotica
Oxalis simplex
Pinus parviflora
Platysepalum scaberulum
Torreya taxifolia
Nepenthes suratensis
Cobaea campanulata
Encephalartos woodii
Nonea daghestanica
Alectryon auwahiensis
Deinbollia molliuscula
Pittosporum oubatchense
Eugenia crenata
Elaphoglossum antisanae
Tropaeolum papillosum
Eleocharis uniglumis
Mangifera collina
Aloe peckii
Cariniana pachyantha
Hypolytrum unispicatum
Melanthera kamolensis
Thelethylax isalensis
Vatica bantamensis
Zostera pacifica
Cyanea fauriei
Elaeocarpus homalioides
Nectandra cordata
Hemipilia amesiana
Palaquium rubiginosum
Dipterocarpus fusiformis
Zanthoxylum albuquerquei
Dendropanax filipes
Lotononis rigida
Rotala malabarica
Betula ermanii
Cycas hainanensis
Epipactis placentina
Stachys oligantha
Mezilaurus navalium
Dioscorea tsaratananensis
Uncinia lacustris
Pritchardia limahuliensis
Cuviera talbotii
Humboldtia bourdillonii
Miconia pilaloensis
Pisonia graciliscens
Solanum humblotii
Agathis lanceolata
Acalypha dictyoneura
Juniperus gracilior
Cyathocline purpurea
Fokienia hodginsii
Xyris diaphanobracteata
Corydalis filistipes
Primula palinuri
Beilschmiedia vermoesenii
Vandiemenia ratkowskiana
Neuburgia tubiflora
Ulmus wallichiana
Lupinus rivularis
Sonneratia griffithii
Helicia grandifolia
Dypsis dracaenoides
Asplenium burundense
Acalypha lepinei
Asplundia clementinae
Diplotaxis vicentina
Alnus serrulata
Festuca pontica
Horsfieldia paucinervis
Larix lyallii
Freziera subintegrifolia
Dypsis tanalensis
Philodendron gualeanum
Nectandra embirensis
Dypsis soanieranae
Annona manabiensis
Ledermanniella tenuifolia
Solanum dolichorhachis
Dypsis ambositrae
Carex stylosa
Palaquium regina-montium
Malus chitralensis
Mimosa andina
Mangifera minutifolia
Antidesma obliquinervium
Juniperus monticola
Anthurium punctatum
Zanthoxylum harrisii
Myosotis azorica
Scleria poklei
Pinus leiophylla
Cercis griffithii
Goodyera flaccida
Opuntia littoralis
Encephalartos humilis
Nasa amaluzensis
Camellia tonkinensis
Malus toringo
Viburnum maculatum
Endocomia virella
Tibouchina campii
Ixora batesii
Schizolaena exinvolucrata
Anthurium pirottae
Silene fernandezii
Stenochlaena hainanensis
Callitris sulcata
Dipterocarpus coriaceus
Ardisia websterii
Tephrosia barbatala
Anthurium nicolasianum
Syzygium discophorum
Justicia flaviflora
Cytisus ratisbonensis
Asparagus filicinus
Eragrostis episcopulus
Gnaphalium sodiroi
Samolus valerandi
Isoetes azorica
Acer binzayedii
Freziera euryoides
Dipterocarpus acutangulus
Hernandia lychnifera
Emilia subscaposa
Byblis gigantea
Anthurium albispatha
Lecythis schwackei
Melochia parhamii
Ceratozamia fuscoviridis
Gagnebina commersoniana
Licuala dasyantha
Miconia centrosperma
Miconia oligantha
Zostera chilensis
Gardenia vitiensis
Knema mixta
Physalis aggregata
Stemonoporus oblongifolius
Nectandra sordida
Tephrosia pondoensis
Platanthera longiglandula
Dacrydium lycopodioides
Pouteria austin-smithii
Echinopsis vasquezii
Angraecum aloifolium
Oryza rufipogon
Oxyanthus sp.
Impatiens obesa
Astragalus coelestis
Diplostephium macrocephalum
Shorea geniculata
Hopea acuminata
Lythrum flexuosum
Litsea nigrescens
Mellera insignis
Myristica beddomei
Cryptocarya anamallayana
Mammillaria halei
Alocasia lecomtei
Hippuris tetraphylla
Matucana pujupatii
Curcuma australasica
Pistacia cucphuongensis
Jasminum azoricum
Apinagia boliviana
Taxus chinensis
Pilosocereus quadricentralis
Myriogramme kylinii
Physoceras boryanum
Citharexylum grandiflorum
Cola bracteata
Pouteria glauca
Puccinellia ciliata
Persea americana
Bupleurum wittmannii
Cyrtandra polyantha
Lactuca tetrantha
Joosia longisepala
Typha minima
Clermontia calophylla
Cuviera migeodii
Siparuna piloso-lepidota
Geissois serrata
Alsinidendron lychnoides
Celtis australis
Shorea albida
Aglaia rivularis
Bruguiera hainesii
Ceratophyllum submersum
Ammannia senegalensis
Echinochloa colona
Paradrymonia lacera
Anisophyllea ferruginea
Juncus sorrentinii
Fallopia koreana
Gentiana kurroo
Lythrum thymifolia
Quararibea platyphylla
Shorea glauca
Hydrobryum kaengsophense
Psychotria waasii
Mnesithea annua
Dissotis alata
Cyperus afrodunensis
Chlamydocardia subrhomboidea
Duguetia barteri
Wimmeria acuminata
Paphiopedilum liemianum
Monanthotaxis faulknerae
Nepenthes attenboroughii
Diospyros alboflavescens
Byrsonima riparia
Echinolaena ecuadoriana
Kunkeliella subsucculenta
Magnolia hongheensis
Diospyros macrocarpa
Sorbus latifolia
Tozzia carpathica
Allium basalticum
Rhytachne glabra
Cleistocactus sulcifer
Brugmansia suaveolens
Dypsis scandens
Ischaemum heterotrichum
Nectandra cufodontisii
Lycium armatum
Cyanea pinnatifida
Memecylon macrocarpum
Teline salsoloides
Kurzia sinensis
Oxalis natans
Gentianella fastigiata
Scleria afroreflexa
Aponogeton crispus
Corryocactus serpens
Romulea multisulcata
Polylepis microphylla
Freziera obovata
Lagerstroemia minuticarpa
Hieracium coloratum
Cypripedium cordigerum
Ephedra rupestris
Melanophylla crenata
Cephalotaxus oliveri
Centaurium somedanum
Cyanea dunbariae
Indigofera rothii
Lemna trisulca
Chrysophyllum inornatum
Grisollea thomassetii
Meryta salicifolia
Rondeletia subsessilifolia
Isatis littoralis
Dipterocarpus crinitus
Hopea subalata
Tsuga sieboldii
Tropaeolum leonis
Polyspora scortechinii
Salvia maximowicziana
Homalium gracilipes
Medicago papillosa
Myristica sogeriensis
Oligostachyum shiuyingianum
Bulbophyllum concatenatum
Persea nudigemma
Podocarpus costaricensis
Cola mossambicensis
Garcinia hermonii
Sorbus sudetica
Phyllocladus toatoa
Verschaffeltia splendida
Euphorbia kuwaleana
Hydnocarpus kurzii
Hederopsis major
Asystasia lorata
Psilanthele eggersii
Trichilia areolata
Otholobium holosericeum
Meryta drakeana
Amanoa bracteosa
Arbutus pavarii
Abies umbellata
Laserpitium longiradium
Euphorbia squarrosa
Oncocalamus wrightianus
Bolboschoenus glaucus
Iris hellenica
Utricularia vulgaris
Aechmea patriciae
Dracaena afromontana
Pappobolus sanchezii
Abarema curvicarpa
Myrsine degeneri
Socotrella dolichocnema
Capsicum annuum
Mammillaria theresae
Nasa modesta
Apterosperma oblata
Didymosalpinx callianthus
Euphorbia rugosiflora
Ledermanniella prasina
Laplacea haematoxylon
Aloinopsis acuta
Cordia mukuensis
Crepis granatensis
Leucomeris decora
Orchis sitiaca
Primula boveana
Bucquetia nigritella
Echinopsis terscheckii
Euphorbia rauhii
Eleusine intermedia
Euphorbia tetraptera
Sabicea xanthotricha
Engelhardtia kinabaluensis
Picea mariana
Astragalus kubensis
Carex acuta
Mimulopsis macrantha
Gasteranthus otongensis
Isoplexis sceptrum
Pinus herrerae
Ravenea glauca
Pouteria fossicola
Kadua st-johnii
Hydrotriche galiifolia
Polycarpaea kuriensis
Diospyros attenuata
Markea spruceana
Symplocos globosa
Mangifera taipa
Aegiphila monticola
Napeanthus ecuadorensis
Erodium paularense
Anthurium fraseri
Nepenthes chaniana
Malus dasyphylla
Podospermum idae
Dianthus bicolor
Callothlaspi abchasicum
Dryopteris crispifolia
Isachne bicolor
Calophyllum bracteatum
Quercus havardii
Guzmania teuscheri
Puccinellia pungens
Dipterocarpus caudatus
Chionanthus caudifolius
Dicranopygium coma-pyrrhae
Ficus muelleriana
Sarcaulus oblatus
Falcatifolium sleumeri
Carex fissirostris
Hymenostegia talbotii
Gnetum montanum
Dypsis procera
Guarea pyriformis
Vitex ajugaeflora
Osmoxylon whitmorei
Albuca yerburyi
Eugenia pallidula
Mozartia emarginata
Sorbus lancifolia
Tragopogon makaschwilii
Lithothamnion pocillum
Aphelandra guayasii
Habenaria yuana
Lysimachia iniki
Juniperus chengii
Magnolia forrestii
Cynorkis pseudorolfei
Dryobalanops lanceolata
Dracaena draco
Exocarpos gaudichaudii
Terminalia nitens
Drosera katangensis
Guzmania bergii
Hylocereus tricae
Browningia altissima
Phalaenopsis hainanensis
Warneckea amaniensis
Diospyros amaniensis
Aloe bella
Ecclinusa parviflora
Euphorbia splendens
Cleyera bolleana
Gnetum oblongum
Gaultheria nubigena
Crotalaria limosa
Euphorbia hislopii
Hopea thorelii
Litsea beddomei
Nothaphoebe condensa
Crotalaria coursii
Pandanus platyphyllus
Pericallis malvifolia
Pouteria kaalaensis
Asplundia lutea
Iochroma longipes
Luzula mannii
Phyla nodiflora
Clidemia imparilis
Matelea jaramilloi
Glycosmis perakensis
Dendrobium huoshanense
Abies bracteata
Malacocarpus crithmifolius
Geum peckii
Cyrtandra cyaneoides
Metalepis haughtii
Kopsia scortechinii
Platysepalum inopinatum
Flabellidium spinosum
Iris bicapitata
Aechmea kentii
Aloe benishangulana
Brassaiopsis minor
Camellia crapnelliana
Humularia meyeri-johannis
Eremospatha haullevilleana
Paraboea rabilii
Dypsis aquatilis
Tambourissa cocottensis
Balfourodendron riedelianum
Oryza coarctata
Cynanchum leucophellum
Anthurium barbacoasense
Polystachya stauroglossa
Trichoscypha cavalliensis
Betula chichibuensis
Micromeria madagascariensis
Acidocroton gentryi
Topobea maguirei
Cupaniopsis subfalcata
Cycas brunnea
Myristica flavovirens
Alangium havilandii
Nesogordonia bernieri
Symplocos glabrifolia
Arum hygrophilum
Saintpaulia ulugurensis
Scolosanthus roulstonii
Benthamia nivea
Burmeistera formosa
Pedicularis amplicollis
Tristania decorticata
Eugenia rivulorum
Stelechantha arcuata
Polyscias gracilis
Lobelia oahuensis
Knema rufa
Anthurium nigropunctatum
Rorippa microphylla
Solanum granulosum-leprosum
Macaranga congestiflora
Camellia paucipunctata
Hydrostachys angustisecta
Magnolia ofeliae
Cyanea calycina
Vernonia nonoensis
Santalum pilosulum
Athrotaxis selaginoides
Echinopsis pachanoi
Diospyros occulta
Pereskiopsis rotundifolia
Elaphoglossum gracilipes
Daphnopsis zamorensis
Cupaniopsis crassivalvis
Miconia thaminantha
Blakea harlingii
Primula scandinavica
Wissadula diffusa
Cariniana uaupensis
Clibadium pastazense
Berula erecta
Syzygium densiflorum
Allium notabile
Euphorbia capmanambatoensis
Guatteria ramiflora
Hydnocarpus filipes
Larnax steyermarkii
Asplenium hybridum
Aglaia gracilis
Stenocactus vaupelianus
Aniba intermedia
Euphorbia geroldii
Pouteria subsessilifolia
Afrothismia pachyantha
Impatiens etindensis
Matisia jefensis
Oblivia ceronii
Alnus oblongifolia
Bersama rosea
Cycas aculeata
Isoetes tenuissima
Juniperus comitana
Elaeocarpus venustus
Amomum petaloideum
Gorgonidium intermedium
Pennantia baylisiana
Tetradoxa omeiensis
Vigna keraudrenii
Cynorkis perrieri
Dypsis furcata
Viola paradoxa
Hibbertia altigena
Begonia eiromischa
Pyrus hakkiarica
Miconia bolivarensis
Thelypteris dodsonii
Pithecellobium savannarum
Marcgravia elegans
Cassipourea obovata
Heracleum mantegazzianum
Pinus elliottii
Capsicum lanceolatum
Picea farreri
Zamia oreillyi
Turbinicarpus mandragora
Vitex kuylenii
Psychotria domatiata
Potamogeton trichoides
Neurolepis rigida
Guzmania fuquae
Ulex europaeus
Bulbophyllum leopardinum
Forestiera hondurensis
Blyxa quadricostata
Pittosporum patulum
Stereospermum zenkeri
Petrocoptis pseudoviscosa
Dactylorhiza euxina
Symplocos badia
Acer macrophyllum
Brodiaea pallida
Daphnopsis occulta
Pimenta filipes
Mammillaria ekmanii
Goniothalamus holttumii
Kopsia singaporensis
Asplenium anceps
Laportea urentissima
Pritchardia elliptica
Baissea ochrantha
Eulychnia iquiquensis
Miconia beneolens
Pilosocereus splendidus
Dicranolepis polygaloides
Hydrobryum minutale
Gagea chrysantha
Araucaria angustifolia
Barbarea sicula
Dioscorea wallichii
Alternanthera sessilis
Ageratina cuencana
Psydrax bridsoniana
Coprosma esulcata
Cassipourea flanaganii
Melicope fatuhivensis
Dioon purpusii
Tabernaemontana ovalifolia
Malpighia harrisii
Eleocharis swamyi
Aglaia brownii
Uncinia ecuadorensis
Magnolia tamaulipana
Ephedra viridis
Stenocactus ochoterenanus
Phyllostachys guizhouensis
Magnolia vargasiana
Juniperus recurva
Semecarpus parvifolia
Stuckenia vaginata
Euphorbia lorifolia
Warneckea melindensis
Calvoa calliantha
Miconia hirsutivena
Eugenia mackeeana
Phaedranassa schizantha
Sclerocactus spinosior
Aponogeton angustifolius
Ficus angladei
Indigofera pseudoparvula
Vitex evoluta
Hypolytrum subcompositus
Aloe megalacantha
Xylopia pierrei
Diospyros decaryana
Perssoniella vitreocincta
Cynanchum serpyllifolium
Dypsis pulchella
Taxus brevifolia
Piper achupallasense
Syringa josikaea
Asplenium daghestanicum
Cassipourea korupensis
Elaeocarpus moratii
Angraecum atlanticum
Agrostis mannii
Simirestis klaineana
Nepenthes eymae
Allophylus zimmermannianus
Dioscorea fandra
Spachea correae
Syzygium fijiense
Lithophyllum complexum
Magnolia vovidesii
Genista tetragona
Conchidium pusillum
Pimenta racemosa
Asyneuma giganteum
Galanthus ikariae
Ardisia dukei
Monnina obovata
Warburgia salutaris
Dypsis basilonga
Betula psammophila
Dypsis canaliculata
Monanthotaxis trichantha
Brasiliopuntia brasiliensis
Pritchardia kaalae
Cynorkis rolfei
Neuburgia collina
Pilea serratifolia
Monopyle ecuadorensis
Carex echinata
Saxegothaea conspicua
Ximenia roigii
Warneckea parvifolia
Melocactus glaucescens
Mouriri laxiflora
Pilosocereus multicostatus
Magnolia pedrazae
Ruellia dielsii
Adenia globosa
Aloe classenii
Solanum imbaburense
Stenogyne kanehoana
Calamus deerratus
Dysoxylum turczaninowii
Magnolia virginiana
Psittacanthus barlowii
Nectandra baccans
Pinus engelmannii
Salvia humboltiana
Crotalaria rotundifolia
Cuscuta prismatica
Searsia glutinosa
Shorea roxburghii
Apollonias barbujana
Boswellia ovalifoliolata
Burmeistera brachyandra
Amphitecna molinae
Asparagus fallax
Dipcadi kuriensis
Achyropsis filifolia
Brachyotum trichocalyx
Tsuga mertensiana
Juniperus tsukusiensis
Guioa asquamosa
Goniostemma punctatum
Veratrum mengtzeanum
Hydrostachys trifaria
Cyathocoma bachmannii
Hexalobus mossambicensis
Lasiochlamys mandjeliana
Miconia zamorensis
Phyllostegia knudsenii
Lophophora diffusa
Calophyllum persimile
Helianthemum alypoides
Abarema filamentosa
