hscode_6,keywords,sc_names
440799,carya spp;chip;jointed;baltic;hickory;mm;chinese birch;betula pubescen;walnut;betula spp;red alder;betula lenta;carya pecan;birch;liriodendron tulipifera;juglans spp;north american;sand;betula alleghaniensis;cottonwood;end;betula papyrifera;carya illinoensis;peel;western red;betula nigra;wood sawn;russian;betula pendula;nonconiferous;poplar;plane;thickness;yellow poplar;european;slice;alnus rubra,Carya illinoensis;Carya spp.;Carya pecan;Alnus rubra;Liriodendron tulipifera
440810,end;splice;sawn;sheet;peel;plane;thickness;similar laminated;laminated wood;douglas fir;jointed;mm;plywood;veneer;coniferous;sand;slice,
440831,end;tropical wood;light red;splice;peel;sheet;sawn;plane;thickness;similar laminated;laminated wood;jointed;mm;red meranti;meranti bakau;plywood;veneer;sand;slice;dark red,
440839,end;tropical wood;splice;peel;sheet;sawn;plane;thickness;similar laminated;laminated wood;jointed;mm;plywood;veneer;sand;slice,
440890,sawn;prunus spp;jointed;mm;walnut;betula spp;ash;splice;birch;veneer;juglans spp;cherry;sand;end;oak;peel;sheet;similar laminated;laminated wood;red;quercus spp;maple;plane;thickness;acer spp;plywood;fraxinus spp;slice,Prunus spp.;Acer spp.;Juglans spp.;Betula spp.;Fraxinus spp.
440910,foregoing;wood flooring;pinus spp;joint;jointed;dowel rod;standard wood;resawn bevel;face;shape;parquet flooring;coniferous;round;tongue;sand;end;assemble;advanced;mold;western red;red cedar;wood dowel;condition;wood;edge;pine;plane;wood molding;plain;strip;like;wood;wood molding,Pinus spp.
440921,end;wood;assemble;edge;mold;face;bamboo;foregoing;plane;wood;shape;parquet flooring;nonconiferous;joint;jointed;round;strip;like;tongue;sand,
440922,foregoing;wood flooring;santos;brazilian cherry;tahibo;brazilian teak;joint;jointed;dowel rod;standard wood;mahogany;ipe;face;lapacho;cumaru;patagonian walnut;shape;parquet flooring;round;tongue;tabebuia spp;sand;end;assemble;advanced;mold;tropical wood;cabreuva;match;hymenaea spp;wood dowel;condition;wood;edge;brazilian walnut;myroxylon balsamum;dipteryx spp;plane;nonconiferous;wood molding;jatoba;plain;strip;like;wood;wood molding,Tabebuia spp.;Hymenaea spp.;Dipteryx spp.;Myroxylon balsamum
440929,foregoing;wood flooring;beech;joint;jointed;betula spp;dowel rod;standard wood;face;shape;parquet flooring;birch;round;tongue;sand;end;assemble;advanced;mold;fagus spp;match;wood dowel;condition;maple;wood;edge;plane;nonconiferous;acer spp;wood molding;plain;strip;like;wood;wood molding,Acer spp.;Fagus spp.;Betula spp.
441011,decorative laminate;orient strand;similar board;waferboard;particle board;impregnate paper;organic bind;example;unworked;sand;osb;surface;ligneous material;plastic;melamine;work;bind substance;wood;cover;resin;strand board;particle board,
441012,wood;orient strand;ligneous material;work;organic bind;example;resin;strand board;particle board;unworked;similar board;waferboard;bind substance;sand;osb,
441019,decorative laminate;orient strand;similar board;waferboard;impregnate paper;organic bind;example;unworked;sand;osb;surface;ligneous material;plastic;melamine;work;bind substance;wood;cover;resin;strand board;particle board,
441090,wood;orient strand;ligneous material;organic bind;example;resin;strand board;particle board;similar board;waferboard;bind substance;osb,
441112,oil treatment;fiberboard;organic substance;synthetic resin;mm;standard wood;building;use;surface cover;medium density;density fiberboard;board bond;mdf;dedicate;wall;ceiling;ligneous material;laminated board;bond;wood;edge;resin;thickness;wood molding;construction;tongued,
441113,oil treatment;fiberboard;organic substance;synthetic resin;mm;standard wood;building;use;surface cover;medium density;density fiberboard;board bond;mdf;dedicate;wall;ceiling;ligneous material;laminated board;bond;wood;edge;resin;thickness;wood molding;construction;tongued,
441114,oil treatment;fiberboard;organic substance;synthetic resin;mm;standard wood;building;use;surface cover;medium density;density fiberboard;board bond;mdf;dedicate;wall;ceiling;ligneous material;laminated board;bond;wood;edge;resin;thickness;wood molding;construction;tongued,
441192,oil treatment;wood;edge;ligneous material;fiberboard;cm3;surface cover;organic substance;ceiling;use;resin;density;tileboard;bond;construction;work;dedicate;wall;building,
441193,oil treatment;fiberboard;organic substance;synthetic resin;standard wood;building;use;surface cover;density;board bond;dedicate;wall;ceiling;ligneous material;cm3;laminated board;bond;wood;edge;resin;wood molding;construction;tongued,
441194,wood;ligneous material;fiberboard;surface cover;organic substance;bituman;resin;density;m3;bond;density exceed,
441210,bamboo;similar laminated;laminated wood;plywood;veneer panel;plywood,
441231,transparent material;grain;de rio;wood flooring;birch;mm;sapelli;red meranti;betula spp;limba;dark red;mahogany;bamboo;sen;light red;texture;ply;surface cover;virola;veneer panel;sipo;juglans spp;swietenia spp;palissandre de;okoumã ©;kalopanax spp;spanish cedar;white lauan;outer ply;tropical wood;face ply;sheet;similar laminated;laminated wood;walnut;panel;cedrela spp;acajou d'afrique;marking;wood;dimension;mahogany;thickness;width;length;obeche;khaya spp;plywood;plywood;de para;clear;follow tropical;de rose,Swietenia spp.;Cedrela spp.;Juglans spp.;Khaya spp.;Kalopanax spp.;Betula spp.
441232,transparent material;grain;wood flooring;birch;mm;betula spp;mahogany;bamboo;sen;texture;ply;surface cover;veneer panel;juglans spp;kalopanax spp;swietenia spp;spanish cedar;outer ply;face ply;sheet;similar laminated;laminated wood;walnut;panel;cedrela spp;marking;wood;dimension;di mension;nonconiferous wood;thickness;width;length;khaya spp;plywood;plywood;clear,Swietenia spp.;Cedrela spp.;Juglans spp.;Khaya spp.;Kalopanax spp.;Betula spp.
441239,transparent material;grain;douglas fir;rough;pitch pine;southern yellow;pinus echinata;pinus taeda;pseudotsuga menziesii;mm;parana pine;bamboo;red pine;face;texture;ply;surface cover;process;long leaf;short leaf;yellow pine;pinus silvestris;veneer panel;taeda;sand;european red;outer ply;face ply;sheet;similar laminated;laminated wood;size purpose;leaf pine;marking;wood;araucaria angustifolia;pinus palustris;thickness;virginia pine;plywood;coniferous wood;plywood;agathis spp;pinus virginiana;clear,Araucaria angustifolia;Pinus palustris;Pinus echinata;Pinus virginiana;Pseudotsuga menziesii;Pinus silvestris;Pinus elliotti;Pinus taeda;Pinus rigida
441294,transparent material;grain;battenboard;wood flooring;birch;betula spp;parana pine;mahogany;red pine;texture;surface cover;pinus silvestris;blockboard;veneer panel;juglans spp;swietenia spp;spanish cedar;european red;outer ply;face ply;similar laminated;laminated wood;walnut;cedrela spp;marking;araucaria angustifolia;nonconiferous wood;laminboard;khaya spp;plywood;clear,Swietenia spp.;Cedrela spp.;Araucaria angustifolia;Juglans spp.;Pinus silvestris;Khaya spp.;Betula spp.
441299,transparent material;grain;wood flooring;birch;mm;betula spp;parana pine;mahogany;sen;red pine;texture;surface cover;pinus silvestris;veneer panel;juglans spp;kalopanax spp;swietenia spp;spanish cedar;european red;outer ply;face ply;similar laminated;laminated wood;walnut;panel;cedrela spp;marking;dimension;araucaria angustifolia;nonconiferous wood;thickness;width;length;khaya spp;plywood;layer;clear;particle board,Swietenia spp.;Cedrela spp.;Araucaria angustifolia;Juglans spp.;Pinus silvestris;Khaya spp.;Kalopanax spp.;Betula spp.
441300,plate;densifie wood;strip;profile shape;block,
441400,wooden frame;photograph;mirror;similar object;painting,
441510,drum;wood;case;solid;container design;harvesting;use;pack box;crate;fruit;lid;pack case;vegetable;similar packing;cable;pallet collar;box;load board,
441520,drum;wood;container design;harvesting;use;crate;fruit;pack case;vegetable;pallets;similar packing;cable;pallet collar;box;load board,
441600,wood;staves;product;assembled;unassemble;tight barrelhead;casks;stave;hogshead;barrel;tub;vat;new;cooper;new;hoop;hoops;cask;softwood,
441700,broom;wood;tool body;broom;brush body;length;boot;tools;diameter;paint brush;roller handle;brush;mop;paint roller;tool;tree;shoe;cm,
441810,floor panel;wood panel;builder;carpentry;french;window;frame;windows;joinery;cellular wood;shingle,
441820,floor panel;wood panel;builder;flush door;carpentry;doors;threshold;french door;frame;joinery;cellular wood;shingle,
441840,floor panel;wood panel;builder;carpentry;constructional work;concrete constructional;joinery;cellular wood;shuttering;formwork;shingle,
441850,floor panel;wood panel;western red;builder;carpentry;red cedar;shingles;joinery;cellular wood;shingle,
441860,floor panel;wood panel;builder;carpentry;posts;beam;joinery;cellular wood;shingle,
441873,floor panel;wood panel;bamboo;joinery;solid;face;multilayer;builder;thickness;carpentry;flooring panel;unidirectional bamboo;mm;layer;assemble flooring;cellular wood;mosaic floor;shingle,
441874,floor panel;wood panel;joinery;solid;face;builder;thickness;carpentry;flooring panel;mm;assemble flooring;cellular wood;mosaic floor;shingle,
441875,floor panel;wood panel;joinery;multilayer;face;builder;thickness;carpentry;flooring panel;mm;assemble flooring;cellular wood;shingle,
441879,floor panel;wood panel;joinery;builder;carpentry;flooring panel;assemble flooring;cellular wood;shingle,
441891,wood flooring;structural wood;partition;lumber stud;building;floor panel;wood panel;bamboo;wood member;builder;drill;shingle;roof truss;notch lumber;panel;joinery;carpentry;laminate;cellular wood;fabricated structural;arches,
441899,floor panel;wood panel;lumber stud;wood flooring;roof truss;panel;wood member;builder;carpentry;building;notch lumber;structural wood;partition;laminate;drill;joinery;cellular wood;fabricated structural;shingle;arches,
441911,wood;bamboo;chop board;tableware;bread board;similar board;kitchenware,
441912,wood;bamboo;tableware;chopsticks;kitchenware,
441919,wood;bamboo;forks;tableware;kitchenware;spoon,
441990,wood;forks;tableware;kitchenware;spoon,
442010,casket;cutlery;case;chapter;similar article;ornament;wood;wooden article;inlaid wood;jewelry;statuette;statuettes;wood marquetry;furniture,
442090,foregoing;chapter;ornament;utensil case;wooden article;microscope case;statuette;tool;wood marquetry;cigar;line;cigarette box;similar article;casket;case;similar box;inlaid wood;cigar;furniture;cutlery;wood;jewelry box;chest;jewelry;textile fabric,
442110,clothe hanger;wood;article,
442191,burial casket;rail;dowel pin;foregoing;wooden frame;theatrical;sawn;louver board;shutter;skewer;tongue depressor;glue lumber;fix louver;property;fence section;wood blind;bamboo;operatic scenery;pickets;small ware;sand;ice cream;screen;pencil slat;advanced;shade;pet;cream stick;toothpicks;slat;canoe paddle;condition;wood dowel;hardware;value;wood;post;edge;gates;article;confine child;spring;plain;ballet;center;candy stick;similar small;mixer;type;clothespins,
442199,burial casket;rail;dowel pin;foregoing;wooden frame;theatrical;sawn;louver board;shutter;skewer;tongue depressor;glue lumber;fix louver;property;fence section;wood blind;operatic scenery;pickets;coniferous;small ware;sand;ice cream;screen;pencil slat;advanced;shade;pet;cream stick;toothpicks;slat;canoe paddle;condition;wood dowel;hardware;value;wood;post;edge;gates;article;confine child;spring;plain;ballet;center;candy stick;similar small;mixer;type;clothespins,
920110,upright piano;player piano;pianos;instrument;keyboard;case measure;height;harpsichord;cm,
920120,player piano;pianos;grand piano;length;instrument;keyboard;case measure;harpsichord;cm,
920190,player piano;pianos;instrument;keyboard;harpsichord,
920210,example;harp;guitar;bow;musical instrument;stre musical;violin,
920290,case;example;harp;guitar;musical instrument;stre musical;guitars;violin;value,
920510,pipe organ;fairground organ;wind musical;mechanical street;example;wind instrument;clarinet;accordion;brass;trumpet;musical instrument;street organ;bagpipe;value,
920590,harmonium;accordions;accordion;keyboard pipe;trumpet;street organ;woodwind instrument;bamboo;fairground organ;mouth organ;piccolo;keyboard instrument;example;clarinet;flutes;saxophone;similar keyboard;bagpipes;mechanical street;musical instrument;similar instrument;pipe organ;metal reed;wind musical;piano accordion;free metal;bagpipe;mouth organ,
920600,drum;maracas;peal;example;castanet;drums;percussion musical;xylophone;chime;tune bell;carillon;musical instrument;cymbal,
920710,hold;produce;hand;example;music synthesizer;accordion;sound;keyboard;musical instrument;organ;keyboard instrument;value,
920790,produce;fretted string;example;accordion;sound;musical instrument;organ;string instrument,
920810,singing bird;blow sound;chapter;mechanical singing;mouth;fairground organ;musical saw;mechanical street;whistle;sound signal;heading;horn;musical instrument;signal instrument;kind;street organ;decoy;music box,
920890,singing bird;blow sound;chapter;mechanical singing;mouth;fairground organ;musical saw;mechanical street;whistle;sound signal;heading;horn;musical instrument;signal instrument;kind;street organ;decoy;music box,
920930,metronome;mechanical instrument;tune fork;example;discs;instrument string;card;musical instrument;mechanism;pitch pipe;kind;music box;accessory,
920991,metronome;tune pin;mechanical instrument;tune fork;example;discs;card;musical instrument;mechanism;pitch pipe;piano;kind;parts;music box;accessory,
920992,head;discs;collapsible musical;instrument stand;chin rest;example;bow;pitch pipe;music box;bows;musical instrument;tune pin;kind;hair;parts;accessory;metronome;mechanical instrument;tune fork;attachment;card;mutes;instrument play;mechanism;music holder,
920994,metronome;head;mechanical instrument;tune fork;example;discs;collapsible musical;card;instrument stand;musical instrument;mechanism;pitch pipe;kind;parts;music box;accessory,
920999,discs;pedal;damper;brass wind;cymbal;lyre;subheade;example;spur;pitch pipe;music box;drum;mute;instrument;musical instrument;kind;accessory;metronome;pipe organ;hold music;mechanical instrument;collapsible stand;tune fork;wind musical;attachment;card;metronomes;woodwind;mechanism;woodwind musical;music holder;bagpipe,
930110,gun;head;example;arm;artillery weapon;revolver;military weapon;howitzer;mortar;self propel,
930120,head;flame;arm;similar projector;revolver;military weapon;grenade launcher;torpedo tube;thrower;rocket launcher,
930190,telescopic sight;rifle;head;rifles;shotgun;machine gun;arm;revolver;military weapon;sight import,
930200,pistol;head;semiautomatic pistol;revolvers,
930310,rifle;similar device;explosive charge;fire blank;example;humane killer;bolt humane;throw gun;muzzle;pistol;revolver;sport shot;blank ammunition;device design;line;signal flare;shot gun;captive;load firearm;firing,
930320,rifle;bolt humane;revolver;line;action;shoot shotgun;shot gun;captive;fire blank;shotguns;example;humane killer;throw gun;signal flare;blank ammunition;similar device;sporting;hunting;muzzle;sport shot;device design;load firearm;firing;target;explosive charge;pistol;combination shotgun,
930330,telescopic sight;rifle;centerfire;bolt humane;revolver;line;shot gun;captive;single shot;rifles;fire blank;example;humane killer;throw gun;sight import;signal flare;blank ammunition;similar device;sporting;bolt action;hunting;muzzle;sport shot;shoot rifle;device design;load firearm;firing;value;target;centerfire;explosive charge;pistol,
930390,rifle;pistols;bolt humane;revolver;line;shot gun;captive;fire blank;example;humane killer;throw gun;fire;signal flare;blank ammunition;similar device;muzzle;sport shot;device design;load firearm;firing;blank cartridge;explosive charge;pistol;revolver design,
930400,air;gun;head;rifle;release;pistols;truncheon;example;rubber;spring;arm;compress air;pistol;missile;gas;spring mechanism;tension;gas gun,
930510,blank cartridge;article;pistol design;fire;muzzle;pistol;receiver;revolver;frames;load revolver;blank ammunition;parts;accessory,
930520,rifle stock;rifle;head;shotgun;article;rifle combination;stock;shotgun barrel;muzzle;load shotgun;parts;accessory,
930591,rifle;head;article;artillery weapon;military weapon;parts;accessory,
930599,head;paintball marker;subheade;article;parts;accessory,
930621,gun pellet;bombs;cartridgewad;projectile;torpedo;cartridge;shotgun cartridge;air gun;missile;grenade;war;ammunition;similar munition,
930629,gun pellet;bombs;cartridgewad;projectile;torpedo;cartridge;shotgun cartridge;air gun;missile;grenade;war;ammunition;similar munition,
930630,rifle;bombs;cartridgewad;projectile;similar tool;torpedo;cartridge;humane killer;bolt humane;cartridges;caliber;missile;grenade;war;rivet;ammunition;similar munition;captive;cartridge shell,
930690,bombs;cartridgewad;projectile;guide missile;torpedo;cartridge;bomb;missile;paintballs;grenade;war;ammunition;similar munition,
930700,cutlass;sheath therefor;scabbard;similar arm;swords;lance;bayonet,
940110,aircraft;kind use;head;bed;seat;leather;convertible,
940120,kind use;head;bed;seat;motor vehicle;convertible,
940130,head;wooden frame;bed;height adjustment;household;swivel seat;variable height;seat;convertible,
940140,head;bed;camping equipment;seat;convertible,
940152,osier;bamboo;head;cane;bed;similar material;seat;convertible,
940153,osier;rattan;bamboo;head;bed;cane;similar material;seat;convertible,
940159,osier;bamboo;head;cane;bed;similar material;seat;convertible,
940161,teak;highchair;head;wooden frame;bed;activity center;household;chairs;chair;stationary activity;child;seat;upholstered;convertible,
940169,teak;highchair;head;wooden frame;bed;activity center;bent;household;chairs;chair;stationary activity;child;seat;wood seat;convertible,
940171,infant walker;head;bed;booster seat;metal frame;highchairs;activity center;household;swing;stationary activity;child;seat;bouncer;upholstered;convertible,
940179,infant walker;head;material;bed;booster seat;metal frame;highchairs;activity center;household;textile cover;stationary activity;outdoor;textile seating;child;seat;cover cushion;bouncer;swing;convertible,
940180,head;reinforce;bed;household;child;convertible;material;child safety;safety seat;shell seat;outdoor;swing;plastic;infant walker;booster seat;bath seat;textile cover;detachable hard;seat;cover cushion;bouncer;activity center;rubber;childrenê¼s highchair;stationary activity;textile seating;motor vehicle;laminated plastic,
940190,head;bed;bent;wood seat;convertible;kind use;bamboo;highchair;shape;rattan;plastic;booster seat;similar seat;leather;seat;parts;osier;wood;cane;textile material;similar material;rubber;motor vehicle,
940210,forego article;hospital bed;dentist;example;examination table;movement;barber;mechanical fitting;dental;dentists;similar chair;veterinary furniture;surgical;rotate;medical;recline,
940290,forego article;hospital bed;dentist;example;examination table;movement;barber;mechanical fitting;dental;similar chair;veterinary furniture;surgical;rotate;medical;recline,
940310,kind use;office;filing cabinet;metal furniture;furniture,
