hscode_6,keywords,sc_names
950612,ski equipment;ski;chapter;wade pool;gymnastic;athletic;general physical;sport;outdoor game;physical exercise;articles;cross;tennis;country;equipment;snow;table;accessory,
950619,ski equipment;chapter;wade pool;gymnastic;athletic;general physical;sport;outdoor game;physical exercise;articles;cross;tennis;country;ski pole;equipment;snow;table;accessory,
950621,chapter;wade pool;gymnastic;table;athletic;general physical;sailboard;sport;outdoor game;water ski;physical exercise;surf board;sailboards;tennis;articles;water sport;equipment;sport equipment;parts;accessory,
950629,chapter;wade pool;gymnastic;table;athletic;general physical;sailboard;sport;outdoor game;water ski;physical exercise;surf board;articles;tennis;surf board;water sport;equipment;sport equipment;accessory,
950631,chapter;wade pool;equipment;gymnastic;athletic;general physical;sport;outdoor game;physical exercise;articles;tennis;golf club;golf equipment;complete;table;accessory,
950632,chapter;wade pool;gymnastic;athletic;general physical;sport;outdoor game;physical exercise;balls;articles;tennis;golf club;golf equipment;equipment;table;accessory,
950639,chapter;wade pool;gymnastic;athletic;general physical;sport;outdoor game;physical exercise;articles;tennis;golf club;golf equipment;equipment;table;accessory,
950640,chapter;wade pool;gymnastic;athletic;general physical;sport;outdoor game;physical exercise;articles;tennis;equipment;table;accessory,
950651,chapter;badminton;wade pool;gymnastic;athletic;general physical;parts;sport;outdoor game;physical exercise;lawn;tennis racket;tennis;articles;tennis;rackets;equipment;table;similar racket;accessory,
950659,chapter;athletic;racket;tennis;similar racket;articles;gymnastic;general physical;racquetball racket;badminton;physical exercise;rackets;tennis;table;accessory;wade pool;sport;outdoor game;equipment;badminton racket;racket frame,
950661,golf ball;chapter;wade pool;tennis ball;gymnastic;athletic;general physical;sport;outdoor game;physical exercise;balls;lawn;tennis;articles;equipment;table;accessory,
950662,chapter;athletic;tennis;soccer ball;articles;basketball;tennis ball;gymnastic;volleyballs;general physical;football;footballs;physical exercise;table;accessory;golf ball;wade pool;sport;outdoor game;balls;inflatable ball;equipment,
950669,hollow ball;chapter;athletic;polo ball;tennis;articles;noninflatable hollow;tennis ball;gymnastic;general physical;diameter;softball;physical exercise;table;cm;accessory;golf ball;wade pool;sport;outdoor game;balls;baseballs;equipment,
950670,chapter;athletic;attach;boot;skate boot;tennis;articles;gymnastic;general physical;skate attach;roller skate;physical exercise;footwear;roller skate;ice skate;table;parts;accessory;wade pool;sport;outdoor game;equipment,
950691,chapter;wade pool;exercise;gymnastic;athletic;general physical;sport;outdoor game;physical exercise;articles;tennis;equipment;table;exercise cycle;machine;accessory,
950699,chapter;athletic;toboggans;field;cotton;racket;tennis;net;articles;kind use;baseball article;tennis article;ice;gymnastic;general physical;snowshoes;pool;lacrosse stick;soccer;skate;hockey article;toboggan;bows;physical exercise;lawn;sleds;international competition;table;football;accessory;arrow;ball;wade pool;badminton article;skeet;arrows;like;luge;sport;outdoor game;equip ment;hockey stick;archery article;equipment;polo article,
950710,similar net;head;butterfly net;land net;fish hook;similar hunting;bird;line fishing;fishing rod;shoot equipment;fishing tackle;parts;decoy;accessory,
950720,similar net;head;butterfly net;land net;fish hook;similar hunting;hook;bird;line fishing;fishing rod;shoot equipment;fishing tackle;decoy;accessory,
950730,similar net;head;reel;butterfly net;land net;fish hook;similar hunting;bird;line fishing;fishing rod;shoot equipment;fishing reel;fishing tackle;value;parts;decoy;accessory,
950790,similar net;fish land;head;butterfly net;land net;retail sale;leader;fish hook;fishing cast;artificial bait;similar hunting;bird;line fishing;fishing rod;shoot equipment;fishing tackle;fishing line;package;decoy;accessory,
950810,travel circuse;merry;accessory;gallery;boat;travel theater;travel menagerie;round;fairground amusement;swing;travel circus,
950890,merry;accessory;gallery;travel theater;boat;travel menagerie;round;fairground amusement;swing;travel circus,
