iucn_status_code,genus,species,common_names
VU,Cupressus,macrocarpa,monterey cypress;monterey cypress
CR,Juniperus,bermudiana,bermuda red cedar;bermuda cedar
CR,Juniperus,bermudiana,bermuda cedar;bermuda cedar
CR,Juniperus,bermudiana,bermuda juniper;bermuda cedar
CR,Juniperus,bermudiana,southern red cedar;bermuda cedar
CR,Phylica,polifolia,st helena rosemary;st helena rosemary
CR,Phylica,polifolia,rosemary;st helena rosemary
CR,Nesohedyotis,arborea,st helena dogwood;st helena dogwood
CR,Nesohedyotis,arborea,dogwood;st helena dogwood
EN,Asimina,tetramera,four-petal pawpaw;four-petal pawpaw
VU,Bidens,hendersonensis,
VU,Dirachma,socotrana,
EN,Euphorbia,wakefieldii,
VU,Ceratonia,oreothauma,tiyu
EN,Clianthus,puniceus,new zealand parrot's-bill;new zealand parrot's-bill
EN,Clianthus,puniceus,lobster claw;new zealand parrot's-bill
EN,Clianthus,puniceus,parrot's-bill;new zealand parrot's-bill
EN,Clianthus,puniceus,kaka-beak;new zealand parrot's-bill
EN,Clianthus,puniceus,kowhai ngutu-kaka;new zealand parrot's-bill
VU,Cordeauxia,edulis,yeheb nut
EN,Gigasiphon,macrosiphon,mnyanza
EN,Gigasiphon,macrosiphon,mnondo
EN,Adansonia,grandidieri,renala
EN,Adansonia,grandidieri,reniala
EN,Adansonia,suarezensis,bozy
VU,Sophora,fernandeziana,
VU,Sophora,masafuerana,
EW,Sophora,toromiro,toromiro;toromiro
EX,Streblorrhiza,speciosa,
VU,Dracaena,draco,dragoeiro;canary island dragon tree
VU,Dracaena,draco,sangre de drago;canary island dragon tree
VU,Dracaena,draco,drago de canarias;canary island dragon tree
VU,Dracaena,draco,canary island dragon tree;canary island dragon tree
VU,Dracaena,draco,dragon tree;canary island dragon tree
EN,Dracaena,ombet,gabal elba dragon tree;gabal elba dragon tree
EN,Dracaena,ombet,omm beit;gabal elba dragon tree
CR,Hibiscadelphus,giffardianus,hau kuahiwi
EX,Hibiscadelphus,wilderianus,
EN,Lebronnecia,kokioides,
NT,Dorstenia,gigas,quartab
VU,Jubaeopsis,caffra,inkomba;pondoland palm
VU,Jubaeopsis,caffra,pondoland palm;pondoland palm
CR,Medemia,argun,argun
VU,Livistona,carinensis,madah;bankoualé palm
VU,Livistona,carinensis,daban;bankoualé palm
VU,Livistona,carinensis,nakilto;bankoualé palm
VU,Livistona,carinensis,somm;bankoualé palm
VU,Livistona,carinensis,;bankoualé palm
VU,Livistona,carinensis,;bankoualé palm
VU,Pittosporum,dallii,dalls pittosporum;dalls pittosporum
VU,Pittosporum,dallii,kohuhu;dalls pittosporum
VU,Punica,protopunica,pomegranate tree;pomegranate tree
EN,Vepris,glandulosa,munderendu-itu
EX,Santalum,fernandezianum,
VU,Camellia,crapnelliana,crapnell's camellia;crapnell's camellia
VU,Camellia,crapnelliana,hongpi caoguo cha;crapnell's camellia
EW,Franklinia,alatamaha,franklin tree;franklin tree
CR,Freziera,forerorum,
VU,Ulmus,wallichiana,brare
VU,Ulmus,wallichiana,marai
VU,Ulmus,wallichiana,imroi
VU,Ulmus,wallichiana,mair
VU,Ulmus,wallichiana,himri
NT,Lannea,transulta,
LC,Rhus,thyrsiflora,
LR/nt,Cordia,obovata,
VU,Boswellia,ameero,
VU,Boswellia,elongata,
VU,Boswellia,socotrana,
NT,Commiphora,planifrons,
NT,Commiphora,socotrana,
VU,Euclea,balfourii,
VU,Euclea,laurina,
LC,Croton,socotranus,
