iucn_status_code,genus,species,common_names
VU,Eugenia,quadrata,
LR/lc,Eugenia,quadribracteata,
VU,Eugenia,rhomboidea,
DD,Eugenia,rostadonis,
CR,Eugenia,scalarinervis,
VU,Eugenia,setosa,
VU,Eugenia,swettenhamiana,
LR/lc,Eugenia,symingtoniana,
LR/cd,Eugenia,tahanensis,
EN,Eugenia,taipingensis,
LR/cd,Eugenia,tecta,
LR/cd,Eugenia,tekuensis,
VU,Eugenia,tiumanensis,
LR/lc,Eugenia,variolosa,
LR/cd,Eugenia,watsoniana,
LR/lc,Eugenia,wrayi,
LR/lc,Pseudoeugenia,perakiana,
VU,Annona,cristalensis,
VU,Annona,ekmanii,
EN,Pseudoeugenia,tenuifolia,
LR/cd,Tristania,razakiana,
LR/cd,Chionanthus,caudifolius,
LR/cd,Chionanthus,lancifolius,
VU,Chionanthus,spiciferus,
CR,Juniperus,saxicola,sabina;sabina
VU,Xylopia,ekmanii,
CR,Hernandia,cubensis,
EN,Ficus,meizonochlamys,
VU,Cinnamomum,capparu-coronde,
VU,Polyspora,hirtella,
VU,Polyspora,maingayi,kadeng
VU,Polyspora,multinervis,
VU,Gordonia,penangensis,
VU,Polyspora,scortechinii,
VU,Polyspora,taipingensis,
EN,Neea,ekmanii,
EN,Pisonia,ekmani,
EN,Lunania,dodecandra,
EN,Lunania,elongata,
CR,Chrysophyllum,claraense,
CR,Carpodiptera,mirabilis,
EN,Carpodiptera,ophiticola,
EX,Cnidoscolus,fragrans,
EN,Cnidoscolus,matosii,
EN,Cnidoscolus,rangel,
CR,Hieronima,crassistipula,
VU,Tapura,orbicularis,
VU,Daphnopsis,calcicola,
CR,Acacia,belairioides,
EN,Acacia,daemon,
CR,Acacia,roigii,
EN,Acacia,zapatensis,
VU,Pithecellobium,savannarum,
EN,Cynometra,cubensis,
VU,Ateleia,salicifolia,
VU,Belairia,parvifolia,
VU,Erythrina,elenae,
VU,Harpalyce,maisiana,
CR,Calyptranthes,arenicola,
CR,Calyptranthes,flavo-viridis,
VU,Calyptranthes,polyneura,
CR,Calyptranthes,pozasiana,
EN,Calyptranthes,rostrata,
EN,Eugenia,aceitillo,
EN,Eugenia,acunai,
CR,Eugenia,acutissima,
EN,Eugenia,bayatensis,
EN,Eugenia,excisa,
VU,Pimenta,cainitoides,
VU,Krokia,pilotoana,
EN,Mozartia,emarginata,
EN,Mozartia,manacalensis,
CR,Myrtus,claraensis,
CR,Plinia,rupestris,
EN,Psidium,havanense,
VU,Henriettea,punctata,
VU,Henriettea,squamata,
VU,Miconia,perelegans,
LR/nt,Pachyanthus,pedicellatus,
VU,Tetrazygia,elegans,
VU,Amyris,polymorpha,
EX,Galipea,ossana,
EN,Helietta,glaucescens,
EN,Trichilia,pungens,ebano amarillo;ebano amarillo
VU,Allophylus,roigii,
EN,Euchorium,cubense,
EW,Erythroxylum,echinodendron,
VU,Bunchosia,linearifolia,
CR,Megalopanax,rex,
VU,Gyminda,orbicularis,
VU,Ximenia,roigii,
EN,Cameraria,microphylla,
CR,Tabernaemontana,apoda,
VU,Psychotria,cathetoneura,
VU,Cordia,valenzuelana,
VU,Catalpa,brevipes,
EN,Synapsis,ilicifolia,
VU,Tabebuia,anafensis,
VU,Tabebuia,bibracteolata,
VU,Tabebuia,furfuracea,
VU,Tabebuia,jackiana,
VU,Tabebuia,oligolepis,
VU,Citharexylum,ternatum,
VU,Clerodendrum,denticulatum,
VU,Vitex,acunae,
VU,Juglans,insularis,
LR/lc,Sarcotheca,glomerula,
LR/cd,Cyathocalyx,scortechinii,
LR/lc,Disepalum,pulchrum,
LR/cd,Enicosanthum,congregatum,
VU,Enicosanthum,cupulare,
VU,Enicosanthum,macranthum,
VU,Enicosanthum,praestigiosum,
VU,Goniothalamus,calycinus,
LR/lc,Goniothalamus,curtisii,
VU,Goniothalamus,holttumii,
VU,Goniothalamus,montanus,
LR/lc,Goniothalamus,tenuifolius,
CR,Mezzettia,herveyana,
LR/lc,Miliusa,amplexicaulis,
LR/lc,Orophea,hastata,
CR,Polyalthia,glabra,
CR,Polyalthia,hirtifolia,
LR/lc,Polyalthia,hookeriana,
LR/lc,Polyalthia,hypogaea,
CR,Popowia,pauciflora,
LR/lc,Popowia,perakensis,
VU,Pseuduvaria,cerina,
LR/cd,Pseuduvaria,galeata,
VU,Pseuduvaria,nervosa,
LR/cd,Pseuduvaria,taipingensis,
LR/lc,Trivalvaria,nervosa,
LR/lc,Xylopia,elliptica,
LR/lc,Xylopia,magna,
DD,Kopsia,profunda,
DD,Kopsia,scortechinii,
LR/cd,Tabernaemontana,polyneura,
LR/cd,Ilex,grandiflora,
LR/cd,Ilex,illustris,
LR/cd,Ilex,patens,
EN,Ilex,pauciflora,
LR/cd,Ilex,sclerophylla,
LR/cd,Ilex,tahanensis,
LR/cd,Polyscias,montana,
VU,Brassaiopsis,minor,
VU,Brassaiopsis,simplex,
VU,Kostermansia,malayana,durian tuang;durian tuang
VU,Kostermansia,malayana,krepal;durian tuang
LR/cd,Canarium,pseudosumatranum,kedondong senggeh
LR/cd,Canarium,pseudosumatranum,kala
LR/cd,Canarium,pseudosumatranum,lamshu senggi
LR/cd,Canarium,pseudosumatranum,kedondong
LR/cd,Canarium,reniforme,kedondong
VU,Dacryodes,breviracemosa,kedondong
LR/cd,Dacryodes,kingii,
VU,Dacryodes,multijuga,
VU,Dacryodes,puberula,kedondong
VU,Kokoona,coriacea,
VU,Kokoona,sessilis,
VU,Microtropis,tenuis,
LR/cd,Clethra,hendersonii,
VU,Melanochyla,longipetiolata,
VU,Melanochyla,fasciculiflora,
LR/lc,Cyathocalyx,sumatranus,
VU,Kopsia,singaporensis,white kopsia;white kopsia
EN,Dipterocarpus,sublamellatus,keruing
DD,Hopea,latifolia,merawan
DD,Hopea,latifolia,gagil
CR,Hopea,montana,merawan
CR,Hopea,montana,gagil
CR,Hopea,nervosa,gagil
CR,Hopea,nervosa,merawan
CR,Hopea,nutans,giam
EN,Parashorea,globosa,gerutu;white seraya
EN,Parashorea,globosa,white seraya;white seraya
LR/nt,Sarcotheca,monophylla,
VU,Heliciopsis,cockburnii,
LR/cd,Heliciopsis,montana,
LR/cd,Heliciopsis,whitmorei,
VU,Anisophyllea,apetala,
LR/lc,Anisophyllea,corneri,
VU,Anisophyllea,curtisii,
LR/lc,Pellacalyx,saccardianus,
VU,Atuna,penangiana,
EN,Kostermanthus,malayus,
LR/lc,Prunus,malayana,
DD,Prunus,odorata,
VU,Euodia,macrocarpa,
CR,Glycosmis,crassifolia,
LR/cd,Glycosmis,decipiens,
VU,Glycosmis,perakensis,
EN,Glycosmis,tomentella,
LR/cd,Tetractomia,majus,
VU,Madhuca,aristulata,
DD,Madhuca,cuprea,
VU,Madhuca,longistyla,nyatoh
DD,Madhuca,obtusifolia,
LR/cd,Madhuca,penangiana,nyatoh
VU,Madhuca,penicillata,nyatoh
VU,Madhuca,rufa,
LR/cd,Payena,selangorica,
VU,Madhuca,sessiliflora,
LR/nt,Madhuca,tomentosa,
LR/cd,Madhuca,tubulosa,nyatoh
LR/cd,Palaquium,regina-montium,nyatoh gunong
LR/lc,Payena,maingayi,nyatoh tembaga
LR/lc,Payena,maingayi,getah sundik
LR/lc,Payena,maingayi,mayang taban
LR/lc,Payena,maingayi,sundik burong
LR/lc,Payena,maingayi,sawoh
LR/lc,Payena,maingayi,nyatoh paya
LR/lc,Payena,maingayi,mayang mentua nyatoh
LR/lc,Payena,maingayi,nyatoh
VU,Styrax,crotonoides,
VU,Styrax,fraserensis,
VU,Symplocos,calycodactylos,
EN,Symplocos,nivea,
LR/cd,Symplocos,pyriflora,
LR/cd,Adinandra,angulata,
VU,Adinandra,corneriana,
LR/cd,Pyrenaria,pahangensis,
VU,Ternstroemia,corneri,
LR/cd,Ternstroemia,evenia,
CR,Aquilaria,rostrata,
EN,Brownlowia,velutina,
EN,Diplodiscus,hookerianus,
LR/cd,Diplodiscus,scortechinii,
LR/cd,Pentace,excelsa,melunak
LR/cd,Pentace,grandiflora,
VU,Pentace,microlepidota,melunak
EN,Schoutenia,cornerii,
LR/cd,Schoutenia,furfuracea,
VU,Avicennia,lanata,
LR/lc,Callicarpa,maingayi,
LR/lc,Vitex,longisepala,
VU,Vitex,urceolata,
VU,Memecylon,cinereum,
VU,Memecylon,wallichii,
LR/lc,Polyalthia,chrysotricha,
VU,Eugenia,haniffii,
LR/lc,Diospyros,nutans,
LR/lc,Polyalthia,macropoda,
DD,Polyalthia,angustissima,
LR/lc,Popowia,fusca,
EN,Hopea,apiculata,
CR,Dipterocarpus,concavus,keruing
CR,Shorea,ochrophloia,balau;red balau
CR,Shorea,ochrophloia,red balau;red balau
CR,Shorea,ochrophloia,selangan batu;red balau
LR/nt,Eugenia,millsii,
VU,Memecylon,floridum,
LR/cd,Memecylon,acuminatum,
LR/lc,Mesua,elegans,
VU,Castanopsis,wallichii,
VU,Castanopsis,nephelioides,berangan babi
LR/cd,Baccaurea,latifolia,
LR/cd,Baccaurea,hookeri,
LR/cd,Euodia,robusta,
LR/lc,Eugenia,nemestrina,
LR/nt,Eugenia,linocieroidea,
LR/lc,Eugenia,glauca,kelat
LR/lc,Eugenia,flosculifera,kelat
LR/lc,Eugenia,duthieana,kelat
VU,Eugenia,conglomerata,kelat
VU,Knema,communis,
VU,Santalum,album,tan xiang;sandalwood
VU,Santalum,album,cendana;sandalwood
VU,Santalum,album,sandalwood;sandalwood
EN,Stenostomum,aromaticum,chicahuaxtle
EN,Stenostomum,aromaticum,chicahuastle
EN,Recchia,simplicifolia,
EN,Elaeagia,uxpanapensis,
VU,Rinorea,uxpanapana,
LR/nt,Perrottetia,multiflora,
VU,Perrottetia,excelsa,
EN,Guatteria,jefensis,
VU,Zanthoxylum,flavum,yellow sanders;west indian satinwood
VU,Zanthoxylum,flavum,aceitillo;west indian satinwood
VU,Zanthoxylum,flavum,west indian satinwood;west indian satinwood
VU,Zanthoxylum,flavum,yellowheart;west indian satinwood
VU,Zanthoxylum,flavum,espinillo;west indian satinwood
VU,Zanthoxylum,flavum,yellow-head;west indian satinwood
VU,Zanthoxylum,flavum,noyer;west indian satinwood
VU,Zanthoxylum,flavum,bois noyer;west indian satinwood
EN,Agathis,kinabaluensis,tumu
VU,Agathis,lenticula,tungilan
VU,Agathis,lenticula,tengilan
VU,Agathis,lenticula,tanggilan
EN,Agathis,orbicula,tubu
EN,Agathis,orbicula,tumuh
EN,Agathis,orbicula,bulok
VU,Alangium,circulare,
VU,Kopsia,lancifolia,
VU,Kopsia,sleesiana,
VU,Kopsia,tenuis,
LR/cd,Radermachera,ramiflora,
VU,Canarium,fusco-calycinum,
VU,Dacryodes,elmeri,
VU,Dacryodes,expansa,
VU,Haplolobus,beccarii,
VU,Lophopetalum,sessilifolium,
VU,Microtropis,rigida,
VU,Sarawakodendron,filamentosum,
VU,Ellipanthus,beccarii,
VU,Mastixia,glauca,
CR,Anisoptera,reticulata,mersawa
CR,Dipterocarpus,cuspidatus,
CR,Hopea,aequalis,
EN,Hopea,altocollina,
CR,Hopea,andersonii,
EN,Hopea,centipeda,
CR,Hopea,depressinerva,
CR,Hopea,enicosanthoides,
EN,Hopea,fluvialis,
CR,Hopea,kerangasensis,
CR,Hopea,longirostrata,
EN,Hopea,megacarpa,
EN,Hopea,mesuoides,
CR,Hopea,pentanervia,giam
VU,Hopea,pterygota,
CR,Hopea,tenuivervula,
EN,Shorea,agami,white meranti;white meranti
VU,Shorea,alutacea,
EN,Shorea,argentifolia,dark red meranti;dark red meranti
CR,Shorea,bakoensis,
EN,Shorea,brunnescens,balau
CR,Shorea,carapae,
CR,Shorea,cordata,
EX,Shorea,cuspidata,
CR,Shorea,foraminifera,
CR,Shorea,iliasii,yellow meranti;yellow meranti
CR,Shorea,lunduensis,balau
CR,Shorea,macrobalanos,yellow meranti;yellow meranti
CR,Shorea,mujongensis,
CR,Shorea,pallidifolia,
CR,Shorea,polyandra,yellow meranti;yellow meranti
CR,Shorea,praestans,light red meranti;light red meranti
CR,Shorea,pubistyla,
CR,Shorea,rotundifolia,light red meranti;light red meranti
CR,Shorea,sagittata,light red meranti;light red meranti
CR,Shorea,superba,balau
CR,Shorea,symingtonii,white meranti;white meranti
EN,Vatica,badiifolia,
EN,Vatica,brunigii,
CR,Vatica,compressa,
CR,Vatica,congesta,
CR,Vatica,globosa,
CR,Vatica,rotata,
CR,Vatica,rhynchocarpa,
VU,Horsfieldia,fragillima,
VU,Horsfieldia,motleyi,
VU,Horsfieldia,paucinervis,
LR/nt,Horsfieldia,reticulata,
VU,Horsfieldia,rufo-lanata,
VU,Horsfieldia,sabulosa,
LR/lc,Knema,elmeri,
LR/cd,Knema,kinabaluensis,
VU,Knema,kostermansiana,
LR/lc,Knema,linguiformis,
VU,Knema,mamillata,
VU,Knema,muscosa,
LR/lc,Knema,oblongata,
LR/nt,Knema,pectinata,
VU,Knema,pedicellata,
LR/cd,Knema,piriformis,
VU,Knema,psilantha,
LR/nt,Knema,pubiflora,
VU,Knema,rufa,
VU,Knema,sericea,
VU,Knema,uliginosa,
VU,Sarcotheca,ochracea,
VU,Turpinia,stipulacea,
VU,Gonystylus,calophylloides,
VU,Gonystylus,glaucescens,
CR,Shorea,dealbata,white meranti;white meranti
VU,Shorea,foxworthyi,balau bukit
VU,Shorea,foxworthyi,selangan batu
VU,Shorea,foxworthyi,selangan batu
VU,Shorea,foxworthyi,balau
CR,Shorea,lamellata,tenam;white meranti
CR,Shorea,lamellata,white meranti;white meranti
CR,Shorea,materialis,selangan batu
CR,Shorea,materialis,balau
CR,Shorea,peltata,yellow meranti;yellow meranti
CR,Shorea,resinosa,white meranti;white meranti
EN,Vatica,nitens,resak
EN,Vatica,perakensis,resak
VU,Gordonia,singaporeana,
LR/lc,Anisophyllea,griffithii,
LR/lc,Eugenia,pendens,
LR/lc,Eugenia,pauper,
LR/lc,Eugenia,oblongifolia,kelat
VU,Eugenia,ngadimaniana,
DD,Trigonobalanus,doichangensis,sanlengli
LR/lc,Alstonia,rupestris,
VU,Diplycosia,pilosa,
VU,Rhododendron,album,
EN,Lithocarpus,crassinervius,
VU,Lithocarpus,indutus,
VU,Aralia,javanica,
VU,Macropanax,concinnus,
EN,Canarium,kipella,
VU,Rhododendron,loerzingii,
CR,Rhododendron,wilhelminae,
EN,Lithocarpus,kostermansii,
EN,Lithocarpus,platycarpus,
EN,Myristica,teijsmannii,
EN,Symplocos,junghuhnii,
EN,Heliciopsis,lanceolata,kendung
VU,Terminalia,kangeanensis,
VU,Heritiera,longipetiolata,ufa-halomtano
VU,Aglaia,mariannensis,
VU,Knema,bengalensis,
LC,Degeneria,vitiensis,mbaumbau
LR/nt,Geniostoma,astylum,
DD,Ateleia,popenoei,
EN,Koilodepas,calycinum,
LR/nt,Semecarpus,auriculata,
VU,Nesoluma,polynesicum,island nesoluma;island nesoluma
LR/nt,Aglaia,samoensis,
EN,Ocotea,jorge-escobarii,
VU,Cymbopetalum,torulosum,
CR,Clethra,coloradensis,
DD,Clethra,tutensis,
LR/lc,Schinopsis,balansae,cocobalo;red quebracho
LR/lc,Schinopsis,balansae,red quebracho;red quebracho
LR/lc,Schinopsis,balansae,;red quebracho
LR/lc,Schinopsis,balansae,quebracho colorado santafesino;red quebracho
LR/lc,Schinopsis,balansae,quebracho colorado;red quebracho
VU,Myrcianthes,callicoma,
NT,Podocarpus,parlatorei,pino del cerro;pino del cerro
NT,Podocarpus,parlatorei,pino blanco;pino del cerro
DD,Astronium,urundeuva,goncalo alves;urundei-mé
DD,Astronium,urundeuva,aroeira da serra;urundei-mé
DD,Astronium,urundeuva,aroeire;urundei-mé
DD,Astronium,urundeuva,aroeira do campo;urundei-mé
DD,Astronium,urundeuva,aroeira do sertao;urundei-mé
DD,Astronium,urundeuva,;urundei-mé
DD,Astronium,urundeuva,;urundei-mé
DD,Astronium,urundeuva,;urundei-mé
DD,Astronium,urundeuva,urundel;urundei-mé
DD,Astronium,urundeuva,;urundei-mé
DD,Astronium,urundeuva,aroeira;urundei-mé
DD,Astronium,urundeuva,aroeira legitima;urundei-mé
DD,Astronium,urundeuva,areoeira petra;urundei-mé
DD,Astronium,urundeuva,;urundei-mé
DD,Astronium,urundeuva,arveira;urundei-mé
VU,Schinopsis,haenkeana,quebracho del cerro;quebracho del cerro
LR/lc,Schinopsis,quebracho-colorado,red quebracho;red quebracho
LR/lc,Schinopsis,quebracho-colorado,quebracho macho;red quebracho
LR/lc,Schinopsis,quebracho-colorado,quebracho colorado;red quebracho
LR/lc,Schinopsis,quebracho-colorado,coronillo;red quebracho
EN,Aspidosperma,polyneuron,ib;peroba açú
EN,Aspidosperma,polyneuron,peroba rajada;peroba açú
EN,Aspidosperma,polyneuron,;peroba açú
EN,Aspidosperma,polyneuron,carretto;peroba açú
EN,Aspidosperma,polyneuron,peroba paulista;peroba açú
EN,Aspidosperma,polyneuron,peroba amargosa;peroba açú
EN,Aspidosperma,polyneuron,peroba rosa;peroba açú
EN,Aspidosperma,polyneuron,peroba de sao paulo;peroba açú
EN,Aspidosperma,polyneuron,sobro;peroba açú
EN,Aspidosperma,polyneuron,peroba;peroba açú
EN,Aspidosperma,polyneuron,peroba mirim;peroba açú
EN,Aspidosperma,polyneuron,peroba amarela;peroba açú
EN,Aspidosperma,polyneuron,amargoroso;peroba açú
LR/lc,Tabebuia,impetiginosa,pau d'arco-roxo;lapacho negro
LR/lc,Tabebuia,impetiginosa,pau d'arco-rosa;lapacho negro
LR/lc,Tabebuia,impetiginosa,ipe-roxo;lapacho negro
LR/lc,Tabebuia,impetiginosa,lapacho negro;lapacho negro
LR/lc,Tabebuia,impetiginosa,ipe-una;lapacho negro
LR/lc,Tabebuia,impetiginosa,pau d'arco;lapacho negro
LR/lc,Tabebuia,impetiginosa,ipe-preto;lapacho negro
LC,Alnus,acuminata,lambran;alder
LC,Alnus,acuminata,jaul;alder
LC,Alnus,acuminata,alder;alder
LC,Alnus,acuminata,aliso;alder
VU,Caesalpinia,paraguariensis,;guayacaú negro
VU,Caesalpinia,paraguariensis,;guayacaú negro
VU,Caesalpinia,paraguariensis,;guayacaú negro
VU,Caesalpinia,paraguariensis,;guayacaú negro
VU,Jacaranda,mimosifolia,jacaranda;jacaranda
VU,Jacaranda,mimosifolia,tarco;jacaranda
LR/cd,Bulnesia,sarmientoi,palo santo
NT,Podocarpus,nubigenus,;mañío de hojas punzantes
NT,Podocarpus,nubigenus,;mañío de hojas punzantes
NT,Podocarpus,nubigenus,;mañío de hojas punzantes
NT,Podocarpus,nubigenus,pino amarillo;mañío de hojas punzantes
NT,Podocarpus,nubigenus,;mañío de hojas punzantes
NT,Podocarpus,nubigenus,;mañío de hojas punzantes
NT,Podocarpus,nubigenus,huililahuani;mañío de hojas punzantes
VU,Podocarpus,salignus,manique;willow-leaf podocarp
VU,Podocarpus,salignus,;willow-leaf podocarp
VU,Podocarpus,salignus,;willow-leaf podocarp
VU,Podocarpus,salignus,willow-leaf podocarp;willow-leaf podocarp
VU,Podocarpus,salignus,pino amarillo;willow-leaf podocarp
VU,Podocarpus,salignus,;willow-leaf podocarp
VU,Podocarpus,salignus,;willow-leaf podocarp
VU,Podocarpus,salignus,;willow-leaf podocarp
DD,Schinus,pearcei,atojlloque;pimiento
DD,Schinus,pearcei,molle;pimiento
DD,Schinus,pearcei,pimiento;pimiento
LR/nt,Eucryphia,glutinosa,guindo santo;guindo santo
EN,Nothofagus,alessandrii,ruil;ruil
VU,Nothofagus,glauca,hualo;hualo
VU,Nothofagus,glauca,roble colorado;hualo
VU,Nothofagus,glauca,roble maulino;hualo
VU,Nothofagus,glauca,roble blanco;hualo
LR/nt,Persea,lingue,lingue;lingue
LR/cd,Prosopis,tamarugo,
DD,Haplorhus,peruviana,jassi;carza
DD,Haplorhus,peruviana,hjasi;carza
DD,Haplorhus,peruviana,carza;carza
DD,Haplorhus,peruviana,ccasi;carza
DD,Haplorhus,peruviana,carzo;carza
VU,Parkia,korom,
VU,Eschweilera,mexicana,cajita;jicarillo
VU,Eschweilera,mexicana,jicarillo;jicarillo
NT,Juniperus,taxifolia,hainezu;luchu juniper
NT,Juniperus,taxifolia,fitcheisi;luchu juniper
NT,Juniperus,taxifolia,okinawa-hainezu;luchu juniper
NT,Juniperus,taxifolia,yew-leaved juniper;luchu juniper
NT,Juniperus,taxifolia,luchu juniper;luchu juniper
VU,Archidendropsis,glandulosa,
VU,Archidendropsis,lentiscifolia,
EN,Hunga,cordata,
VU,Hunga,gerontogea,
VU,Hunga,guillauminii,
VU,Hunga,mackeeana,
VU,Serianthes,calycina,
LR/nt,Polylepis,tarapacana,;queñoa de altura
LR/nt,Pouteria,splendens,lucumo silvestre;lucumo
LR/nt,Pouteria,splendens,lucumo;lucumo
LR/nt,Pouteria,splendens,palo colorado;lucumo
VU,Pilgerodendron,uviferum,;guaitecas cypress
VU,Pilgerodendron,uviferum,guaitecas cypress;guaitecas cypress
NT,Saxegothaea,conspicua,;prince albert's yew
NT,Saxegothaea,conspicua,;prince albert's yew
NT,Saxegothaea,conspicua,prince albert's yew;prince albert's yew
NT,Saxegothaea,conspicua,;prince albert's yew
NT,Saxegothaea,conspicua,;prince albert's yew
NT,Saxegothaea,conspicua,;prince albert's yew
VU,Athrotaxis,cupressoides,pencil pine;pencil pine
VU,Athrotaxis,selaginoides,king billy pine;king william pine
VU,Athrotaxis,selaginoides,king william pine;king william pine
VU,Aquilaria,malaccensis,karas;lign-aloes
VU,Aquilaria,malaccensis,gaharu;lign-aloes
VU,Aquilaria,malaccensis,depu;lign-aloes
VU,Aquilaria,malaccensis,lign-aloes;lign-aloes
VU,Aquilaria,malaccensis,karas;lign-aloes
VU,Aquilaria,malaccensis,kritsanaa;lign-aloes
VU,Aquilaria,malaccensis,aloewood;lign-aloes
VU,Aquilaria,malaccensis,calambac;lign-aloes
VU,Aquilaria,malaccensis,mai hom;lign-aloes
VU,Aquilaria,malaccensis,agarwood;lign-aloes
VU,Aquilaria,malaccensis,eaglewood;lign-aloes
VU,Garcinia,rubro-echinata,
NT,Mangifera,applanata,
NT,Mangifera,applanata,pelipisan
NT,Mangifera,applanata,lumpingas
NT,Mangifera,applanata,asem ka'aper
NT,Mangifera,applanata,asem depeh
NT,Mangifera,applanata,rapies
NT,Mangifera,applanata,asem lepeh
NT,Mangifera,applanata,rapis
NT,Mangifera,applanata,asem paoh
EW,Mangifera,casturi,kalimantan mango;kalimantan mango
EW,Mangifera,casturi,kasturi;kalimantan mango
EW,Mangifera,casturi,asem pelipisan;kalimantan mango
EW,Mangifera,casturi,cuban;kalimantan mango
EW,Mangifera,casturi,kastuba;kalimantan mango
EN,Mangifera,paludosa,
VU,Mangifera,sumbawaensis,
EN,Mangifera,blommesteinii,
VU,Oxystigma,msoo,muchuwa
VU,Gynoxys,laurifolia,
EN,Gustavia,dodsonii,
VU,Hieronima,macrocarpa,
EN,Brunellia,almaguerensis,
VU,Brunellia,occidentalis,
EN,Anthodiscus,montanus,
EX,Licania,caldasiana,
EN,Licania,salicifolia,
VU,Trigonobalanus,excelsa,
DD,Swartzia,macrophylla,
EN,Juglans,neotropica,nogal;cedro grande
EN,Juglans,neotropica,tocte;cedro grande
EN,Juglans,neotropica,cedro negro;cedro grande
EN,Juglans,neotropica,cedro grande;cedro grande
LR/nt,Neostenanthera,robsonii,
VU,Piptostigma,oyemense,
LR/nt,Ocotea,gabonensis,
VU,Gilbertiodendron,klainei,
VU,Monopetalanthus,durandii,andoung
LR/nt,Monopetalanthus,heitzii,andoung
LR/nt,Monopetalanthus,heitzii,adoung de heitz
LR/nt,Monopetalanthus,heitzii,audong
LR/nt,Monopetalanthus,heitzii,adoung
LR/nt,Plagiosiphon,gabonensis,
VU,Empogona,concolor,
VU,Tricalysia,obstetrix,
VU,Deinbollia,rambaensis,
VU,Delpydora,macrophylla,
VU,Lecomtedoxa,nogo,
VU,Rhaptopetalum,belingense,
VU,Rhaptopetalum,sindarense,
VU,Cola,duparquetiana,
VU,Cola,le-testui,
DD,Shorea,cara,
LR/lc,Shorea,robusta,sal
VU,Dalbergia,latifolia,indonesian rosewood;indonesian rosewood
VU,Dalbergia,latifolia,bombay blackwood;indonesian rosewood
VU,Dalbergia,latifolia,beete;indonesian rosewood
VU,Dalbergia,latifolia,malabar rosewood;indonesian rosewood
VU,Dalbergia,latifolia,sonosungu;indonesian rosewood
VU,Dalbergia,latifolia,trac;indonesian rosewood
VU,Dalbergia,latifolia,indian rosewood;indonesian rosewood
VU,Dalbergia,latifolia,sisham;indonesian rosewood
VU,Dalbergia,latifolia,sonobrits;indonesian rosewood
VU,Dalbergia,latifolia,palisandre de l'inde;indonesian rosewood
VU,Dalbergia,latifolia,sonokeling;indonesian rosewood
VU,Semecarpus,parvifolia,
EN,Abies,fraseri,fraser's fir;fraser's fir
EN,Abies,fraseri,she balsam;fraser's fir
EN,Abies,fraseri,fraser fir;fraser's fir
VU,Ziziphus,celata,florida ziziphus;florida ziziphus
NT,Camellia,hengchunensis,
EN,Pterocarpus,santalinus,red sandalwood;red sandalwood
EN,Pterocarpus,santalinus,saunderswood;red sandalwood
EN,Pterocarpus,santalinus,algum;red sandalwood
EN,Pterocarpus,santalinus,almug;red sandalwood
EN,Shorea,tumbuggaia,
VU,Burkillanthus,malaccensis,
VU,Merrillia,caloxylon,
VU,Aspidosperma,curranii,quina;quina
VU,Eschweilera,bogotensis,
VU,Eschweilera,sclerophylla,
VU,Grias,colombiana,
EN,Gustavia,excelsa,
EN,Gustavia,gracillima,
CR,Gustavia,latifolia,
CR,Gustavia,longifuniculata,
EN,Gustavia,petiolata,
VU,Gustavia,sessilis,
LR/lc,Wrightia,pubescens,lanete
DD,Toona,calantas,philippine cedar;philippine cedar
DD,Toona,calantas,kalantas;philippine cedar
CR,Tectona,philippinensis,philippine teak;philippine teak
CR,Tectona,philippinensis,bunglas;philippine teak
CR,Tectona,philippinensis,malapangit;philippine teak
VU,Rhododendron,dalhousiae,
VU,Rhododendron,rhabdotum,
VU,Ilex,maingayi,
LR/lc,Canarium,patentinervium,kedondong krut
LR/lc,Canarium,patentinervium,madang merpalam
LR/lc,Canarium,patentinervium,keramoh
LR/lc,Canarium,patentinervium,kedondong turlang
LR/lc,Canarium,patentinervium,kedondong
VU,Canarium,ovatum,pilaui
VU,Canarium,ovatum,pili nut
VU,Canarium,ovatum,pili
VU,Canarium,ovatum,liputi
LR/lc,Santiria,apiculata,kedondong
LC,Cupressus,torulosa,himalayan cypress;himalayan cypress
LC,Cupressus,torulosa,;himalayan cypress
LC,Cupressus,torulosa,xi zang bai mu;himalayan cypress
LC,Cupressus,torulosa,;himalayan cypress
LC,Cupressus,torulosa,gulla;himalayan cypress
VU,Mangifera,flava,
VU,Mangifera,flava,ba-o-lai
EN,Mangifera,dongnaiensis,
EN,Mangifera,minutifolia,
VU,Turraea,fischeri,matopos honeysuckle tree;matopos honeysuckle tree
EN,Bersama,swynnertonii,
VU,Allophylus,chirindensis,
VU,Vitellariopsis,ferruginea,
LC,Olea,chimanimani,
VU,Chionanthus,richardsiae,
VU,Pleioceras,orientale,
VU,Philippia,nyassana,
VU,Ozoroa,nyasica,
VU,Ozoroa,reticulata,
EN,Deinbollia,nyasica,
VU,Maclurodendron,pubescens,
LR/lc,Pterocarya,pterocarpa,lapina kryloplodnaya
DD,Monodora,junodii,cora
DD,Monodora,macrantha,cora
DD,Monodora,junodii,m'siui
DD,Monodora,macrantha,m'siui
DD,Monodora,junodii,mussicossico
DD,Monodora,macrantha,mussicossico
DD,Monodora,junodii,icurri
DD,Monodora,macrantha,icurri
DD,Monodora,junodii,n'chinga
DD,Monodora,macrantha,n'chinga
DD,Monodora,junodii,michinga
DD,Monodora,macrantha,michinga
DD,Monodora,junodii,kuripiassa
